# jd flux flux_err
2.457308723042299971e+06 1.487975441399761185e+05 3.189575573033845899e+02
2.457308723068046849e+06 1.658134245435138000e+05 3.353662070635273267e+02
2.457308723093793262e+06 1.464628542886017531e+05 3.166642010514594290e+02
2.457308723119540140e+06 1.436038125689433655e+05 3.137427110565266162e+02
2.457308723145287018e+06 1.510766725920110184e+05 3.204358518728199101e+02
2.457308723171033897e+06 1.456091442489876645e+05 3.144082368738144737e+02
2.457308723196780309e+06 1.416890993076465093e+05 3.105620992809325571e+02
2.457308723222527187e+06 1.410100316214829800e+05 3.095553784921451097e+02
2.457308723248274066e+06 1.525766113646243175e+05 3.210367560596339445e+02
2.457308723274020478e+06 1.445947522686424199e+05 3.131825397707463026e+02
2.457308723299767356e+06 1.455945716897450329e+05 3.141408733691022235e+02
2.457308723325514235e+06 1.455297531162400555e+05 3.140842256528150642e+02
2.457308723351260647e+06 1.473289526740293659e+05 3.159051975061284452e+02
2.457308723377007525e+06 1.449545046362387075e+05 3.135070429209193321e+02
2.457308723402754404e+06 1.519509789552399889e+05 3.204528208983016953e+02
2.457308723428501282e+06 1.460446306144234259e+05 3.146199547068644051e+02
2.457308723454247694e+06 1.416912220901034307e+05 3.102527004338871279e+02
2.457308723479994573e+06 1.469037544172416674e+05 3.155154055673625635e+02
2.457308723505741451e+06 1.532948857373210194e+05 3.217824310119028155e+02
2.457308723531487864e+06 1.444450104323480627e+05 3.130060691024595485e+02
2.457308723557234742e+06 1.392119805758146103e+05 3.078150341431672246e+02
2.457308723582981620e+06 1.550556979939915764e+05 3.234921436369246521e+02
2.457308723608728033e+06 1.438190473129932361e+05 3.123647922762850158e+02
2.457308723634474911e+06 1.480664051404170459e+05 3.166893582893899861e+02
2.457308723660221789e+06 1.527801138684854086e+05 3.212822732628193307e+02
2.457308723685968667e+06 1.422914964344114414e+05 3.108719853327494889e+02
2.457308723711715080e+06 1.486868733145376318e+05 3.172350299117941859e+02
2.457308723737461958e+06 1.483928700458109670e+05 3.169875787019203131e+02
