# id ra dec s L A b x y a flux x_0 y_0
0.000000000000000000e+00 3.113025931183050830e+02 -4.038255797247069978e+01 4.722879321203756753e+00 3.734834360146534777e+02 9.007856891146229827e+01 1.061310524065020360e+02 2.526140093389717094e+03 1.346903888891621364e+03 -7.759999999999999432e+01 2.100201250000000000e+06 8.838968065785963972e+02 2.251510874665419124e+03
1.000000000000000000e+00 3.113234645875008937e+02 -4.041185865963482371e+01 4.241788774893927361e+00 3.671498037641535461e+02 9.010710016164773606e+01 1.062705742989938216e+02 3.011511812384980203e+03 9.275780137346259835e+02 -7.759999999999999432e+01 3.200532500000000000e+06 5.780166185261775809e+02 1.687273185055879139e+03
2.000000000000000000e+00 3.112907629428746645e+02 -4.038062212030706633e+01 4.691574798459973827e+00 3.724045533878643255e+02 9.003470558824517411e+01 1.064420619745507395e+02 2.526758748338620535e+03 1.524311067495370935e+03 -7.759999999999999432e+01 2.213341500000000000e+06 1.057397365160785284e+03 2.288799432737514962e+03
3.000000000000000000e+00 3.113016594981809249e+02 -4.037328022328428290e+01 4.570976936100628052e+00 3.735130780180440979e+02 9.027448015893816091e+01 1.061784211581585708e+02 2.354581666224244600e+03 1.398851903160378924e+03 -7.759999999999999432e+01 2.991425750000000000e+06 8.975629987256086224e+02 2.430145143779077898e+03
4.000000000000000000e+00 3.113462493221954333e+02 -4.037994489461812719e+01 4.683558503528513661e+00 3.721743993993504205e+02 8.997771066214824032e+01 1.069263965718877643e+02 2.340208324434307087e+03 7.323066618645016206e+02 -7.759999999999999432e+01 2.210709750000000000e+06 2.436017484535533413e+02 2.301562878944982913e+03
5.000000000000000000e+00 3.112903544839477945e+02 -4.037145926480596358e+01 4.912841888817279568e+00 3.748588752940803488e+02 9.012997209276026922e+01 1.059271316072417761e+02 2.356383772506882906e+03 1.568658461063267623e+03 -7.759999999999999432e+01 3.566088500000000000e+06 1.063384408008138053e+03 2.465219514926990087e+03
6.000000000000000000e+00 3.113209003323725597e+02 -4.036204279046440746e+01 4.412261311591901602e+00 3.696132581948961047e+02 9.002780166406837736e+01 1.064726104141260521e+02 2.082971184009626995e+03 1.169697398494990694e+03 -7.759999999999999432e+01 2.201242250000000000e+06 6.152595830724064854e+02 2.646435657718465336e+03
7.000000000000000000e+00 3.112792500722425757e+02 -4.041667537874666749e+01 4.039369131173085492e+00 3.636764230298410325e+02 9.026475430212684614e+01 1.057003237081682414e+02 3.241075091620620697e+03 1.540320112698560706e+03 -7.759999999999999432e+01 9.063215000000000000e+06 1.226177724643310739e+03 1.594626102035596432e+03
8.000000000000000000e+00 3.112857483445240518e+02 -4.036429867194792820e+01 4.892141901401802606e+00 3.711138120492844337e+02 9.001359748131412175e+01 1.068960993630175977e+02 2.236325819279830739e+03 1.663895441915889251e+03 -7.759999999999999432e+01 2.264218000000000000e+06 1.130953461089307211e+03 2.603087632453462902e+03
9.000000000000000000e+00 3.112632072332771713e+02 -4.038959809932327971e+01 3.635539603315160573e+00 3.628039283355530529e+02 9.025315430396527461e+01 1.048221625378025834e+02 2.782774911462018281e+03 1.882262266375716081e+03 -7.759999999999999432e+01 2.193736000000000000e+07 1.461492129272114653e+03 2.115924401306090203e+03
1.000000000000000000e+01 3.113100313413141862e+02 -4.035345485654621456e+01 4.596861123389489379e+00 3.707235408509919239e+02 8.996449130375344794e+01 1.068517709439908856e+02 1.955509242720470183e+03 1.361018407251127201e+03 -7.759999999999999432e+01 2.253372000000000000e+06 7.746726395270588910e+02 2.811834021741199194e+03
1.100000000000000000e+01 3.112983345306884075e+02 -4.035158145914970618e+01 4.760127142433907999e+00 3.746713889772438506e+02 9.003921702830982099e+01 1.060364115726595458e+02 1.956954527221518674e+03 1.536702509453574521e+03 -7.759999999999999432e+01 2.139968500000000000e+06 9.462877672883175819e+02 2.847934223769465007e+03
1.200000000000000000e+01 3.112802477823012168e+02 -4.035008973729566861e+01 4.055190352290718003e+00 3.671869742715477969e+02 9.009268584346015984e+01 1.061965094324510517e+02 1.985963052196454555e+03 1.801147872642521179e+03 -7.759999999999999432e+01 2.799603000000000000e+06 1.211671913205645524e+03 2.876657655823616096e+03
