# jd flux flux_err mag mag_err
2.457308729697806295e+06 1.763085502881659777e+05 3.939256832635882688e+02 -1.311568343606490039e+01 2.425865737353953208e-03
2.457308729826649185e+06 1.817610341956967022e+05 3.978535311436403390e+02 -1.314875196278701708e+01 2.376557191233912014e-03
2.457308729955492541e+06 1.755190358350409369e+05 3.932585581452382257e+02 -1.311081056140339918e+01 2.432650936630592706e-03
2.457308730084335431e+06 1.793100043801229913e+05 3.960542325729309141e+02 -1.313401130290534979e+01 2.398147967037816790e-03
2.457308730213178322e+06 1.775974897348873492e+05 3.947363538239308127e+02 -1.312359205729464229e+01 2.413215690382609826e-03
2.457308730342021678e+06 1.745856604700305907e+05 3.925394452546661910e+02 -1.310502142553611016e+01 2.441184322603413923e-03
2.457308730470864568e+06 1.751732759477459476e+05 3.929815105040754020e+02 -1.310866962967027582e+01 2.435735376336581326e-03
2.457308730599707458e+06 1.797030280865778914e+05 3.962608837245944642e+02 -1.313638848812874471e+01 2.394151598201564850e-03
2.457308730728550814e+06 1.778284819415984093e+05 3.949459625134957719e+02 -1.312500330271359772e+01 2.411360793600151285e-03
2.457308730857393704e+06 1.756770180455943046e+05 3.934425130273425566e+02 -1.311178737771656699e+01 2.431600210697108973e-03
