# jd flux flux_err mag mag_err
2.457308731059562881e+06 -8.973861031519130847e+03 1.315425117377644995e+02 nan -1.591521934566698937e-02
2.457308731154582929e+06 -9.039620024155536157e+03 1.314569801011087691e+02 nan -1.578917047327010881e-02
2.457308731249602977e+06 -8.914893633644769579e+03 1.316828421215493279e+02 nan -1.603758102794073173e-02
2.457308731344623026e+06 -8.975327082373307348e+03 1.310586857141799442e+02 nan -1.585409156918291332e-02
2.457308731439643074e+06 -9.011287515601907216e+03 1.326358298455732836e+02 nan -1.598084909034374820e-02
2.457308731534663122e+06 -9.057879505813178184e+03 1.308210892711038582e+02 nan -1.568111933638012892e-02
2.457308731629682705e+06 -9.499095385082424400e+03 1.356674054955948066e+02 nan -1.550669015010727216e-02
2.457308731724702753e+06 -9.107896669984020264e+03 1.298733631238540056e+02 nan -1.548202734258080117e-02
2.457308731819722801e+06 -9.143175913430255605e+03 1.316688759205009376e+02 nan -1.563550419411004200e-02
2.457308731914742850e+06 -9.126147766652935388e+03 1.307388740427948619e+02 nan -1.555403536439608179e-02
2.457308732009762898e+06 -9.166595378492440432e+03 1.308654696105409130e+02 nan -1.550039781491003958e-02
2.457308732104782946e+06 -9.019742693352369315e+03 1.295491490604189266e+02 nan -1.559431326178788504e-02
2.457308732199802995e+06 -9.313275541006680214e+03 1.315480346098155451e+02 nan -1.533584639135704419e-02
