# id ra dec s L A b x y a flux x_0 y_0
0.000000000000000000e+00 3.856575642250692226e+01 1.110991591996138261e+01 2.650891391252983897e+00 1.332982810996394107e+02 9.021387901285879707e+01 7.916117515218836331e+01 1.760901208208226990e+03 6.314121901733602726e+02 4.650000000000000000e+01 3.178254762007465120e+06 1.864885445838278656e+03 6.575221963672829588e+02
1.000000000000000000e+00 3.860946823250554161e+01 1.115179632266146292e+01 2.665074098551255766e+00 1.337312950151729183e+02 9.012670461497641838e+01 7.921683837027420338e+01 1.767511715155439560e+03 1.791469010954918531e+03 4.650000000000000000e+01 1.931758835335787851e+06 1.028650192525971306e+03 1.459245806369598313e+03
2.000000000000000000e+00 3.863368248458899501e+01 1.116440220778595283e+01 3.371797536148969598e+00 1.358126838199057147e+02 9.001295999640353784e+01 7.923507287223978324e+01 1.623990575911901715e+03 2.291412375859800704e+03 4.650000000000000000e+01 1.158239710979053518e+06 5.675047292571908883e+02 1.699159858186523252e+03
3.000000000000000000e+00 3.860701519055776032e+01 1.116632343358010360e+01 2.573306224821767074e+00 1.330468892664511600e+02 9.014636114110868448e+01 7.911878644735679700e+01 2.000399599437048892e+03 1.952220923917619075e+03 4.650000000000000000e+01 4.197597130729633383e+06 1.072381369044359872e+03 1.739653158104423937e+03
4.000000000000000000e+00 3.858596355014582713e+01 1.116981494026900457e+01 4.685625726663633195e+00 1.401981236864601499e+02 8.999877523749273678e+01 7.924869387748321969e+01 2.325247573753249981e+03 1.711628105470161017e+03 4.650000000000000000e+01 8.799438641023386735e+05 1.470559466844794997e+03 1.809727346639766665e+03
5.000000000000000000e+00 3.861825137473842773e+01 1.118806771023544755e+01 4.326417612640591770e+00 1.392480825745226980e+02 9.011685679728216769e+01 7.926966798798760294e+01 2.154759251693892566e+03 2.397551245193793420e+03 4.650000000000000000e+01 7.962256986724339658e+05 8.554068993416653939e+02 2.157430208740846865e+03
6.000000000000000000e+00 3.857382475717172809e+01 1.118891756049388952e+01 5.064987920172246305e+00 1.414598134401036589e+02 9.002319285187657272e+01 7.925092654252040347e+01 2.749827322468152033e+03 1.802671192070959478e+03 4.650000000000000000e+01 8.472719387144122738e+05 1.696884353544275655e+03 2.179634771444057606e+03
7.000000000000000000e+00 3.861887771094075816e+01 1.120341883705335917e+01 3.392245040536147727e+00 1.362079554929672156e+02 9.006597898612675124e+01 7.925882248744206038e+01 2.359091886782534857e+03 2.611389115386939011e+03 4.650000000000000000e+01 9.812090915018691448e+05 8.406512229225053261e+02 2.453323423811309112e+03
8.000000000000000000e+00 3.859981107695091396e+01 1.121264304601237427e+01 4.517909054808224134e+00 1.396996582534782760e+02 9.002858978735126527e+01 7.925333105638060260e+01 2.736722865186439776e+03 2.474777166537366156e+03 4.650000000000000000e+01 8.000405512867919169e+05 1.200091278961811895e+03 2.633650047532425560e+03
9.000000000000000000e+00 3.857789619689059180e+01 1.122229665349655647e+01 2.529309955285325984e+00 1.325463252195812345e+02 9.007824633291417626e+01 7.863405100309611839e+01 3.158935007869907167e+03 2.304738854413387799e+03 4.650000000000000000e+01 1.479248972575306520e+07 1.613378578522268754e+03 2.822655059618909945e+03
1.000000000000000000e+01 3.856736394206247809e+01 1.124992404377358390e+01 3.897126957698382022e+00 1.334502999486345516e+02 8.983491717916345465e+01 7.858416367721858364e+01 3.680101246852334953e+03 2.532069595223200395e+03 4.650000000000000000e+01 1.595721704065439291e+07 1.807587854024809531e+03 3.356713996728279199e+03
1.100000000000000000e+01 3.859015281250533036e+01 1.125411089715978008e+01 2.556788821220688401e+00 1.328807630016610517e+02 9.024369211571509197e+01 7.843070222198612385e+01 3.438094316063053611e+03 2.900047645705881678e+03 4.650000000000000000e+01 2.012991722702275217e+07 1.375160884815471718e+03 3.434426884783521928e+03
1.200000000000000000e+01 3.856853275317488539e+01 1.124914709440442984e+01 5.068679877888243368e+00 1.462914314085040530e+02 9.000119427683823403e+01 7.926825825084829091e+01 3.653174054166642236e+03 2.537994586244910352e+03 4.650000000000000000e+01 6.236118358398196287e+05 1.785598926608349757e+03 3.341578988307088366e+03
1.300000000000000000e+01 3.856577200955514684e+01 1.125085395276306421e+01 6.485738551273520613e+00 1.543880113865688770e+02 8.999575922285944785e+01 7.928820178017403464e+01 3.713829677371655180e+03 2.523006895271952544e+03 4.650000000000000000e+01 8.011472008799546165e+05 1.837561409297533146e+03 3.374854441176319142e+03
1.400000000000000000e+01 3.861230099671657001e+01 1.130678677799143195e+01 2.579825542789451198e+00 1.334730572784202707e+02 8.997193401608812735e+01 7.903876040275508785e+01 3.876955306716208270e+03 3.908001290663995405e+03 4.650000000000000000e+01 5.570312591406551190e+06 9.457316655624456416e+02 4.447135712625524320e+03
