# jd flux flux_err mag mag_err
2.457332733096720185e+06 1.612216676363031729e+04 1.318657102967449077e+02 -1.051855852268181835e+01 8.880436382817132393e-03
2.457332733117034659e+06 1.524589178856382932e+04 1.299181552190449338e+02 -1.045788208233480354e+01 9.252153944404555366e-03
2.457332733137349598e+06 1.505853374335106673e+04 1.295712387030023365e+02 -1.044445671615360105e+01 9.342255966422612773e-03
2.457332733157664072e+06 1.561425715799533828e+04 1.307235135326785098e+02 -1.048380331918091279e+01 9.089881519614506980e-03
2.457332733177979011e+06 1.589868365608377280e+04 1.313956490648858448e+02 -1.050340292014628041e+01 8.973165018043393129e-03
2.457332733198293485e+06 1.566057379280253735e+04 1.308796218038768870e+02 -1.048701917567177588e+01 9.073820822749788240e-03
2.457332733218608424e+06 1.588915252036236234e+04 1.314724705617904874e+02 -1.050275183465698525e+01 8.983796964931078238e-03
2.457332733238922898e+06 1.556004881773603120e+04 1.307118480921271271e+02 -1.048002738800308720e+01 9.120735006035485953e-03
2.457332733259237371e+06 1.555146792927193746e+04 1.306438576858029137e+02 -1.047942847271480638e+01 9.121020773659166761e-03
2.457332733279552311e+06 1.558822575216090081e+04 1.307987227731369160e+02 -1.048199171678928465e+01 9.110299499224228451e-03
2.457332733299866784e+06 1.558124220827792124e+04 1.306686130862949256e+02 -1.048150519667493619e+01 9.105316384655181422e-03
2.457332733320181724e+06 1.573457977684510115e+04 1.310649108482328131e+02 -1.049213787177191648e+01 9.043928615988305192e-03
2.457332733340496197e+06 1.578212657912233772e+04 1.311949287830995843e+02 -1.049541380569938198e+01 9.025626632940359981e-03
2.457332733360811137e+06 1.569982099817153721e+04 1.310145200513321981e+02 -1.048973675205022893e+01 9.060466677747481060e-03
2.457332733381125610e+06 1.583128802360371628e+04 1.312453716868787126e+02 -1.049879062556201248e+01 9.001058514181111900e-03
2.457332733401440550e+06 1.630303374335106128e+04 1.324237172682456389e+02 -1.053067106858696711e+01 8.819078034814379838e-03
2.457332733421755023e+06 1.626530717046209429e+04 1.323635242600636559e+02 -1.052815567337560942e+01 8.835515451629718381e-03
2.457332733442069497e+06 1.626809510056515319e+04 1.322486691452376988e+02 -1.052834175638232672e+01 8.826335791014779109e-03
2.457332733462384436e+06 1.513039792844082331e+04 1.296461993064653768e+02 -1.044962587522212161e+01 9.303262551370792416e-03
2.457332733482698910e+06 1.412347007978723195e+04 1.272836349761041959e+02 -1.037485353558404277e+01 9.784913555821918990e-03
2.457332733503013849e+06 1.463669325548536472e+04 1.285421795826847813e+02 -1.041360742829728636e+01 9.535171887803296428e-03
2.457332733523328323e+06 1.622839962184174874e+04 1.321274188321020802e+02 -1.052568923399676670e+01 8.839813355944817208e-03
