# jd flux flux_err
2.457334061524599791e+06 1.122214486815268356e+04 1.464566773796609311e+02
2.457334078958095517e+06 1.123010623816287807e+04 1.464972019382962003e+02
2.457334096391591243e+06 1.094316015397363481e+04 1.460681943614478655e+02
2.457334113825086970e+06 1.024792228929924204e+04 1.454988123470349706e+02
2.457334131258582696e+06 1.071399080346736628e+04 1.450239202155994462e+02
2.457334148692078423e+06 1.095337983500874725e+04 1.459040751104950857e+02
2.457334166125574149e+06 1.170326652188956905e+04 1.471894069022599751e+02
2.457334183559069876e+06 1.105210974832459033e+04 1.460826088105710312e+02
2.457334200992565602e+06 1.064245963314029723e+04 1.447662153120100186e+02
2.457334218426061329e+06 1.036041792322260881e+04 1.443063908089343101e+02
2.457334235859557055e+06 1.036642880426864394e+04 1.444054487304610177e+02
2.457334253293052781e+06 1.081741140825322327e+04 1.456844528413315913e+02
2.457334270726548508e+06 1.094194741814175359e+04 1.458716402757232231e+02
2.457334288160044234e+06 1.160529212194055799e+04 1.470187573607517209e+02
2.457334305593539961e+06 1.166112773391970404e+04 1.471236759352335639e+02
2.457334323027035687e+06 1.133635601735505588e+04 1.466841033232238090e+02
2.457334340460531414e+06 8.794230008923383139e+03 1.478303186033821532e+02
2.457334357894027140e+06 1.064850376056233472e+04 1.452473672998368954e+02
2.457334375327522866e+06 1.088135721927813211e+04 1.453055322676506194e+02
2.457334392761018593e+06 1.113625971554485477e+04 1.464568439453736346e+02
2.457334410194514319e+06 1.121395526023457569e+04 1.464990872341115846e+02
2.457334427628010046e+06 1.167225715235283860e+04 1.470987680119777110e+02
2.457334445061505772e+06 1.121197214634325974e+04 1.460308729223359876e+02
2.457334462495001499e+06 1.141249568172713953e+04 1.466110716862864081e+02
2.457334479928497225e+06 1.098560377968383909e+04 1.458889929850591898e+02
2.457334497361992951e+06 1.077511784081805308e+04 1.455602632742822209e+02
2.457334514795488678e+06 1.096157464443107347e+04 1.462412513224248301e+02
2.457334532228984404e+06 1.179165058184005466e+04 1.474801540835809419e+02
2.457334549662480131e+06 1.143600404966125825e+04 1.464966554418368219e+02
2.457334567095975857e+06 1.099835917467947002e+04 1.455274250264612590e+02
2.457334584529471584e+06 1.069261838942312170e+04 1.450982309780524986e+02
2.457334601962967310e+06 1.055037418505971254e+04 1.450505272200433353e+02
2.457334619396463037e+06 1.107314153554776931e+04 1.461239299660666404e+02
