# jd flux flux_err mag mag_err
2.457336979731643572e+06 8.598198242187500000e+02 5.195322036743164062e+01 -7.336018635243812369e+00 6.560408110267568205e-02
2.457337009800268803e+06 7.849655761718750000e+02 5.151960754394531250e+01 -7.237126529103877992e+00 7.126032069782804734e-02
2.457337039868894033e+06 7.687849121093750000e+02 5.121681594848632812e+01 -7.214512128599905871e+00 7.233251442894884919e-02
2.457337069937519263e+06 8.281328125000000000e+02 5.201605606079101562e+01 -7.295249981788324511e+00 6.819668518742968977e-02
2.457337100006144494e+06 7.538298339843750000e+02 5.148363876342773438e+01 -7.193183303327851164e+00 7.415180910996239938e-02
2.457337130074769724e+06 8.373479003906250000e+02 5.214528274536132812e+01 -7.307264839212376017e+00 6.761373529632902502e-02
2.457337160143394489e+06 7.599528808593750000e+02 5.174571990966796875e+01 -7.201966664198192092e+00 7.392879131031168671e-02
2.457337190212019719e+06 7.719980468750000000e+02 5.146004104614257812e+01 -7.219040503972491862e+00 7.237353150258102330e-02
2.457337220280644950e+06 8.162792968750000000e+02 5.190148162841796875e+01 -7.279596954292264499e+00 6.903459989610374881e-02
2.457337250349270180e+06 8.639628906250000000e+02 5.211160659790039062e+01 -7.341237722103181262e+00 6.548852544658953501e-02
2.457337280417895410e+06 7.647111816406250000e+02 5.153019714355468750e+01 -7.208743601271065060e+00 7.316278039325956051e-02
2.457337310486520641e+06 8.536569824218750000e+02 5.196727371215820312e+01 -7.328208492392426443e+00 6.609557342360561361e-02
2.457337340555145871e+06 7.654428710937500000e+02 5.163534927368164062e+01 -7.209781956577875128e+00 7.324199654547526583e-02
2.457337370623771101e+06 7.723193359375000000e+02 5.168212509155273438e+01 -7.219492270139555856e+00 7.265563334470682977e-02
2.457337400692396332e+06 8.322207031250000000e+02 5.191845703125000000e+01 -7.300596288799456879e+00 6.773437061279473370e-02
2.457337430761021562e+06 8.348178710937500000e+02 5.193031692504882812e+01 -7.303979343779200661e+00 6.753906959889545425e-02
2.457337460829646792e+06 8.817458496093750000e+02 5.210671997070312500e+01 -7.363358560284631871e+00 6.416174248628943311e-02
2.457337490898271557e+06 8.574238281250000000e+02 5.228485870361328125e+01 -7.332988871366109329e+00 6.620735350100996619e-02
2.457337520966896787e+06 8.703339843750000000e+02 5.240506362915039062e+01 -7.349214854928918683e+00 6.537521779707734793e-02
2.457337551035522018e+06 7.900920410156250000e+02 5.192546463012695312e+01 -7.244194217393197022e+00 7.135567888399865777e-02
2.457337581104147248e+06 7.872456054687500000e+02 5.191413879394531250e+01 -7.240275612534714966e+00 7.159805867773194610e-02
2.457337611172772478e+06 7.872597656250000000e+02 5.180789184570312500e+01 -7.240295141454193839e+00 7.145024164660225552e-02
2.457337641241397709e+06 8.391330566406250000e+02 5.207949066162109375e+01 -7.309577074846419720e+00 6.738476781896686474e-02
2.457337671310022939e+06 8.580275878906250000e+02 5.205442810058593750e+01 -7.333753129517010194e+00 6.586918132186515840e-02
2.457337701378648169e+06 9.668710937500000000e+02 5.277439117431640625e+01 -7.463421441141258939e+00 5.926257165406367822e-02
2.457337731447273400e+06 8.050468750000000000e+02 5.205071258544921875e+01 -7.264552921295925891e+00 7.019906844868584184e-02
2.457337761515898630e+06 8.072065429687500000e+02 5.200164031982421875e+01 -7.267461683752594936e+00 6.994524691684979312e-02
2.457337791584523860e+06 8.008330078125000000e+02 5.167035675048828125e+01 -7.258854912724734376e+00 7.005277328854811469e-02
2.457337821653148625e+06 8.590349121093750000e+02 5.226370620727539062e+01 -7.335027035970266063e+00 6.605644960127331211e-02
2.457337851721773855e+06 8.252390136718750000e+02 5.203147125244140625e+01 -7.291449378299750705e+00 6.845610624522399656e-02
2.457337881790399086e+06 7.820646972656250000e+02 5.160644149780273438e+01 -7.233106705230234468e+00 7.164519506855272779e-02
2.457337911859024316e+06 8.191877441406250000e+02 5.181518936157226562e+01 -7.283458615512758527e+00 6.867512862567438925e-02
2.457337941927649546e+06 7.145610351562500000e+02 5.139492034912109375e+01 -7.135098326342506070e+00 7.809202863636813263e-02
2.457337971996274777e+06 8.753894042968750000e+02 5.216515350341796875e+01 -7.355503214033930703e+00 6.470011344299202161e-02
