# jd flux flux_err mag mag_err
2.457336981133252382e+06 6.637487588322632064e+02 5.560285378907526166e+01 -7.055009304968434591e+00 9.095345440518828872e-02
2.457337010359375738e+06 5.965181623542757734e+02 5.522405167522090608e+01 -6.939059178231148373e+00 1.005148973657642719e-01
2.457337039585499093e+06 5.593577546297232175e+02 5.596914574488805982e+01 -6.869224158199229713e+00 1.086387733040032194e-01
2.457337068811622914e+06 6.492399535209046917e+02 5.649223931717030922e+01 -7.031013094967091703e+00 9.447336625479188510e-02
2.457337098037746269e+06 5.472478362102367555e+02 5.583539144525798292e+01 -6.845460132663367503e+00 1.107774465178239798e-01
2.457337127263869625e+06 5.965447216381063527e+02 5.669509817069281610e+01 -6.939107518308472500e+00 1.031877974191363762e-01
2.457337156489992980e+06 5.907045885561326486e+02 5.610741990903733978e+01 -6.928425861107835537e+00 1.031278091828287252e-01
2.457337185716116801e+06 6.242704754303822483e+02 5.477749033795851119e+01 -6.988431989174793912e+00 9.526978241047304174e-02
2.457337214942240156e+06 5.682133915799519173e+02 5.414863287444671158e+01 -6.886278662259718075e+00 1.034670029399146624e-01
2.457337244168363512e+06 5.524876603303848697e+02 5.435194647366674303e+01 -6.855806456525140646e+00 1.068115844053964814e-01
2.457337273394486867e+06 5.036907194301039681e+02 5.434313056454102053e+01 -6.755409872491578760e+00 1.171403567766795134e-01
2.457337302620610688e+06 5.097782678986911264e+02 5.487185356048484408e+01 -6.768453293344832922e+00 1.168676070291025659e-01
2.457337331846734043e+06 5.603898547563358079e+02 5.520637806674574222e+01 -6.871225660649153966e+00 1.069608459422432684e-01
2.457337361072857399e+06 6.304186409330296783e+02 5.642337426520749233e+01 -6.999072615957318000e+00 9.717529019135434654e-02
2.457337390298980754e+06 7.344868745293407528e+02 5.630601608258018587e+01 -7.164960098101894381e+00 8.323320132939758531e-02
2.457337419525104575e+06 6.325596808953392838e+02 5.563881808068032342e+01 -7.002753766757079390e+00 9.549974835167042431e-02
2.457337448751227930e+06 6.514796497700860982e+02 5.456180443263930613e+01 -7.034752135575876864e+00 9.093136457232421643e-02
2.457337477977351286e+06 4.856370833962430424e+02 5.381439183625946754e+01 -6.715779605482290471e+00 1.203129657720705264e-01
2.457337507203474641e+06 5.021687116892596805e+02 5.422472024258749457e+01 -6.752124124765368052e+00 1.172393786903592333e-01
2.457337536429597996e+06 5.157603661133864534e+02 5.487897944751253476e+01 -6.781119913719616754e+00 1.155271072772642016e-01
2.457337565655721817e+06 5.866416373146453225e+02 5.655360328762601796e+01 -6.920932210258855299e+00 1.046678335253824199e-01
2.457337594881845172e+06 6.393861511674657550e+02 5.671668329809688203e+01 -7.014408063508685842e+00 9.631045591406155182e-02
2.457337624107968528e+06 6.061718962238236372e+02 5.638841890244857069e+01 -6.956489493565294779e+00 1.009996707543471955e-01
2.457337653334091883e+06 4.741907629807702165e+02 5.557958846897618344e+01 -6.689882724666619040e+00 1.272588736334228365e-01
2.457337682560215704e+06 5.498633767380941890e+02 5.592270169527868262e+01 -6.850636986919631966e+00 1.104229099577807849e-01
2.457337711786339059e+06 5.911587738271905437e+02 5.517729187715714545e+01 -6.929260349141607378e+00 1.013402752950041674e-01
2.457337741012462415e+06 5.663902098307394226e+02 5.412027022872491955e+01 -6.882789344696718992e+00 1.037456883580241268e-01
2.457337770238585770e+06 5.666768185199687196e+02 5.424892915254221037e+01 -6.883338617474667132e+00 1.039397243951415140e-01
2.457337799464709591e+06 5.902071919170512047e+02 5.548013878380109531e+01 -6.927511243132062901e+00 1.020607791773401746e-01
2.457337828690832946e+06 5.368124568244174952e+02 5.471194295482880676e+01 -6.824556462888073938e+00 1.106586559022521843e-01
2.457337857916956302e+06 6.871970114660865647e+02 5.552033470723009856e+01 -7.092703155337177989e+00 8.771960180156120057e-02
2.457337887143079657e+06 6.683052797985168354e+02 5.544004931729804042e+01 -7.062437230462621507e+00 9.006883675063966088e-02
2.457337916369203478e+06 5.975345587611476503e+02 5.608773970620410410e+01 -6.940907570055633080e+00 1.019132728236999963e-01
2.457337945595326833e+06 6.401855444992537514e+02 5.761186637389872800e+01 -7.015764658685055721e+00 9.770840396860869248e-02
2.457337974821450189e+06 5.772090765000872352e+02 5.555107236090614720e+01 -6.903332879177819237e+00 1.044925032552240646e-01
