# id ra dec s L A b x y a flux x_0 y_0
0.000000000000000000e+00 3.774362747065119805e+01 1.128801308715325824e+01 4.757218773556342484e+00 1.840543913457612462e+02 9.034074408333576400e+01 1.545544490990542954e+02 1.354943964499282174e+03 9.069977381423035467e+02 2.889999999999999858e+01 2.116798000000000000e+06 1.240649240860312375e+03 5.549615921862641699e+02
1.000000000000000000e+00 3.779199880122413191e+01 1.126553512854460593e+01 4.389490318345428577e+00 1.831071364122002763e+02 9.043804659063370366e+01 1.551397362455954578e+02 3.459058873439785202e+02 9.698643326985684325e+02 2.889999999999999858e+01 2.118465500000000000e+06 3.273068453805985882e+02 1.222336217113661689e+02
2.000000000000000000e+00 3.770675317275838978e+01 1.127154605289835665e+01 5.367238912273280427e+00 1.863318635353854802e+02 8.994409897218454830e+01 1.553373277175944338e+02 1.811303286810362579e+03 2.927995630100890594e+02 2.889999999999999858e+01 2.337091000000000000e+06 1.936912032605544027e+03 2.379832240626523117e+02
3.000000000000000000e+00 3.774228950812422312e+01 1.130946794004677969e+01 4.495127036701157763e+00 1.827766011331140987e+02 9.049203186501647167e+01 1.544350422907554332e+02 1.576796168166547659e+03 1.257534959919404173e+03 2.889999999999999858e+01 2.205490000000000000e+06 1.265895599607333452e+03 9.680374944596134128e+02
4.000000000000000000e+00 3.770416560046474785e+01 1.128595364758233366e+01 6.481522012583002201e+00 1.857085312387898739e+02 9.075099607740003194e+01 1.553210921184209212e+02 1.988183039881255127e+03 5.125404428634236638e+02 2.889999999999999858e+01 3.880586000000000000e+06 1.985722975584828873e+03 5.153845508781657827e+02
5.000000000000000000e+00 3.777845194106392768e+01 1.131768492421591432e+01 5.110967405859828006e+00 1.852793601613255134e+02 8.998886646597587458e+01 1.559349995765128654e+02 1.054943667480348722e+03 1.724995467484121718e+03 2.889999999999999858e+01 2.227782500000000000e+06 5.831904057722317702e+02 1.126258057804511054e+03
6.000000000000000000e+00 3.777701047055920469e+01 1.133743562150399242e+01 4.732102813488656246e+00 1.837987373691712207e+02 9.025050434381547859e+01 1.545198484094574098e+02 1.262873311220748974e+03 2.045208280625887710e+03 2.889999999999999858e+01 2.109139250000000000e+06 6.104353587126004186e+02 1.506519079767825133e+03
7.000000000000000000e+00 3.780405192829205419e+01 1.132659891612197711e+01 5.059883896457698427e+00 1.841782367153108453e+02 8.993444902269568786e+01 1.549938517402269156e+02 7.147992685223714489e+02 2.110045259732508384e+03 2.889999999999999858e+01 2.183865500000000000e+06 9.992654266446413658e+01 1.297944170829635823e+03
8.000000000000000000e+00 3.772089245948770753e+01 1.136435000262436823e+01 4.350250951143307176e+00 1.816881509213804691e+02 9.066130878136988258e+01 1.543925994883236967e+02 2.441206130770342043e+03 1.987143963894152193e+03 2.889999999999999858e+01 2.242350500000000000e+06 1.669737897561763248e+03 2.024719243913421906e+03
9.000000000000000000e+00 3.778500661766605617e+01 1.139719853141484585e+01 5.084810609445916008e+00 1.845049117598888699e+02 8.993284084997534933e+01 1.548787109123837809e+02 1.686869781351542997e+03 3.126035121490259371e+03 2.889999999999999858e+01 2.262120500000000000e+06 4.596175974955497168e+02 2.657154411515165521e+03
