# jd flux flux_err mag mag_err
2.457340028833579738e+06 -7.380107778920095370e+03 1.162875192115266714e+02 nan -1.710788173979727739e-02
2.457340184461374767e+06 -6.996156415726629348e+03 1.102914680815206196e+02 nan -1.711623517816861575e-02
2.457340340089169331e+06 -6.664910081715323031e+03 1.041831630714002301e+02 nan -1.697184599436184563e-02
2.457340495716964360e+06 -6.730345798537889095e+03 1.054580906189446665e+02 nan -1.701250882733055733e-02
2.457340651344758924e+06 -6.601618120673076191e+03 1.031833117727679934e+02 nan -1.697011957921960509e-02
2.457340806972553954e+06 -6.649479920500594744e+03 1.031935284016934844e+02 nan -1.684963980136657685e-02
2.457340962600348983e+06 -6.603973964929268732e+03 1.025565601325080536e+02 nan -1.686102340645158695e-02
2.457341118228143547e+06 -6.590326610086821347e+03 1.009473201972968610e+02 nan -1.663082118923529112e-02
2.457341273855938576e+06 -6.793831066805117189e+03 1.021951492818026992e+02 nan -1.633207542109279056e-02
2.457341429483733140e+06 -6.915429586679536442e+03 1.060521488723527312e+02 nan -1.665045658746349549e-02
2.457341585111528169e+06 -6.884789310132923674e+03 1.075310544979133311e+02 nan -1.695778357933662439e-02
