# jd flux flux_err mag mag_err
2.457340028832165059e+06 1.421016956969272724e+04 1.149202661908508816e+02 -1.038149815096618589e+01 8.780579936228900123e-03
2.457340184460242745e+06 1.403900360138829637e+04 1.145786002594151398e+02 -1.036834071361290555e+01 8.861210736733154958e-03
2.457340340088320430e+06 1.435000272616718576e+04 1.152527059473743520e+02 -1.039212995893970692e+01 8.720170674749760584e-03
2.457340495716398582e+06 1.437671327714609288e+04 1.151441678504652231e+02 -1.039414902861694046e+01 8.695772558857140302e-03
2.457340651344476268e+06 1.437435863462157613e+04 1.150528257092150852e+02 -1.039397119033308847e+01 8.690297644630305338e-03
2.457340806972553954e+06 1.432073079161864371e+04 1.150030186466869679e+02 -1.038991295182017893e+01 8.719064640090258902e-03
2.457340962600631639e+06 1.455126381132409733e+04 1.152144362188842877e+02 -1.040725178613099544e+01 8.596704973690428783e-03
2.457341118228709325e+06 1.445943921191574555e+04 1.149257291715848623e+02 -1.040037862453091755e+01 8.629619680404215440e-03
2.457341273856787477e+06 1.432253427684123744e+04 1.147587736346608409e+02 -1.039004967570265769e+01 8.699451401388173105e-03
2.457341429484865163e+06 1.426428289868206411e+04 1.145226696344483202e+02 -1.038562485866947505e+01 8.717006260468541934e-03
2.457341585112942848e+06 1.448302129153320311e+04 1.149883707172511578e+02 -1.040214792284521472e+01 8.620264453766584081e-03
