# id ra dec s L A b x y a flux x_0 y_0
0.000000000000000000e+00 1.224256723264742277e+02 -2.805096125265897911e+01 3.439895822756721788e+00 3.582549459809001746e+02 8.892370190278684561e+01 2.008262167617129421e+02 4.263800490776838160e+03 1.038514341600372063e+03 -8.940000000000000568e+01 1.665213761514034355e+06 1.034021431701248275e+03 3.904276378905569800e+02
1.000000000000000000e+00 1.224010574734234211e+02 -2.805219926541030162e+01 2.644251942440555947e+00 3.650000777502324354e+02 9.000102379195422486e+01 1.917585061261437147e+02 4.288984080003074268e+03 1.457373176245298964e+03 -8.940000000000000568e+01 -1.410965286512791645e+05 1.453211896624304927e+03 3.699582065362048979e+02
2.000000000000000000e+00 1.224523684521332996e+02 -2.804741253836864345e+01 2.866540457568651501e+00 3.573220386254046161e+02 8.894130720768025355e+01 2.010482377340205744e+02 4.194826900005084099e+03 5.844768485597766130e+02 -8.940000000000000568e+01 3.942841461936826818e+05 5.790722029043721477e+02 4.550063583492242856e+02
3.000000000000000000e+00 1.224493348732979996e+02 -2.804599632617770766e+01 4.216931572917053117e+00 3.600153274229480758e+02 9.006514693941716132e+01 1.915081906294147700e+02 4.168081799763017443e+03 6.361993034251975132e+02 -8.940000000000000568e+01 3.944944882979121991e+06 6.305215166573991610e+02 4.827044905110820991e+02
4.000000000000000000e+00 1.224416364112342706e+02 -2.804308021289784136e+01 3.424156656149281108e+00 3.526547737656920845e+02 8.888538884917635130e+01 2.016109049602741834e+02 4.111806586067794342e+03 7.673964613589834016e+02 -8.940000000000000568e+01 3.091045496400310658e+05 7.611852491785762140e+02 5.399379900384342363e+02
5.000000000000000000e+00 1.224409085857390096e+02 -2.804372273959621253e+01 4.637292889275022034e+00 3.558166319981626771e+02 9.001618843730645381e+01 1.914063601417091718e+02 4.124872390298332903e+03 7.792619343157531375e+02 -8.940000000000000568e+01 4.379977743430603296e+05 7.736636031090341703e+02 5.276693715266687832e+02
6.000000000000000000e+00 1.224522873907862675e+02 -2.804133008803038862e+01 1.989144641699314597e+00 3.649676215548485629e+02 8.893430757547095311e+01 2.012115856285944631e+02 4.076870879248358960e+03 5.860084134501465769e+02 -8.940000000000000568e+01 1.116635804414318409e+05 5.796144766297724118e+02 5.721274804059178223e+02
7.000000000000000000e+00 1.223928645647564935e+02 -2.803544344603994531e+01 2.248079517669082872e+00 3.648905707217634244e+02 8.920033816433812035e+01 1.990701159579525381e+02 3.967049039372741390e+03 1.598043189356997573e+03 -8.940000000000000568e+01 1.504317205250014085e+05 1.590530732862969217e+03 6.936721019087465265e+02
8.000000000000000000e+00 1.224493785513206348e+02 -2.803419067699798717e+01 2.926755016734002179e+00 3.562602847030113935e+02 8.963711789138790209e+01 1.940149740377173941e+02 3.939920710059549947e+03 6.355706885676171396e+02 -8.940000000000000568e+01 3.650977182051078416e+05 6.281573761637023381e+02 7.100004646541043485e+02
9.000000000000000000e+00 1.224385192079587767e+02 -2.803065836704992719e+01 6.941678090464707296e+00 3.651289028186520227e+02 8.960388494222770817e+01 1.978116209925660769e+02 3.872406690636983967e+03 8.211793112880669696e+02 -8.940000000000000568e+01 -2.432730130137237720e+05 8.125707600494647522e+02 7.795422156630471591e+02
1.000000000000000000e+01 1.224505059052477378e+02 -2.802606861567381458e+01 3.253048282475421882e+00 3.575674244550010030e+02 8.925577234411250060e+01 1.974670875085099624e+02 3.783738457607053988e+03 6.175410214309096091e+02 -8.940000000000000568e+01 9.346362426841328852e+05 6.078465885985565365e+02 8.662198512612654895e+02
1.100000000000000000e+01 1.224101423343554700e+02 -2.802332346579059319e+01 3.935849858799744805e+00 3.599243240106136454e+02 8.970867484502018385e+01 1.933260404452418300e+02 3.732992146806287565e+03 1.305070513615992240e+03 -8.940000000000000568e+01 1.312848913871862553e+07 1.294772233500144011e+03 9.246913483972678023e+02
1.200000000000000000e+01 1.224105684244907479e+02 -2.802282839316158203e+01 3.934777815808498502e+00 3.598350355195901784e+02 8.925654791324627979e+01 1.971894046513394301e+02 3.723402900310682526e+03 1.298032390970610777e+03 -8.940000000000000568e+01 1.312064007538429089e+07 1.287451916724296098e+03 9.341651979944322193e+02
1.300000000000000000e+01 1.224101430783188817e+02 -2.802332258164203083e+01 3.935837351788379124e+00 3.599228750455383761e+02 8.970788176613034182e+01 1.933260460764051345e+02 3.732989523501528311e+03 1.305089963767787140e+03 -8.940000000000000568e+01 1.312847008507616445e+07 1.294759449524447746e+03 9.247082700539172038e+02
1.400000000000000000e+01 1.224339945293313718e+02 -2.802229775042423654e+01 2.986033579665587023e+00 3.578368419891278336e+02 8.908846985616042957e+01 1.984095237080331060e+02 3.711690670666926962e+03 8.988335683532491203e+02 -8.940000000000000568e+01 4.479028816942779813e+05 8.884834449223245656e+02 9.411480651702372597e+02
1.500000000000000000e+01 1.224620702789447932e+02 -2.801944655964765829e+01 2.783880542991638674e+00 3.648218998383891289e+02 8.984791289986542040e+01 1.930726797414331202e+02 3.656442720203429872e+03 4.209279246670362227e+02 -8.940000000000000568e+01 3.184944940987844020e+05 4.100134290901536360e+02 9.920672305002296980e+02
1.600000000000000000e+01 1.224373584683378482e+02 -2.802034401524209883e+01 1.668713182217952840e+00 3.648778929834487599e+02 8.911569232802254703e+01 1.996668363102405692e+02 3.674534279805646293e+03 8.417814355492961340e+02 -8.940000000000000568e+01 5.636232973823952489e+04 8.309379132778732355e+02 9.782939139899674501e+02
