# jd flux flux_err mag mag_err
2.457340032856136095e+06 -1.524256542968750000e+04 1.680980834960937500e+02 nan -1.197375953653955286e-02
2.457340188893341925e+06 -1.522957910156250000e+04 1.678284149169921875e+02 nan -1.196474452752802412e-02
2.457340344930547755e+06 -1.490949609375000000e+04 1.670774536132812500e+02 nan -1.216692189631594923e-02
2.457340500967754051e+06 -1.497062207031250000e+04 1.673023071289062500e+02 nan -1.213355103675707938e-02
2.457340657004959881e+06 -1.545778027343750000e+04 1.679977569580078125e+02 nan -1.180000500802984124e-02
2.457340813042165712e+06 -1.513875976562500000e+04 1.668294525146484375e+02 nan -1.196487774279548708e-02
2.457340969079371542e+06 -1.550408398437500000e+04 1.678778686523437500e+02 nan -1.175636801853556339e-02
2.457341125116577372e+06 -1.574993164062500000e+04 1.689179992675781250e+02 nan -1.164456028823134676e-02
2.457341281153783668e+06 -1.588092773437500000e+04 1.685594024658203125e+02 nan -1.152399209254648810e-02
2.457341437190989498e+06 -1.574287890625000000e+04 1.686093444824218750e+02 nan -1.162848998385337604e-02
2.457341593228195328e+06 -1.559955078125000000e+04 1.682617950439453125e+02 nan -1.171114244972983921e-02
