# jd flux flux_err
2.457340034459799994e+06 7.659874733348004520e+04 2.490677087174341580e+02
2.457340145972328261e+06 7.294371461817780801e+04 2.432223894152483297e+02
2.457340257484856062e+06 7.103472237657716323e+04 2.402900063845223428e+02
2.457340368997384328e+06 7.319622992040787358e+04 2.431559349894488946e+02
2.457340480509912595e+06 6.957409493471245514e+04 2.385560712584646410e+02
2.457340592022440396e+06 6.941006860328634502e+04 2.383835055821212734e+02
2.457340703534968663e+06 6.969490694230489316e+04 2.388472380094445384e+02
2.457340815047496930e+06 6.928732591604314803e+04 2.384791540118094986e+02
2.457340926560024731e+06 7.555207118269514467e+04 2.467268378548323255e+02
2.457341038072552998e+06 8.848357739509978273e+04 2.628369360725593538e+02
2.457341149585080799e+06 8.773644462661386933e+04 2.618413145631292309e+02
2.457341261097609065e+06 9.227822834690421587e+04 2.674891821230642108e+02
2.457341372610137332e+06 9.313772818368546723e+04 2.685686361957356780e+02
2.457341484122665133e+06 8.938586803843897360e+04 2.643105458081679444e+02
2.457341595635193400e+06 8.344134569028756232e+04 2.576245052855300059e+02
