# id ra dec s L A b x y a flux x_0 y_0
0.000000000000000000e+00 9.492659337804877850e+01 3.955820321159321651e+01 4.810013023210572669e+00 1.730909762750842162e+02 8.991930458179625418e+01 6.481391332532426475e+01 1.503472289777889046e+03 8.980181295342854355e+02 3.650000000000000000e+01 3.984921062764978968e+06 1.421067773272878185e+03 6.055103920388368124e+02
1.000000000000000000e+00 9.489419702494893727e+01 3.954951093115967353e+01 5.482918285904628597e+00 1.756506956001809101e+02 8.990940174399150919e+01 6.487755916464499251e+01 1.792996513399483320e+03 4.775827705914097123e+02 3.650000000000000000e+01 1.535188425487797242e+06 1.904135547379288028e+03 4.397642287035127993e+02
2.000000000000000000e+00 9.495910764889822531e+01 3.955449630466218736e+01 4.684831363148111549e+00 1.727881549951015927e+02 9.014837522891799892e+01 6.478349225868684869e+01 1.071078343035564103e+03 1.127412376980365025e+03 3.650000000000000000e+01 3.627159753066295758e+06 9.377753807579288150e+02 5.326472162262934944e+02
3.000000000000000000e+00 9.498800634810626775e+01 3.955778312463943536e+01 4.736350520694255550e+00 1.726168622130007861e+02 8.990956006797209454e+01 6.487512093213608466e+01 7.619395525418508441e+02 1.433724916094116907e+03 3.650000000000000000e+01 3.652618345999008045e+06 5.074734274180192415e+02 5.947766982974615075e+02
4.000000000000000000e+00 9.489220794008620885e+01 3.955798130866627105e+01 5.007140303830210470e+00 1.738866016706394646e+02 8.989320902225777843e+01 6.483265422356411989e+01 1.912298487836586673e+03 5.912999779889036063e+02 3.650000000000000000e+01 2.524689993165442720e+06 1.932646075790600435e+03 6.029892143571361203e+02
5.000000000000000000e+00 9.490757644617258393e+01 3.955960732020482595e+01 4.842290657627908779e+00 1.732812535206930136e+02 8.995079609200382720e+01 6.479527654809459136e+01 1.747402055213913854e+03 7.524785571834149778e+02 3.650000000000000000e+01 3.337250754439102020e+06 1.703806384753034763e+03 6.334949047192571925e+02
6.000000000000000000e+00 9.496278317588443940e+01 3.956511941984974357e+01 4.444040459187158731e+00 1.722438375379542492e+02 8.938745290590468073e+01 6.486205109400434310e+01 1.147650535315023944e+03 1.324909916781338552e+03 3.650000000000000000e+01 9.324949334311177954e+06 8.818928940114644774e+02 7.370661435568754314e+02
7.000000000000000000e+00 9.499140595000302767e+01 3.956837317070148430e+01 5.451307156540193155e+00 1.739844757650851648e+02 9.066930175699300776e+01 6.467677112083784152e+01 8.419071177493583491e+02 1.628232584098341476e+03 3.650000000000000000e+01 1.783673341938721482e+06 4.557674275506087724e+02 7.985867727062423000e+02
8.000000000000000000e+00 9.497945394997144319e+01 3.957026783365126477e+01 4.615549286688492181e+00 1.725944000147890449e+02 8.942917206439432221e+01 6.504040338571995505e+01 1.006826004879379298e+03 1.551830115073221123e+03 3.650000000000000000e+01 4.907113498490026221e+06 6.333442439581485814e+02 8.355322485798986918e+02
9.000000000000000000e+00 9.499167793189477038e+01 3.958828678702099069e+01 7.113467207412236704e+00 1.777694161464149829e+02 8.945306740456955197e+01 6.509931917230035481e+01 1.065425493783224283e+03 1.939628562083416455e+03 3.650000000000000000e+01 1.864138251496172510e+06 4.495984871667766356e+02 1.182063196297032391e+03
1.000000000000000000e+01 9.495953678778350593e+01 3.959504615628750201e+01 4.545053286702274598e+00 1.723718633254762835e+02 9.059404095405756152e+01 6.434253657758058864e+01 1.527184220887845413e+03 1.761506223886912267e+03 3.650000000000000000e+01 9.810081468139462173e+06 9.267864091355822893e+02 1.313517383893318311e+03
1.100000000000000000e+01 9.490049057710193381e+01 3.959657189016269285e+01 5.161742979989538682e+00 1.739952453770168290e+02 8.932246967922768022e+01 6.512366124408563905e+01 2.251665686895245017e+03 1.264005218485474188e+03 3.650000000000000000e+01 2.324058403023518622e+06 1.804552777138057081e+03 1.345705563877590293e+03
