# jd flux flux_err mag mag_err
2.457368002765456680e+06 -7.418976431695061365e+03 1.420409860978752761e+02 nan -2.078717753935114404e-02
2.457368002837831620e+06 -7.609852789165746799e+03 1.449939549798324663e+02 nan -2.068709356689954829e-02
2.457368002910206560e+06 -7.395193484107552649e+03 1.373970307029238711e+02 nan -2.017221759457388935e-02
2.457368002982581034e+06 -7.292198080634430880e+03 1.355874119309074501e+02 nan -2.018769580886861301e-02
2.457368003054955974e+06 -7.136253563711004062e+03 1.337403454448547109e+02 nan -2.034782555957634353e-02
2.457368003127330914e+06 -7.292459695376373020e+03 1.378576608142517728e+02 nan -2.052497825217540137e-02
2.457368003199705854e+06 -7.089816461052002524e+03 1.325222167916404032e+02 nan -2.029455521871234916e-02
2.457368003272080794e+06 -6.257660883160298908e+03 1.136290902143642114e+02 nan -1.971529789051744766e-02
2.457368003344455734e+06 -5.828645535023037155e+03 1.018889698311048022e+02 nan -1.897952610768712661e-02
2.457368003416830208e+06 -5.908705130421384638e+03 1.056688046405702437e+02 nan -1.941691883721920198e-02
2.457368003489205148e+06 -6.302853584998851147e+03 1.165380135010227889e+02 nan -2.007503126516360648e-02
2.457368003561580088e+06 -6.828900056159373889e+03 1.287013621911699204e+02 nan -2.046247797394614917e-02
2.457368003633955028e+06 -7.195519455427886896e+03 1.367664748787090616e+02 nan -2.063684677036000531e-02
2.457368003706329968e+06 -7.064502661156956492e+03 1.335357594245477912e+02 nan -2.052304633343633375e-02
2.457368003778704442e+06 -6.918373293133144216e+03 1.280824900271535967e+02 nan -2.010071975447038847e-02
2.457368003851079382e+06 -6.689817798097791638e+03 1.259251985078762743e+02 nan -2.043733165151637513e-02
2.457368003923454322e+06 -6.952504703242820142e+03 1.322421896031622168e+02 nan -2.065164154046062947e-02
