# jd flux flux_err mag mag_err
2.457368005020016339e+06 1.599781337157708185e+04 1.469203644716259589e+02 -1.051015156514685245e+01 9.971194988737249257e-03
2.457368005092697684e+06 1.434853432032834462e+04 1.437419566901619987e+02 -1.039201885213441479e+01 1.087681769946835346e-02
2.457368005165379029e+06 1.509410373351926864e+04 1.453256391633990177e+02 -1.044701832583518275e+01 1.045347655289236878e-02
2.457368005238060374e+06 1.604501511393889268e+04 1.470884931650745671e+02 -1.051335032631130417e+01 9.953238400524217627e-03
2.457368005310741719e+06 1.733546480413286190e+04 1.492832362017847174e+02 -1.059733872648433284e+01 9.349779928316913694e-03
2.457368005383423064e+06 1.710045300614857479e+04 1.484994105180510076e+02 -1.058251903847522257e+01 9.428507532396762994e-03
2.457368005456104409e+06 1.531232040758114454e+04 1.449096702619861503e+02 -1.046260252015659908e+01 1.027500869903117363e-02
2.457368005528785754e+06 1.527926315487131797e+04 1.452424085781956364e+02 -1.046025602704395929e+01 1.032088334962761797e-02
2.457368005601467565e+06 1.470812317761155100e+04 1.440197306805233097e+02 -1.041889314585529647e+01 1.063140283099423510e-02
2.457368005674148910e+06 1.537447672889199384e+04 1.458238618263123385e+02 -1.046700085865977314e+01 1.029802851382706150e-02
2.457368005746830255e+06 1.661252374849455737e+04 1.477644961607425103e+02 -1.055108903699627376e+01 9.657402240048157394e-03
2.457368005819511600e+06 1.761906582783973136e+04 1.481812591290463104e+02 -1.061495719541006011e+01 9.131376308984308701e-03
2.457368005892192945e+06 1.816357366014833678e+04 1.482056006303672859e+02 -1.064800324870516590e+01 8.859090828665752357e-03
2.457368005964874290e+06 2.097986281376776242e+04 1.530880330871408717e+02 -1.080450661009446200e+01 7.922539938390668265e-03
2.457368006037555635e+06 2.121799943743658514e+04 1.533501203396586163e+02 -1.081676108389914859e+01 7.847033842588137936e-03
2.457368006110236980e+06 1.900931579218434126e+04 1.484954003309756558e+02 -1.069741621364882533e+01 8.481493901092535329e-03
2.457368006182918325e+06 1.864672694678627158e+04 1.479570466743130055e+02 -1.067650652820394086e+01 8.615071391060139319e-03
