# jd flux flux_err
2.457368006551600061e+06 6.167679923221985518e+03 1.552492605427560477e+02
2.457368006576456130e+06 5.353627357219823352e+03 1.573200528516050554e+02
2.457368006601312198e+06 5.798986765894391283e+03 1.570239448795581154e+02
2.457368006626168732e+06 8.739447097252155800e+03 1.555255369809628974e+02
2.457368006651024800e+06 1.134169002559267756e+04 1.551443321487111575e+02
2.457368006675880868e+06 1.095297171336206156e+04 1.558060413317805342e+02
2.457368006700736936e+06 9.687597370016166678e+03 1.565415180707515788e+02
2.457368006725593004e+06 7.936850114493537149e+03 1.547104746637877213e+02
2.457368006750449073e+06 8.285276636584054359e+03 1.538751148727699274e+02
2.457368006775305606e+06 9.279186422413793480e+03 1.532700831689778909e+02
2.457368006800161675e+06 9.854236816406250000e+03 1.552777423363499167e+02
2.457368006825017743e+06 9.338786503232742689e+03 1.571188850544503737e+02
2.457368006849873811e+06 7.949291621767242759e+03 1.559310729092755139e+02
2.457368006874729879e+06 9.161638267780170281e+03 1.541521391643732954e+02
2.457368006899585947e+06 1.002276256061422464e+04 1.552782266530002744e+02
2.457368006924442481e+06 9.061344726562503638e+03 1.576483372220541810e+02
2.457368006949298549e+06 9.871259546740304359e+03 1.562388856233996250e+02
2.457368006974154618e+06 1.045888601158405436e+04 1.525488568647072611e+02
2.457368006999010686e+06 1.255787267645474276e+04 1.527682688678218028e+02
2.457368007023866754e+06 1.350234193157328264e+04 1.545464610856502645e+02
2.457368007048723288e+06 1.289359374999997453e+04 1.540622569370995336e+02
2.457368007073579356e+06 1.284986011584054722e+04 1.531209343422119105e+02
2.457368007098435424e+06 1.218078508890083322e+04 1.521646901520030326e+02
2.457368007123291492e+06 1.245292884563574626e+04 1.529800538536924819e+02
2.457368007148147561e+06 1.252408787378775014e+04 1.522390784770697962e+02
2.457368007173003629e+06 1.264580243130385134e+04 1.519573282741687024e+02
2.457368007197860163e+06 1.291736031788796390e+04 1.525427240092641341e+02
2.457368007222716231e+06 1.260759718480600714e+04 1.522903328346722560e+02
2.457368007247572299e+06 1.250866045932115594e+04 1.511723337148931421e+02
