# jd flux flux_err mag mag_err
2.457368006333812140e+06 -7.410601562500000000e+03 1.079283447265625000e+02 nan -1.581276769707829627e-02
2.457368006390389521e+06 -7.126788085937500000e+03 1.076827621459960938e+02 nan -1.640507347245109479e-02
2.457368006446966901e+06 -7.081509765625000000e+03 1.080017395019531250e+02 nan -1.655887127573582931e-02
2.457368006503544282e+06 -7.217128906250000000e+03 1.082367706298828125e+02 nan -1.628306669732887749e-02
2.457368006560121663e+06 -7.351014648437500000e+03 1.077105789184570312e+02 nan -1.590878124284285031e-02
2.457368006616699044e+06 -7.063679687500000000e+03 1.074651107788085938e+02 nan -1.651818521491864311e-02
2.457368006673276424e+06 -6.994102539062500000e+03 1.075397491455078125e+02 nan -1.669409428659797065e-02
2.457368006729853805e+06 -7.173357421875000000e+03 1.074235534667968750e+02 nan -1.625933883976936681e-02
2.457368006786431186e+06 -6.957734863281250000e+03 1.071059875488281250e+02 nan -1.671366575564262394e-02
2.457368006843008567e+06 -7.084951660156250000e+03 1.078392639160156250e+02 nan -1.652592819547799366e-02
2.457368006899585947e+06 -6.900555175781250000e+03 1.074553451538085938e+02 nan -1.690712753906607746e-02
2.457368006956163794e+06 -7.103455566406250000e+03 1.079238204956054688e+02 nan -1.649580373516441531e-02
2.457368007012741175e+06 -7.032736328125000000e+03 1.078249816894531250e+02 nan -1.664642184171276351e-02
2.457368007069318555e+06 -6.882573730468750000e+03 1.079694442749023438e+02 nan -1.703239936363871304e-02
2.457368007125895936e+06 -7.016196289062500000e+03 1.081040878295898438e+02 nan -1.672885527776221334e-02
2.457368007182473317e+06 -6.997465332031250000e+03 1.080982589721679688e+02 nan -1.677273100006513792e-02
2.457368007239050698e+06 -7.037204101562500000e+03 1.075683898925781250e+02 nan -1.659626493084605942e-02
2.457368007295628078e+06 -7.233213867187500000e+03 1.078606948852539062e+02 nan -1.619040623089595954e-02
2.457368007352205459e+06 -7.178911132812500000e+03 1.076026382446289062e+02 nan -1.627384519551131406e-02
2.457368007408782840e+06 -7.087562988281250000e+03 1.075447845458984375e+02 nan -1.647472827626745434e-02
2.457368007465360221e+06 -7.189418945312500000e+03 1.077573852539062500e+02 nan -1.627342965482041909e-02
