# id ra dec s L A b x y a flux x_0 y_0
0.000000000000000000e+00 9.499532476815157622e+01 3.996818784261094493e+01 4.748784243291915175e+00 1.791782869076370162e+02 8.986654636741656077e+01 1.046685399343322729e+02 1.825928013597225117e+03 2.022838273052399018e+03 3.650000000000000000e+01 1.289557250000000000e+06 1.011560108708407938e+03 1.701466697742827591e+03
1.000000000000000000e+00 9.499895114622219694e+01 3.997162829279109530e+01 4.790005740267640810e+00 1.801227296828877513e+02 8.990170196408332970e+01 1.045712804236200100e+02 1.828960793705775814e+03 1.938338428847004707e+03 3.650000000000000000e+01 1.306580375000000000e+06 1.065069364081351068e+03 1.635228379452116314e+03
2.000000000000000000e+00 9.501454482478064278e+01 3.996846970027923618e+01 4.753612367589199472e+00 1.785650457841272782e+02 8.980138046057396650e+01 1.045941125532072817e+02 2.050052343574206134e+03 1.849946273234724686e+03 3.650000000000000000e+01 1.359364500000000000e+06 1.295161915346144497e+03 1.696021060758289423e+03
3.000000000000000000e+00 9.499363110755678008e+01 3.995737543506093914e+01 6.175362475608790369e+00 1.793332775909893542e+02 8.876097106764360944e+01 1.044222512298574941e+02 1.929046425949052946e+03 2.205926439030251913e+03 3.650000000000000000e+01 3.145590500000000000e+06 9.865567960622964847e+02 1.909637921922065061e+03
4.000000000000000000e+00 9.500233143932415203e+01 3.995325767981594822e+01 5.120706205995208649e+00 1.809846823792540249e+02 9.001966010893251280e+01 1.039444817482911532e+02 2.080028617985467918e+03 2.193160046255550242e+03 3.650000000000000000e+01 1.233152750000000000e+06 1.114958314892864337e+03 1.988918876417237243e+03
5.000000000000000000e+00 9.499422551404067860e+01 3.997134373111373407e+01 4.806466033716453978e+00 1.794133584798501602e+02 8.992438573821112868e+01 1.046726193032697267e+02 1.776914088670908086e+03 1.984007129023387051e+03 3.650000000000000000e+01 1.318367000000000000e+06 9.953432107168969196e+02 1.640705227194263443e+03
6.000000000000000000e+00 9.501809119084849442e+01 3.997190475677039956e+01 5.148645142971305155e+00 1.817502758234197699e+02 8.984881933430492040e+01 1.046144033659707446e+02 2.052940752340621202e+03 1.766628619899679961e+03 3.650000000000000000e+01 1.487051625000000000e+06 1.347476188643564456e+03 1.629875308831205075e+03
7.000000000000000000e+00 9.502294714609364235e+01 3.995712303408728161e+01 4.690768247146425374e+00 1.774539414151495009e+02 8.980046095115451976e+01 1.045439719827681131e+02 2.280217410239034507e+03 1.951475918150041934e+03 3.650000000000000000e+01 1.342878875000000000e+06 1.419200953174119604e+03 1.914452182601216009e+03
8.000000000000000000e+00 9.498376340119943961e+01 3.996901131836286680e+01 4.814326790562458491e+00 1.802828580963720242e+02 9.004340484114612764e+01 1.045225990425448117e+02 1.679110666590594747e+03 2.112324110242881943e+03 3.650000000000000000e+01 1.295646750000000000e+06 8.409683250321786545e+02 1.685594210574516865e+03
9.000000000000000000e+00 9.498019406465748204e+01 3.996561146299607969e+01 4.817135048728278690e+00 1.795592690154524860e+02 8.989178863904176353e+01 1.046944392672370725e+02 1.675882076918986286e+03 2.195946491940040232e+03 3.650000000000000000e+01 1.322392375000000000e+06 7.882876587081824482e+02 1.751042002718204003e+03
