# jd flux flux_err mag mag_err
2.457368857751478441e+06 -1.287289257812500000e+04 1.431806793212890625e+02 nan -1.207630606896118765e-02
2.457368857871836983e+06 -1.273298242187500000e+04 1.427490386962890625e+02 nan -1.217219470968891951e-02
2.457368857992195524e+06 -1.279328125000000000e+04 1.421751251220703125e+02 nan -1.206611637261055525e-02
2.457368858112554066e+06 -1.258810839843750000e+04 1.422470245361328125e+02 nan -1.226898272015445115e-02
2.457368858232912607e+06 -1.289940625000000000e+04 1.427873840332031250e+02 nan -1.201838063982285654e-02
2.457368858353271149e+06 -1.294917578125000000e+04 1.426339569091796875e+02 nan -1.195932428369766119e-02
2.457368858473629225e+06 -1.283114648437500000e+04 1.418695831298828125e+02 nan -1.200465456263099216e-02
2.457368858593987767e+06 -1.298482226562500000e+04 1.416649932861328125e+02 nan -1.184547209534580516e-02
2.457368858714346308e+06 -1.288789453125000000e+04 1.418709869384765625e+02 nan -1.195191386654229949e-02
2.457368858834704850e+06 -1.316258593750000000e+04 1.423207092285156250e+02 nan -1.173958427101578356e-02
2.457368858955063391e+06 -1.314965722656250000e+04 1.423804168701171875e+02 nan -1.175605653813475635e-02
