# jd flux flux_err
2.457368863109699916e+06 -1.698955943080357247e+04 2.760338392624232711e+02
2.457368863163164817e+06 -1.631895340401786234e+04 2.777963604081283506e+02
2.457368863216630183e+06 -1.537787332589286234e+04 2.782652324527302881e+02
2.457368863270095084e+06 -1.477821289062500000e+04 2.787995799633228557e+02
2.457368863323560450e+06 -1.525313755580357247e+04 2.786413110893614657e+02
2.457368863377025351e+06 -1.604542327008928987e+04 2.785485567941267391e+02
2.457368863430490717e+06 -1.617579799107142753e+04 2.777595098420642330e+02
2.457368863483955618e+06 -1.659105803571428987e+04 2.777402286896964370e+02
2.457368863537420984e+06 -1.638408398437500000e+04 2.769880371555954071e+02
2.457368863590885885e+06 -1.668947739955357247e+04 2.771997076908404551e+02
2.457368863644351251e+06 -1.661729296875000000e+04 2.775064278928114163e+02
2.457368863697816152e+06 -1.610946037946428987e+04 2.775383821941290421e+02
2.457368863751281518e+06 -1.604970591517857247e+04 2.782330449485684767e+02
2.457368863804746419e+06 -1.624989369419642753e+04 2.780829907328111403e+02
