# jd flux flux_err mag mag_err
2.457368864229514729e+06 -1.060541783102965564e+04 1.753881659596425493e+02 nan -1.795553464681685918e-02
2.457368864328151569e+06 -1.176779687499999636e+04 1.737813384384683104e+02 nan -1.603370217895460151e-02
2.457368864426787943e+06 -1.189426111778846098e+04 1.728319746828935877e+02 nan -1.577656538173389036e-02
2.457368864525424782e+06 -1.152811549729567196e+04 1.737437739552534310e+02 nan -1.636352144272228831e-02
2.457368864624061622e+06 -1.161159968449519874e+04 1.736320188623089962e+02 nan -1.623542261892565661e-02
2.457368864722697996e+06 -1.118847526041664969e+04 1.745532137508445203e+02 nan -1.693880550179492281e-02
2.457368864821334835e+06 -9.919108774038460979e+03 1.762122261301835806e+02 nan -1.928808996422481242e-02
2.457368864919971675e+06 -1.061184435096154266e+04 1.748308546562927859e+02 nan -1.788764006110997798e-02
2.457368865018608049e+06 -1.195371942608173413e+04 1.728093883461770019e+02 nan -1.569604058914067166e-02
2.457368865117244888e+06 -1.233807289162660891e+04 1.719606486326395896e+02 nan -1.513239192914085825e-02
2.457368865215881728e+06 -1.233604080278446054e+04 1.723262840334326427e+02 nan -1.516706556160442136e-02
2.457368865314518102e+06 -1.212918985376600176e+04 1.725724387872718921e+02 nan -1.544775883203083726e-02
2.457368865413154941e+06 -1.156808322065305765e+04 1.733081050394557110e+02 nan -1.626609511501387120e-02
