# id ra dec s L A b x y a flux x_0 y_0
0.000000000000000000e+00 4.823724906542512514e+01 1.872738070689357670e+01 5.129098417503646701e+00 2.608664543385045249e+02 9.000104463382473341e+01 1.183737196970459848e+02 4.058994868840498384e+03 2.253987313975903817e+03 6.370000000000000284e+01 2.176688500000000000e+06 1.475641789096847333e+03 3.797260143878753752e+03
1.000000000000000000e+00 4.820285668749878738e+01 1.869582282548042684e+01 4.375315689081662462e+00 2.545996792510231899e+02 8.935424550511470443e+01 1.180079903993872676e+02 4.325135093233005136e+03 3.085323981680994166e+03 6.370000000000000284e+01 8.639489000000000000e+06 8.484905404173725856e+02 4.404874137899218113e+03
2.000000000000000000e+00 4.819750132391886410e+01 1.870100625215184564e+01 5.113587660264327539e+00 2.604793697638168055e+02 9.000495128946531054e+01 1.194463895428542202e+02 4.193048551684127233e+03 3.129014468102061528e+03 6.370000000000000284e+01 2.282462500000000000e+06 7.508332940823661374e+02 4.305066925909073689e+03
3.000000000000000000e+00 4.819116041984910481e+01 1.869807655198739837e+01 5.393327487061326586e+00 2.633780389840391081e+02 8.997573851751575091e+01 1.183559611023676013e+02 4.191949230370863916e+03 3.257972524559343583e+03 6.370000000000000284e+01 2.532340000000000000e+06 6.351882909382513844e+02 4.361459871040975486e+03
4.000000000000000000e+00 4.818704606875608931e+01 1.873400977540216772e+01 4.495048806075891967e+00 2.577405623373475123e+02 8.984593433524359796e+01 1.183677777021174649e+02 3.538796978500511159e+03 3.017909303708795505e+03 6.370000000000000284e+01 2.750116000000000000e+06 5.602640777779384962e+02 3.669608847916956165e+03
5.000000000000000000e+00 4.818988401238210884e+01 1.874886872304128715e+01 4.604548463663327595e+00 2.571318516798560267e+02 8.990746529949998944e+01 1.186170426892313543e+02 3.304487501994478862e+03 2.844815716350830826e+03 6.370000000000000284e+01 2.648054000000000000e+06 6.120497054475927143e+02 3.383528858403230061e+03
6.000000000000000000e+00 4.818100661009882657e+01 1.873125497847696508e+01 5.292449968780155167e+00 2.643078836925010933e+02 8.970947117342433330e+01 1.184818275753009260e+02 3.537456806334377688e+03 3.140185940315547668e+03 6.370000000000000284e+01 2.899448500000000000e+06 4.501350921802040830e+02 3.722628898754097008e+03
7.000000000000000000e+00 4.823810056101723376e+01 1.878111715093400846e+01 5.770627554261083425e+00 2.625826484751298722e+02 8.985111200893717864e+01 1.187277814962808122e+02 3.138192114930512162e+03 1.781360621669249213e+03 6.370000000000000284e+01 3.907571000000000000e+06 1.491040117258475902e+03 2.762636806320403139e+03
8.000000000000000000e+00 4.824108207863598352e+01 1.878715878558828223e+01 5.463397653763282236e+00 2.591421611057518248e+02 8.971758921849878732e+01 1.184961310340444811e+02 3.057939848630368033e+03 1.681319572649309293e+03 6.370000000000000284e+01 4.095149250000000000e+06 1.545371608057621643e+03 2.646305410775921246e+03
9.000000000000000000e+00 4.823947004498955238e+01 1.878963197773824945e+01 5.206179094255834805e+00 2.613398856238631538e+02 8.989668691566676273e+01 1.187485353940770807e+02 3.002212788312241628e+03 1.684875719424462659e+03 6.370000000000000284e+01 3.510889500000000000e+06 1.515981890985958898e+03 2.598691209167270245e+03
1.000000000000000000e+01 4.819636657905179788e+01 1.877824607151691083e+01 3.979248917855759071e+00 2.536768862196761063e+02 8.948757781340268025e+01 1.179856390911488830e+02 2.850745562571419214e+03 2.488618379093896692e+03 6.370000000000000284e+01 1.279690600000000000e+07 7.302979340682425118e+02 2.817922299068337452e+03
1.100000000000000000e+01 4.823720364608122679e+01 1.879346565246155976e+01 4.915036123891889375e+00 2.594593078393494352e+02 9.002697590538960526e+01 1.192108827424787449e+02 2.917610080534854660e+03 1.690010405222484906e+03 6.370000000000000284e+01 2.438499750000000000e+06 1.474662763136272133e+03 2.524883742882746446e+03
1.200000000000000000e+01 4.822168704316681698e+01 1.879512892218900078e+01 7.668881534998636340e+00 2.637593490762393458e+02 8.982989444180539351e+01 1.181876722406803140e+02 2.763827648435388255e+03 1.929960692859271376e+03 6.370000000000000284e+01 5.571278000000000000e+06 1.191841970948958533e+03 2.492881341709252865e+03
1.300000000000000000e+01 4.821402711432745036e+01 1.879444679566316623e+01 4.003450323193370686e+00 2.539606151315242357e+02 8.956930094714229540e+01 1.179925114221875191e+02 2.713186071068046658e+03 2.061598053108710701e+03 6.370000000000000284e+01 1.457264800000000000e+07 1.052226370060317777e+03 2.506016548732625324e+03
1.400000000000000000e+01 4.817281279105744574e+01 1.877285830425778812e+01 5.668522894601416340e+00 2.581914950974385192e+02 8.974622721592967878e+01 1.188042881379875837e+02 2.752941927558581028e+03 2.918790831903383605e+03 6.370000000000000284e+01 6.670084000000000000e+06 3.009224352659050510e+02 2.921581755354424786e+03
1.500000000000000000e+01 4.824687670436622255e+01 1.881170582043757378e+01 4.900447804179484557e+00 2.593946021751493163e+02 8.998532070489152090e+01 1.187597015973820334e+02 2.680651217481040476e+03 1.376078721838904130e+03 6.370000000000000284e+01 2.350211500000000000e+06 1.650912379497900929e+03 2.173664594480449978e+03
1.600000000000000000e+01 4.824556682252951845e+01 1.881711136150950736e+01 4.482105850992720519e+00 2.577586703484392956e+02 8.976458426642881250e+01 1.183389713999062423e+02 2.576833456966336598e+03 1.351535663784330154e+03 6.370000000000000284e+01 3.170215250000000000e+06 1.627022672517963429e+03 2.069591052776349443e+03
1.700000000000000000e+01 4.816771579180144158e+01 1.879593778454952613e+01 3.876814235398849728e+00 2.533244678474933096e+02 8.949002890119402309e+01 1.178744137369940859e+02 2.312978382961226544e+03 2.805082796362328736e+03 6.370000000000000284e+01 1.867780800000000000e+07 2.081263257283508210e+02 2.477191453667410769e+03
1.800000000000000000e+01 4.820482111602071740e+01 1.882796265826164372e+01 4.702286551206759313e+00 2.594197315538846738e+02 8.995479312682151374e+01 1.191955427382583110e+02 2.060788750010685817e+03 1.925167344253522515e+03 6.370000000000000284e+01 2.582796750000000000e+06 8.844691865298361790e+02 1.860700740855925915e+03
1.900000000000000000e+01 4.824676752827087256e+01 1.886812738956265889e+01 5.352032346301847099e+00 2.605473199044631087e+02 8.969779007164856921e+01 1.183842881055911960e+02 1.705375134765549774e+03 8.972216797187392103e+02 6.370000000000000284e+01 3.440598500000000000e+06 1.648736541495512483e+03 1.087323896755050782e+03
2.000000000000000000e+01 4.826273612507615240e+01 1.887031301119084148e+01 5.355792372469561968e+00 2.605993828718213194e+02 9.002723783357582477e+01 1.188504485390147067e+02 1.796635515783566007e+03 6.175605412379469499e+02 6.370000000000000284e+01 2.571430500000000000e+06 1.939657291411834649e+03 1.045177493451978762e+03
2.100000000000000000e+01 4.823512009636264963e+01 1.887690350271225626e+01 5.467796180242713078e+00 2.644463288225166480e+02 8.994859854011417610e+01 1.182963483585221383e+02 1.460047958560084453e+03 1.011824207007414202e+03 6.370000000000000284e+01 2.471751000000000000e+06 1.436514082161407941e+03 9.183773892031140349e+02
2.200000000000000000e+01 4.824169192499753933e+01 1.887988529562950291e+01 4.841481892817820487e+00 2.592534540335078077e+02 8.992368479165902784e+01 1.184590378272337432e+02 1.461817832037704420e+03 8.795698844423492346e+02 6.370000000000000284e+01 2.240495000000000000e+06 1.556231760733239753e+03 8.609500167192363733e+02
2.300000000000000000e+01 4.817059235775608528e+01 1.886510430270928751e+01 4.773945931427280520e+00 2.570826038971360390e+02 8.946515707716089594e+01 1.183223180885641739e+02 1.142991258313558774e+03 2.167323881581813112e+03 6.370000000000000284e+01 4.965278000000000000e+06 2.608879365969965534e+02 1.145475758633550186e+03
2.400000000000000000e+01 4.820871768343364039e+01 1.889468311409499179e+01 5.101982826314608310e+00 2.597097654479716766e+02 9.001928158709566219e+01 1.147595126282074744e+02 9.400817079546197874e+02 1.291995332870985749e+03 6.370000000000000284e+01 2.474067750000000000e+06 9.555268431193335346e+02 5.760614311008894219e+02
2.500000000000000000e+01 4.817944969560166157e+01 1.888741217327313393e+01 4.768196163608088511e+00 2.602922256593894872e+02 8.999222856938625625e+01 1.183328390301861930e+02 8.299752675601245073e+02 1.831811446623305301e+03 6.370000000000000284e+01 2.275147500000000000e+06 4.223484227563909030e+02 7.159928968612324525e+02
2.600000000000000000e+01 4.818588485064899629e+01 1.889034846533207457e+01 4.746052127067645898e+00 2.593119689949853637e+02 8.991385101729997587e+01 1.183616516525176365e+02 8.309129054951931721e+02 1.702173164907043883e+03 6.370000000000000284e+01 2.310894000000000000e+06 5.395865394585104013e+02 6.594786693617838864e+02
2.700000000000000000e+01 4.816224583575213813e+01 1.889512028382706532e+01 5.484479580711883351e+00 2.554346458369717539e+02 9.001715592204999439e+01 1.185273194891232293e+02 5.580008477884703098e+02 2.048020943836856077e+03 6.370000000000000284e+01 1.835345875000000000e+06 1.089904805324891868e+02 5.674994042693884921e+02
2.800000000000000000e+01 4.816856730637692863e+01 1.890126697548589263e+01 4.380001499013534527e+00 2.572836253400594728e+02 8.979094726086690059e+01 1.183064917888225551e+02 5.028781702355784091e+02 1.891830639866590445e+03 6.370000000000000284e+01 2.691287250000000000e+06 2.241739576401256215e+02 4.491818483043652463e+02
2.900000000000000000e+01 4.823964217184411041e+01 1.891438070776408864e+01 6.117788135377907111e+00 2.639564968958330269e+02 8.998474196828831850e+01 1.186722069452109594e+02 8.501580664238327927e+02 6.193739033254277047e+02 6.370000000000000284e+01 3.005257250000000000e+06 1.518802222502662971e+03 1.967702932346558100e+02
