# jd flux flux_err mag mag_err
2.457368840401174035e+06 1.404282226562500000e+02 8.618886566162109375e+01 -5.368635997976591412e+00 6.663809968777925086e-01
2.457368840430798940e+06 5.442724609375000000e+01 8.554357910156250000e+01 -4.339540901172747489e+00 1.706463072075143250e+00
2.457368840460423846e+06 6.265625000000000000e+00 8.543072509765625000e+01 -1.992410996590737726e+00 1.480387917686253019e+01
2.457368840490048751e+06 -5.906445312500000000e+01 8.561651611328125000e+01 nan -1.573827764190172118e+00
2.457368840519673657e+06 -9.702099609375000000e+01 8.508451080322265625e+01 nan -9.521614957470218021e-01
2.457368840549298096e+06 -2.300048828125000000e+02 8.511279296875000000e+01 nan -4.017756610550896612e-01
2.457368840578923002e+06 -2.591088867187500000e+02 8.471880340576171875e+01 nan -3.549959045195324459e-01
2.457368840608547907e+06 -9.274072265625000000e+01 8.546995544433593750e+01 nan -1.000619218464537497e+00
2.457368840638172813e+06 -2.572128906250000000e+02 8.464179992675781250e+01 nan -3.572876446012220875e-01
2.457368840667797718e+06 -2.834282226562500000e+02 8.468409729003906250e+01 nan -3.244028097484154549e-01
2.457368840697422624e+06 -4.085371093750000000e+02 8.435836791992187500e+01 nan -2.241932306357597438e-01
2.457368840727047529e+06 -2.868144531250000000e+02 8.458106231689453125e+01 nan -3.201827578749046332e-01
2.457368840756672435e+06 -2.496162109375000000e+02 8.468215179443359375e+01 nan -3.683366522709911606e-01
2.457368840786296874e+06 -1.187968750000000000e+02 8.492372894287109375e+01 nan -7.761575332889257828e-01
2.457368840815921780e+06 1.327636718750000000e+01 8.573312377929687500e+01 -2.807698138209267391e+00 7.011246412329899869e+00
2.457368840845546685e+06 7.411914062500000000e+01 8.618363952636718750e+01 -4.674825938112561197e+00 1.262467751114159764e+00
2.457368840875171591e+06 1.887597656250000000e+01 8.555001068115234375e+01 -3.189773573565491738e+00 4.920808642106743847e+00
2.457368840904796496e+06 1.236674804687500000e+02 8.617540740966796875e+01 -5.230638782021300948e+00 7.565779337165031704e-01
2.457368840934421401e+06 1.655366210937500000e+02 8.650795745849609375e+01 -5.547235215514634277e+00 5.673980120555558448e-01
2.457368840964046307e+06 -2.908740234375000000e+01 8.572306060791015625e+01 nan -3.199768570754855546e+00
2.457368840993671212e+06 5.205712890625000000e+01 8.566492462158203125e+01 -4.291200529748206982e+00 1.786687764247207211e+00
2.457368841023296118e+06 1.535253906250000000e+01 8.576751708984375000e+01 -2.965450527650840051e+00 6.065525944993956919e+00
2.457368841052920558e+06 -1.777456054687500000e+02 8.534986114501953125e+01 nan -5.213504884984945242e-01
2.457368841082545463e+06 -4.772460937500000000e+01 8.532165527343750000e+01 nan -1.941076840853284136e+00
2.457368841112170368e+06 -2.431962890625000000e+02 8.500158691406250000e+01 nan -3.794861481309705908e-01
2.457368841141795274e+06 -8.299414062500000000e+01 8.543014526367187500e+01 nan -1.117608125345645131e+00
2.457368841171420179e+06 3.752392578125000000e+01 8.569570159912109375e+01 -3.935770670745752486e+00 2.479571343271382400e+00
2.457368841201045085e+06 -1.405297851562500000e+02 8.517430877685546875e+01 nan -6.580608794680860019e-01
2.457368841230669990e+06 -1.188037109375000000e+02 8.527323150634765625e+01 nan -7.793069563661070287e-01
2.457368841260294896e+06 3.792480468750000000e+01 8.584164428710937500e+01 -3.947308382126853310e+00 2.457539534778550028e+00
2.457368841289919335e+06 -3.161328125000000000e+01 8.556865692138671875e+01 nan -2.938806409594904245e+00
2.457368841319544241e+06 -2.027895507812500000e+02 8.496070861816406250e+01 nan -4.548816219559103091e-01
2.457368841349169146e+06 -2.072656250000000000e+02 8.499214935302734375e+01 nan -4.452227726549248255e-01
2.457368841378794052e+06 -1.696025390625000000e+02 8.459302520751953125e+01 nan -5.415368879292908888e-01
2.457368841408418957e+06 -9.265185546875000000e+01 8.510324096679687500e+01 nan -9.972816235553435549e-01
