# jd flux flux_err
2.457363079782399815e+06 4.266119539324427024e+01 2.039767640871595518e+02
2.457363079798961990e+06 3.473513303455547430e+01 2.038681145023271029e+02
2.457363079815524165e+06 1.441616364865985815e+02 2.040731533772211890e+02
2.457363079832086340e+06 -1.096197124313621316e+02 2.039865700501984804e+02
2.457363079848648515e+06 3.253772660287431790e+02 2.041937772433397527e+02
2.457363079865210690e+06 1.002529889373392393e+03 2.052359184112592914e+02
2.457363079881773330e+06 3.932956180353678519e+03 2.077761743100395790e+02
2.457363079898335505e+06 5.977081239906328847e+03 2.087896087285098190e+02
2.457363079914897680e+06 6.651331127866593306e+03 2.078875890128185802e+02
2.457363079931459855e+06 7.127360731084460895e+03 2.072184766267426994e+02
2.457363079948022030e+06 7.851410647811688250e+03 2.069732071014432222e+02
2.457363079964584205e+06 8.736801691194283194e+03 2.064936402171133807e+02
2.457363079981146380e+06 8.961465817284399236e+03 2.052529837178771004e+02
2.457363079997708555e+06 1.007649890483688432e+04 2.049185688214168408e+02
2.457363080014270730e+06 1.074020998263888760e+04 2.049724794699723134e+02
2.457363080030832905e+06 1.174644143602632903e+04 2.038330065361550396e+02
2.457363080047395546e+06 1.185003451681603474e+04 2.029360877794246107e+02
2.457363080063957721e+06 1.237742701419171863e+04 2.014541039335540518e+02
2.457363080080519896e+06 1.277866528635741633e+04 2.006563513101110630e+02
2.457363080097082071e+06 1.297858210341971426e+04 1.990847378658905313e+02
2.457363080113644246e+06 1.412895721899221462e+04 1.995524293761559989e+02
2.457363080130206421e+06 1.479491609183222681e+04 1.983034749517935609e+02
2.457363080146768596e+06 1.592647814266395108e+04 1.979178978909259286e+02
2.457363080163330771e+06 1.653434725906408858e+04 1.978584898202012141e+02
2.457363080179892946e+06 1.700648335099722317e+04 1.970095445853409615e+02
2.457363080196455121e+06 1.764980847111195180e+04 1.964212027347232663e+02
2.457363080213017296e+06 1.770611007600535595e+04 1.947463394365754823e+02
2.457363080229579937e+06 1.871004196140177373e+04 1.943517858225917507e+02
2.457363080246142112e+06 1.862283812176998981e+04 1.924193691985023236e+02
2.457363080262704287e+06 2.018495657854896854e+04 1.929003508214478018e+02
2.457363080279266462e+06 2.037591781986841670e+04 1.916141651734833715e+02
2.457363080295828637e+06 2.090120395873704183e+04 1.906955973256365269e+02
2.457363080312390812e+06 2.210650324006779192e+04 1.906819715856446180e+02
2.457363080328952987e+06 2.242649470233764805e+04 1.894359401136891563e+02
2.457363080345515162e+06 2.382886568101999001e+04 1.897218686426477063e+02
2.457363080362077337e+06 2.230910742036091688e+04 1.864668565817104025e+02
2.457363080378639512e+06 1.889645130309267188e+04 1.812090767933742939e+02
2.457363080395202152e+06 1.558708662134618135e+04 1.756672263292836078e+02
2.457363080411764327e+06 1.419803613079373827e+04 1.730506869660174516e+02
2.457363080428326502e+06 1.408338058028501473e+04 1.725755234341436903e+02
2.457363080444888677e+06 1.703700521388481502e+04 1.784748634524915190e+02
2.457363080461450852e+06 1.872060906310558494e+04 1.821395374879134579e+02
2.457363080478013027e+06 1.790111405694858695e+04 1.822815290945244158e+02
