# id ra dec s L A b x y a flux x_0 y_0
0.000000000000000000e+00 8.954811490274140340e+01 7.348414786391567866e+00 4.745572232145973679e+00 1.707055698709066576e+02 9.013066634924665266e+01 1.678933369229230266e+02 2.977918135972450727e+03 1.743778389602287461e+03 -6.890000000000000568e+01 1.624013000000000000e+06 1.138621797804360767e+03 1.891161871149689432e+03
1.000000000000000000e+00 8.954974558310347277e+01 7.345014341360655230e+00 4.774256827431255346e+00 1.709057926709792241e+02 9.010856471280673929e+01 1.682964137504682185e+02 3.027998711614053263e+03 1.690626040624171537e+03 -6.890000000000000568e+01 1.615180250000000000e+06 1.107484427913336503e+03 1.825692531903899635e+03
2.000000000000000000e+00 8.955690601683775753e+01 7.356811854269213136e+00 4.339546530856622120e+00 1.697051315816273416e+02 9.024408359976303018e+01 1.682441405009934101e+02 2.766844183947428064e+03 1.645176472760478418e+03 -6.890000000000000568e+01 1.621924250000000000e+06 9.707580578758245338e+02 2.052831634116090754e+03
3.000000000000000000e+00 8.954562673512492665e+01 7.352087954373954126e+00 4.756213776851886621e+00 1.712119866946711966e+02 9.011732847997254225e+01 1.686189372617634490e+02 2.928942420909471366e+03 1.813394386298755990e+03 -6.890000000000000568e+01 1.654577500000000000e+06 1.186132123291838980e+03 1.961882282138987193e+03
4.000000000000000000e+00 8.954919001161954384e+01 7.341275867623690665e+00 4.460256535008697121e+00 1.700910669762706391e+02 9.011415892094780133e+01 1.696656534889765453e+02 3.099827551636365570e+03 1.675056658848817506e+03 -6.890000000000000568e+01 1.651223750000000000e+06 1.118093553501621273e+03 1.753715336870087413e+03
5.000000000000000000e+00 8.954941489045195624e+01 7.359943524160801331e+00 4.737792937308278773e+00 1.708034077849900996e+02 9.006707045168590753e+01 1.682502523027862651e+02 2.761890128763919165e+03 1.800340918752252037e+03 -6.890000000000000568e+01 1.651970625000000000e+06 1.113797360082949581e+03 2.113125563536130358e+03
6.000000000000000000e+00 8.956305578694905023e+01 7.344563041439644557e+00 4.735616736575378738e+00 1.704013679064771907e+02 9.009193615821514811e+01 1.680806435048920946e+02 2.944061661563689540e+03 1.450752239729843041e+03 -6.890000000000000568e+01 1.587796500000000000e+06 8.533250385213311802e+02 1.817006123396420890e+03
7.000000000000000000e+00 8.956241957913942997e+01 7.365774798567036541e+00 4.707865567160958165e+00 1.706199431939217845e+02 8.998674139157272123e+01 1.700339497013521850e+02 2.568126679380754922e+03 1.609380623648066376e+03 -6.890000000000000568e+01 1.657521250000000000e+06 8.654831984205794697e+02 2.225397756431679227e+03
8.000000000000000000e+00 8.956193265765658396e+01 7.367026274025302079e+00 4.755147860352672673e+00 1.707505531164192405e+02 9.015848297042268200e+01 1.678468990149035847e+02 2.548938060034664886e+03 1.626876153733425554e+03 -6.890000000000000568e+01 1.637824750000000000e+06 8.747810985067957290e+02 2.249492295096413272e+03
9.000000000000000000e+00 8.953656994772177313e+01 7.359147619440234322e+00 4.572075957108729938e+00 1.709209452746975444e+02 9.027806734869589889e+01 1.683770909370840059e+02 2.864575119319275018e+03 2.023889804224446152e+03 -6.890000000000000568e+01 1.720744875000000000e+06 1.359064480445029176e+03 2.097806859105954572e+03
1.000000000000000000e+01 8.955039597768809756e+01 7.369705655309316761e+00 4.182046043797521762e+00 1.690245450834510450e+02 9.032670931420072691e+01 1.687309207018437291e+02 2.579319082131335563e+03 1.850476185642394285e+03 -6.890000000000000568e+01 1.736707750000000000e+06 1.095063411255721348e+03 2.301076543627660612e+03
1.100000000000000000e+01 8.953915429373718382e+01 7.335590779199071321e+00 4.670658174153450304e+00 1.710864468910497749e+02 9.004567677091101530e+01 1.688810108464363111e+02 3.270700620189678830e+03 1.814326482247111926e+03 -6.890000000000000568e+01 1.732632000000000000e+06 1.309731045244102006e+03 1.644262970648368537e+03
1.200000000000000000e+01 8.956580591964542748e+01 7.366904129210840146e+00 4.390575596516405277e+00 1.700981033396730595e+02 9.028761302317359139e+01 1.680249234062372352e+02 2.525091861424756644e+03 1.556754844446139259e+03 -6.890000000000000568e+01 1.620950250000000000e+06 8.008245784464074859e+02 2.247142602975609407e+03
1.300000000000000000e+01 8.954137590669465396e+01 7.368068369250959648e+00 4.884476522750955674e+00 1.704250163867723131e+02 9.008128343774423286e+01 1.687933829023299950e+02 2.670694217736224800e+03 1.999584093649388933e+03 -6.890000000000000568e+01 1.695961250000000000e+06 1.267293230696179990e+03 2.269556099764169176e+03
1.400000000000000000e+01 8.955326650962095414e+01 7.327043096849798154e+00 4.776575989594626925e+00 1.709961613479795233e+02 9.012450256378345159e+01 1.681246968878116661e+02 3.325999703405572745e+03 1.503684825080230439e+03 -6.890000000000000568e+01 1.605026000000000000e+06 1.040251089224847647e+03 1.479689848982885451e+03
1.500000000000000000e+01 8.954517513008804031e+01 7.328228652457053016e+00 4.694909443543487271e+00 1.707625496875266720e+02 9.015055996202400479e+01 1.682942538656094484e+02 3.360869179767435980e+03 1.656542401193254591e+03 -6.890000000000000568e+01 1.637498500000000000e+06 1.194762501258854854e+03 1.502516459728743030e+03
1.600000000000000000e+01 8.953110755345092286e+01 7.340952918279831430e+00 3.939737719693934270e+00 1.716008564587150147e+02 9.001892871148072572e+01 1.683260249787615521e+02 3.228661992623433434e+03 1.994962825446375518e+03 -6.890000000000000568e+01 1.729003125000000000e+06 1.463382486536720535e+03 1.747506650683458247e+03
1.700000000000000000e+01 8.953262935297495062e+01 7.364427588240121558e+00 5.137037843054750752e+00 1.714798382387433833e+02 8.999772560832560941e+01 1.704431099516011727e+02 2.796837754291953843e+03 2.130890110022537101e+03 -6.890000000000000568e+01 1.874856250000000000e+06 1.434303477168422660e+03 2.199465456424114109e+03
1.800000000000000000e+01 8.954021211344569053e+01 7.328991648869259912e+00 4.473390540902851598e+00 1.701150605062779562e+02 9.025591805443474414e+01 1.678896506331698220e+02 3.380856780287329002e+03 1.749715942326469531e+03 -6.890000000000000568e+01 1.638576250000000000e+06 1.289534870951096764e+03 1.517208490712602270e+03
1.900000000000000000e+01 8.955273877250674275e+01 7.375486771695713095e+00 4.236560328810628384e+00 1.702924029156713743e+02 9.034652474076288797e+01 1.686498782524713818e+02 2.460472766122260509e+03 1.849232617634266944e+03 -6.890000000000000568e+01 1.724572500000000000e+06 1.050330330306645237e+03 2.412380720737469346e+03
2.000000000000000000e+01 8.954336771449425214e+01 7.374871613143899829e+00 5.098483786636744952e+00 1.714218337336819786e+02 9.009644311020200291e+01 1.689292864557804421e+02 2.535908983919624006e+03 2.011383036313539151e+03 -6.890000000000000568e+01 1.814561750000000000e+06 1.229258987090282517e+03 2.400538600665260674e+03
2.100000000000000000e+01 8.957830214592802065e+01 7.359544565508556069e+00 4.029536584220516637e+00 1.694230598863160537e+02 9.033994160353663005e+01 1.681923975879813042e+02 2.571112053804743027e+03 1.282777898641352976e+03 -6.890000000000000568e+01 1.604297500000000000e+06 5.622118237684323958e+02 2.105459051660971454e+03
2.200000000000000000e+01 8.954117148882441768e+01 7.326506537676618969e+00 3.611627245323797197e+00 1.687809975770268522e+02 9.043304715367543167e+01 1.689080441528068945e+02 3.418722393570003078e+03 1.715731091978406084e+03 -6.890000000000000568e+01 1.718820375000000000e+06 1.271216039046510105e+03 1.469361836184393724e+03
2.300000000000000000e+01 8.954501263469992978e+01 7.376068231129003117e+00 4.396473707087892535e+00 1.689223906088082856e+02 9.031278630939432617e+01 1.691958170487883137e+02 2.503027028428388348e+03 1.990365563719344209e+03 -6.890000000000000568e+01 1.839887000000000000e+06 1.197850920556005804e+03 2.423576614656737092e+03
2.400000000000000000e+01 8.952721086945142304e+01 7.342440588567385795e+00 5.602081789791356847e+00 1.718346962365563115e+02 9.057075524550036505e+01 1.696371625554260731e+02 3.228668457316553940e+03 2.074210778955633486e+03 -6.890000000000000568e+01 2.551271000000000000e+06 1.537789000924342417e+03 1.776152723292143492e+03
2.500000000000000000e+01 8.953562677827680716e+01 7.371990583478081227e+00 5.242030927347012259e+00 1.713654208713595608e+02 9.006619872505321212e+01 1.696678791318642254e+02 2.640681081913369781e+03 2.129676582255974608e+03 -6.890000000000000568e+01 1.860520500000000000e+06 1.377064587538370233e+03 2.345074073762687476e+03
2.600000000000000000e+01 8.952628870582185527e+01 7.341764135348779696e+00 4.177070077966988926e+00 1.681491760687634951e+02 9.035882767818407046e+01 1.680687380765116927e+02 3.246694230756130764e+03 2.086190241843976764e+03 -6.890000000000000568e+01 1.617711000000000000e+06 1.555398640618499257e+03 1.763129881340759312e+03
2.700000000000000000e+01 8.952613446025081601e+01 7.361581707790698204e+00 5.282525025721771073e+00 1.709272483676386685e+02 9.007630082429925267e+01 1.689757751918216400e+02 2.893568479036852295e+03 2.225930570118939613e+03 -6.890000000000000568e+01 1.812933250000000000e+06 1.558321571355842025e+03 2.144679751152041263e+03
2.800000000000000000e+01 8.953415584693286178e+01 7.372872906262752934e+00 5.472217369127104547e+00 1.712931040610826017e+02 8.997550555294246521e+01 1.681117177231834887e+02 2.635031693482337232e+03 2.161839056259111203e+03 -6.890000000000000568e+01 1.905720000000000000e+06 1.405149688705493872e+03 2.362062567278634106e+03
2.900000000000000000e+01 8.954645992123091958e+01 7.321745318372813394e+00 4.422492905021368159e+00 1.703316532951627948e+02 9.031240241815908121e+01 1.677954951678630948e+02 3.469001141671807090e+03 1.588684813112628717e+03 -6.890000000000000568e+01 1.593675250000000000e+06 1.170229951843195295e+03 1.377691549231041108e+03
3.000000000000000000e+01 8.952689021572757611e+01 7.364730343298534265e+00 5.022638614530739787e+00 1.698883438865186122e+02 9.020079091166476815e+01 1.688316797476899467e+02 2.831305564775685980e+03 2.235240529408631573e+03 -6.890000000000000568e+01 1.897833250000000000e+06 1.543887461462602687e+03 2.205299866184965595e+03
3.100000000000000000e+01 8.958388400241689453e+01 7.350751103027623579e+00 5.061443941525235246e+00 1.718199718987064273e+02 9.007262819670248177e+01 1.684807305012441248e+02 2.690195334940796329e+03 1.122343313130508477e+03 -6.890000000000000568e+01 1.727385500000000000e+06 4.556171565204124363e+02 1.936164624447500955e+03
3.200000000000000000e+01 8.952370316224555324e+01 7.360009233779556403e+00 3.755794009382849463e+00 1.678512788395082680e+02 9.054355105624438238e+01 1.680536618291141338e+02 2.937258883538883765e+03 2.258717257800681637e+03 -6.890000000000000568e+01 1.785933500000000000e+06 1.604747549479125155e+03 2.114407581761117399e+03
3.300000000000000000e+01 8.953468391436339857e+01 7.376077745927192453e+00 5.268414136703241546e+00 1.704139761694913773e+02 9.006763587056694575e+01 1.695727858107597399e+02 2.573602185052465757e+03 2.174248784780829737e+03 -6.890000000000000568e+01 1.810130250000000000e+06 1.395064426447641154e+03 2.423765155743150444e+03
3.400000000000000000e+01 8.958253394144689707e+01 7.362849023583455832e+00 4.730325869420909157e+00 1.703913169458189998e+02 9.009282197878667375e+01 1.680794317381277665e+02 2.482128957800468925e+03 1.230669669022845483e+03 -6.890000000000000568e+01 1.608355750000000000e+06 4.814125260923697169e+02 2.169085206166139415e+03
3.500000000000000000e+01 8.957407813436248034e+01 7.374488814523065372e+00 4.741793018996404818e+00 1.713280671627137792e+02 9.018057907933825845e+01 1.681986827112198455e+02 2.331900695058242036e+03 1.461373982382041959e+03 -6.890000000000000568e+01 1.674537250000000000e+06 6.428813918074699814e+02 2.393177438326258198e+03
3.600000000000000000e+01 8.953248227646065516e+01 7.375351469390304615e+00 4.858260551308880792e+00 1.712744402137139730e+02 8.997564048739478437e+01 1.684363148168231419e+02 2.601761669937474380e+03 2.208638612796769849e+03 -6.890000000000000568e+01 1.675709000000000000e+06 1.437102466595792521e+03 2.409783838807297798e+03
3.700000000000000000e+01 8.954051734149351205e+01 7.320321846026741852e+00 4.722301566325741717e+00 1.712442465960648406e+02 9.005321426983897481e+01 1.705304310868613697e+02 3.534845768336324454e+03 1.683757828380150158e+03 -6.890000000000000568e+01 1.740459750000000000e+06 1.283710653920943969e+03 1.350287355724812642e+03
3.800000000000000000e+01 8.952346992524194036e+01 7.335944469478439700e+00 4.363294999291018605e+00 1.702742996385682659e+02 9.033904175234191314e+01 1.680235272686202563e+02 3.371831116929206019e+03 2.096459345299966117e+03 -6.890000000000000568e+01 1.626851375000000000e+06 1.609231106960121451e+03 1.651086395588505184e+03
3.900000000000000000e+01 8.952111998177615249e+01 7.341611054357120913e+00 5.050813357473061593e+00 1.708782099671771277e+02 8.999221116809886212e+01 1.689354532914087486e+02 3.285775427821422909e+03 2.177009021071397910e+03 -6.890000000000000568e+01 1.709177125000000000e+06 1.654096712859895888e+03 1.760188814908185122e+03
4.000000000000000000e+01 8.957300761509645781e+01 7.323152337081357821e+00 4.042500763167272027e+00 1.706413971942869239e+02 9.055971229358125640e+01 1.678239698652854486e+02 3.261056966602532157e+03 1.124612884241740176e+03 -6.890000000000000568e+01 1.729815500000000000e+06 6.632743098894186460e+02 1.404789859680876361e+03
4.100000000000000000e+01 8.957173766615797206e+01 7.322123767240388936e+00 5.295974589175401981e+00 1.707148123648603359e+02 8.989121541359028811e+01 1.696176071805124366e+02 3.287519112910897093e+03 1.140569675062374017e+03 -6.890000000000000568e+01 1.867893000000000000e+06 6.875243916755763394e+02 1.384985547737789148e+03
4.200000000000000000e+01 8.952610046699649615e+01 7.328236074971027136e+00 4.731123768513880279e+00 1.693900463451748521e+02 9.016571005100249181e+01 1.675397175269397394e+02 3.492129205356735383e+03 1.996227699638001468e+03 -6.890000000000000568e+01 1.570942125000000000e+06 1.559008425260984041e+03 1.502672602055190282e+03
4.300000000000000000e+01 8.951875673439262471e+01 7.357697425438439964e+00 4.935192831375728062e+00 1.708151095127034580e+02 9.010551350289900085e+01 1.683831115916630097e+02 3.013520480402422891e+03 2.330492575953327105e+03 -6.890000000000000568e+01 1.812525500000000000e+06 1.699200035856845943e+03 2.069904618289601785e+03
