# id ra dec s L A b x y a flux x_0 y_0
0.000000000000000000e+00 8.988361093102921018e+01 7.979686294059922247e+00 2.275337611844211239e+00 1.648330926939365213e+02 9.068151022268597217e+01 1.589682608066154330e+02 4.514368448934038497e+03 1.112272377387309234e+03 -6.890000000000000568e+01 6.922658110929328203e+07 1.102542698717068561e+03 2.314031602767665277e+02
1.000000000000000000e+00 8.990158053889221890e+01 7.982420336800771565e+00 1.594607146926885433e+00 1.649534509424361488e+02 8.991873192004668169e+01 1.648089950896027460e+02 4.686640824775641704e+03 1.413069963239078561e+03 -6.890000000000000568e+01 1.066986339794521453e+06 1.445143760817843713e+03 1.784770789486941567e+02
2.000000000000000000e+00 8.992655088858850831e+01 7.982354011959724716e+00 1.302536470775787825e+00 1.638740371382588137e+02 9.078137610914819788e+01 1.625022939424785591e+02 4.857389189288986017e+03 1.857498093292946805e+03 -6.890000000000000568e+01 1.161882961653321981e+06 1.921276475612245349e+03 1.793362630933353898e+02
3.000000000000000000e+00 8.988773138053738876e+01 7.983684254095027022e+00 1.232059013301699979e+00 1.639325128493851764e+02 8.991145243743640947e+01 1.650767183047314859e+02 4.614759091345621528e+03 1.158366645174346331e+03 -6.890000000000000568e+01 1.742114455457775388e+06 1.181052154479192723e+03 1.543600464457743442e+02
4.000000000000000000e+00 8.992368849636103789e+01 7.986066428826743113e+00 1.407903150108634538e+00 1.642915772202401854e+02 9.078605568293092176e+01 1.624743094399642018e+02 4.904871529771076894e+03 1.781148441659132686e+03 -6.890000000000000568e+01 9.142255688470967580e+05 1.866636125033816597e+03 1.079037742794125734e+02
5.000000000000000000e+00 8.984249139697826081e+01 7.982083169619418328e+00 5.810695925380435334e+00 1.760496976861407461e+02 9.000459334642862075e+01 1.651558606791112140e+02 4.274065033251932618e+03 3.640712730132773345e+02 -6.890000000000000568e+01 7.220832661529094912e+05 3.184528912140024772e+02 1.858432028824142037e+02
6.000000000000000000e+00 8.987357483156826277e+01 7.981496363491365820e+00 8.433947968117331939e+00 1.895530918192940248e+02 9.045856051146252241e+01 1.627575464521599145e+02 4.478634780013951058e+03 9.210575032933971897e+02 -6.890000000000000568e+01 1.352229632218654267e+06 9.111502418823980634e+02 1.967022985966452495e+02
7.000000000000000000e+00 8.990768360589817121e+01 7.981316283573672621e+00 7.361017826374479434e+00 1.848624740814520635e+02 9.019859581112805813e+01 1.641234326371296390e+02 4.709348506832781823e+03 1.528955429184817376e+03 -6.890000000000000568e+01 1.084519516136846039e+06 1.561533281079656490e+03 1.996358787942431832e+02
8.000000000000000000e+00 8.985778280620246505e+01 7.968324975256003029e+00 2.098009890549959948e+02 6.250759972560774713e+02 1.174093079980385568e+02 1.572404443683805653e+02 4.132367574567326301e+03 7.319447219522793375e+02 -6.890000000000000568e+01 1.306232415673045814e+08 6.102085583835148554e+02 4.505413572513727445e+02
9.000000000000000000e+00 8.990167485394590585e+01 7.978962661497178921e+00 6.760055566325717358e+00 1.878982645436938697e+02 9.056303010444985091e+01 1.514048800415341134e+02 4.626305247837674870e+03 1.438747821126190956e+03 -6.890000000000000568e+01 1.178069890203305054e+06 1.446995121118883389e+03 2.450521848422781659e+02
1.000000000000000000e+01 8.984766167853233299e+01 7.976994718008363350e+00 1.109955527471335079e+00 1.638028634377214132e+02 9.014297475904045598e+01 1.642507653708188684e+02 4.218157533801444515e+03 4.922126037873856035e+02 -6.890000000000000568e+01 3.924236590739467181e+06 4.171038736948697760e+02 2.837494299978328627e+02
1.100000000000000000e+01 8.991125761243579007e+01 7.976896245631866833e+00 2.481468956073205057e+00 1.674798365622740164e+02 9.055461984763138616e+01 1.631901893428461960e+02 4.654502694100974622e+03 1.623016067062972752e+03 -6.890000000000000568e+01 7.469763512911760481e+05 1.629751690782819651e+03 2.846835483054347833e+02
1.200000000000000000e+01 8.983748022007610246e+01 7.977043596686691274e+00 4.039231035905214817e+00 1.677459304072411044e+02 8.996098747489720893e+01 1.644480849274398224e+02 4.149032485107442881e+03 3.098951098732496234e+02 -6.890000000000000568e+01 4.731229605824574828e+05 2.229647033760137447e+02 2.829449462436132308e+02
1.300000000000000000e+01 8.986496422066161927e+01 7.977139504939806613e+00 1.339206806052484744e+01 2.294643536648798090e+02 9.002194534897725475e+01 1.626194601583847259e+02 4.340635346954186389e+03 7.982318876267451060e+02 -6.890000000000000568e+01 2.282308174721436109e+06 7.470250287922126518e+02 2.807183915116841035e+02
1.400000000000000000e+01 8.987707342303082214e+01 7.972879139210849786e+00 6.306139418511921058e+00 1.792566322811676400e+02 9.033052794350993508e+01 1.628118921536362222e+02 4.347355234112625112e+03 1.043386614635097430e+03 -6.890000000000000568e+01 8.865805953185101971e+05 9.779833196573689520e+02 3.625718328927428047e+02
