# jd flux flux_err mag mag_err
2.457363987062828150e+06 2.148556884765625000e+03 4.761175155639648438e+01 -8.330367141166600931e+00 2.405986245995108547e-02
2.457363987084070686e+06 2.106082275390625000e+03 4.742709350585937500e+01 -8.308688332900253215e+00 2.444989595361416607e-02
2.457363987105313689e+06 2.057682861328125000e+03 4.711953735351562500e+01 -8.283446100764127351e+00 2.486270719734977666e-02
2.457363987126556225e+06 2.068162109375000000e+03 4.705054473876953125e+01 -8.288961442979008609e+00 2.470050979713067293e-02
2.457363987147798762e+06 2.054141357421875000e+03 4.701711654663085938e+01 -8.281575816551299596e+00 2.485143679858970236e-02
2.457363987169041764e+06 1.983251953125000000e+03 4.649493026733398438e+01 -8.243444726639193476e+00 2.545385396389596502e-02
2.457363987190284301e+06 2.062164062500000000e+03 4.692750549316406250e+01 -8.285808035254335735e+00 2.470757334039611064e-02
2.457363987211527303e+06 2.157948242187500000e+03 4.756781005859375000e+01 -8.335102560086497192e+00 2.393304579013630015e-02
2.457363987232769839e+06 2.200905761718750000e+03 4.785750198364257812e+01 -8.356503618375954900e+00 2.360882737802567910e-02
2.457363987254012376e+06 1.982228149414062500e+03 4.666920852661132812e+01 -8.242884098038627982e+00 2.556245933681296212e-02
2.457363987275255378e+06 2.127130859375000000e+03 4.748846054077148438e+01 -8.319485520427154057e+00 2.423928030581380330e-02
2.457363987296497915e+06 2.084272705078125000e+03 4.721516036987304688e+01 -8.297386352982272228e+00 2.459533634686467130e-02
2.457363987317740452e+06 1.958117919921875000e+03 4.633935928344726562e+01 -8.229597104813514363e+00 2.569431362459386609e-02
2.457363987338983454e+06 2.055964111328125000e+03 4.695444107055664062e+01 -8.282538823487822555e+00 2.479630581441111259e-02
2.457363987360225990e+06 2.214867675781250000e+03 4.796979141235351562e+01 -8.363369462521134778e+00 2.351504873070016377e-02
2.457363987381468993e+06 2.172512695312500000e+03 4.775416183471679688e+01 -8.342405807437035747e+00 2.386573104143235868e-02
2.457363987402711529e+06 2.085696777343750000e+03 4.720248413085937500e+01 -8.298127925256892468e+00 2.457194433867250852e-02
2.457363987423954066e+06 2.022628662109375000e+03 4.681743621826171875e+01 -8.264790393036955507e+00 2.513143621064078612e-02
2.457363987445197068e+06 1.991393554687500000e+03 4.662426757812500000e+01 -8.247892742909886721e+00 2.542030537415155764e-02
2.457363987466439605e+06 2.018362060546875000e+03 4.683420562744140625e+01 -8.262497685219994281e+00 2.519358216838483988e-02
2.457363987487682141e+06 1.923012451171875000e+03 4.636511611938476562e+01 -8.209955240572451629e+00 2.617791743614741526e-02
2.457363987508925144e+06 1.961894653320312500e+03 4.666680908203125000e+01 -8.231689209049683598e+00 2.582606625028208841e-02
2.457363987530167680e+06 2.015434570312500000e+03 4.696229553222656250e+01 -8.260921759120867236e+00 2.529918038631919983e-02
2.457363987551410682e+06 2.065683837890625000e+03 4.714339447021484375e+01 -8.287659628914097354e+00 2.477894640660942283e-02
2.457363987572653219e+06 2.122398925781250000e+03 4.741040039062500000e+01 -8.317067542907562228e+00 2.425338964076662399e-02
2.457363987593895756e+06 1.997462768554687500e+03 4.656460571289062500e+01 -8.251196732716080007e+00 2.531063697537433779e-02
2.457363987615138758e+06 2.024583618164062500e+03 4.685919189453125000e+01 -8.265839296126479496e+00 2.512956172869987986e-02
2.457363987636381295e+06 2.004972167968750000e+03 4.660821533203125000e+01 -8.255270870842515762e+00 2.523945445380782956e-02
2.457363987657623831e+06 1.849118896484375000e+03 4.563493728637695312e+01 -8.167412091887889858e+00 2.679528985589466408e-02
2.457363987678866833e+06 1.903735107421875000e+03 4.609293746948242188e+01 -8.199016297373971085e+00 2.628776752238865672e-02
2.457363987700109370e+06 1.973455322265625000e+03 4.650177383422851562e+01 -8.238068246751383938e+00 2.558397717603840688e-02
2.457363987721352372e+06 1.892634033203125000e+03 4.596996688842773438e+01 -8.192666613190244362e+00 2.637141199715752754e-02
2.457363987742594909e+06 1.826807006835937500e+03 4.556258392333984375e+01 -8.154231671756537736e+00 2.707955448156967523e-02
2.457363987763837446e+06 1.918645507812500000e+03 4.600574874877929688e+01 -8.207486852911589637e+00 2.603413785564239608e-02
2.457363987785080448e+06 1.885437744140625000e+03 4.594428634643554688e+01 -8.188530492182172438e+00 2.645727742154416889e-02
2.457363987806322984e+06 1.964569946289062500e+03 4.636363983154296875e+01 -8.233168739966265193e+00 2.562334744343722562e-02
2.457363987827565521e+06 1.998402343750000000e+03 4.657931137084960938e+01 -8.251707325940211391e+00 2.530672648876403433e-02
2.457363987848808523e+06 2.101455078125000000e+03 4.725384521484375000e+01 -8.306300276799452931e+00 2.441422157324491318e-02
2.457363987870051060e+06 2.045826904296875000e+03 4.694208908081054688e+01 -8.277172214094257185e+00 2.491261782292179122e-02
2.457363987891294062e+06 1.948573486328125000e+03 4.639172363281250000e+01 -8.224291972338701129e+00 2.584934587815079440e-02
2.457363987912536599e+06 1.913094970703125000e+03 4.594652175903320312e+01 -8.204341325000983787e+00 2.607605858496296961e-02
2.457363987933779135e+06 1.914699218750000000e+03 4.613475036621093750e+01 -8.205251400204442547e+00 2.616094651948050812e-02
2.457363987955022138e+06 1.942962158203125000e+03 4.632858276367187500e+01 -8.221160855534957790e+00 2.588871596776124578e-02
2.457363987976264674e+06 2.002055419921875000e+03 4.681698608398437500e+01 -8.253690238094423037e+00 2.538944425065353325e-02
