# id ra dec s L A b x y a flux x_0 y_0
0.000000000000000000e+00 7.317346837313544938e+01 1.241345770171305496e+01 2.291775885521374345e+00 1.455038368533735991e+02 8.921354786393513336e+01 1.034479602869591872e+02 1.627231382816269843e+03 4.365206056855627708e+02 -5.480000000000000426e+00 9.854601403471678495e+05 1.219378631825454477e+03 3.213002335528879030e+02
1.000000000000000000e+00 7.311764157264192932e+01 1.241514577274158704e+01 1.395763028911693127e+01 2.072136090689182595e+02 8.984336761728830822e+01 1.065677835251034793e+02 5.850452869018545243e+02 2.966480907527746353e+02 -5.480000000000000426e+00 4.141125083754402585e+05 1.679982372787202678e+02 2.816283608759355843e+02
2.000000000000000000e+00 7.319639220081515418e+01 1.241819956966487126e+01 2.309021177270274006e+00 1.458372991487411809e+02 8.934671067249449550e+01 1.040407380605164889e+02 2.067015634032592516e+03 3.894042949581266271e+02 -5.480000000000000426e+00 7.923033714188874001e+05 1.651608354369302333e+03 2.318519352940655551e+02
3.000000000000000000e+00 7.320166274659328565e+01 1.241857458801021075e+01 1.214672750671559598e+01 1.924259209027574968e+02 8.998777282378539155e+01 1.060533891461487315e+02 2.165835367621732530e+03 3.915337432907700190e+02 -5.480000000000000426e+00 3.451106132922957186e+05 1.750916377432142781e+03 2.251870452403128411e+02
4.000000000000000000e+00 7.319196354345095301e+01 1.241860715673020010e+01 3.301014726958354295e+00 1.487976663044930774e+02 8.917748360155252385e+01 1.035503469597861113e+02 1.983683609584029909e+03 3.723880964825923456e+02 -5.480000000000000426e+00 2.297473949897674611e+05 1.568230362265863732e+03 2.233990549011726330e+02
5.000000000000000000e+00 7.318195370511745068e+01 1.241880643383452387e+01 1.373170057327411442e+01 2.073938895610492068e+02 8.927730093122330857e+01 1.067182366439996599e+02 1.796309129802653615e+03 3.491599851465803113e+02 -5.480000000000000426e+00 4.067109446030065883e+05 1.379709018765400742e+03 2.183257088047592163e+02
6.000000000000000000e+00 7.321185639660441780e+01 1.242101471716746630e+01 1.570856159859710210e+01 1.874461353132649037e+02 8.982974632478926935e+01 1.062995146904728756e+02 2.361906655697741826e+03 3.642695973064010673e+02 -5.480000000000000426e+00 4.330357518358756788e+05 1.943142470645146432e+03 1.789495427789977384e+02
7.000000000000000000e+00 7.313974743058257388e+01 1.242202867302221314e+01 2.216422804666679180e+00 1.453808794190236142e+02 8.942356432375906650e+01 1.029012261062485294e+02 1.012443961432916012e+03 2.067005481885313145e+02 -5.480000000000000426e+00 1.541946271060828492e+07 5.850454043383641647e+02 1.505419460293788347e+02
8.000000000000000000e+00 7.319719682601952115e+01 1.240418881084810820e+01 1.112432733289040421e+01 1.857342929534275697e+02 8.992510561248568024e+01 1.057332157111870998e+02 2.053960430936887406e+03 6.615585039414773973e+02 -5.480000000000000426e+00 3.109674345771272201e+05 1.665463660651525970e+03 5.043608771960423383e+02
9.000000000000000000e+00 7.314449048514610752e+01 1.239874404910485239e+01 2.219480508026066445e+00 1.450402181457984057e+02 8.932217139002111139e+01 1.035925897773720550e+02 1.056539904885529722e+03 6.658657388206902397e+02 -5.480000000000000426e+00 2.767901358256478794e+06 6.721359130888569098e+02 6.038514405689082878e+02
1.000000000000000000e+01 7.316799763604822715e+01 1.239759884415328095e+01 1.580478829312838052e+01 1.923120790454264011e+02 9.035152754475544157e+01 1.061305217168420683e+02 1.494165348575623966e+03 7.334312220760707532e+02 -5.480000000000000426e+00 4.702666040234440006e+05 1.114828741946896344e+03 6.289842721834278336e+02
1.100000000000000000e+01 7.311966540416527494e+01 1.239365070846904793e+01 6.875688128693115075e+00 1.631155764961759189e+02 8.995983466480298318e+01 1.022020543979409695e+02 5.809805201189627724e+02 7.168717069354672731e+02 -5.480000000000000426e+00 1.872677238441356458e+05 2.040079615362675440e+02 6.998116982789451868e+02
1.200000000000000000e+01 7.314989465621985687e+01 1.239021747204335355e+01 2.705770120284861413e+00 1.466143836579165622e+02 8.929666167161869339e+01 1.036481744674244823e+02 1.140384465371333135e+03 8.411035692417492555e+02 -5.480000000000000426e+00 2.827840342889879830e+05 7.731143601041535476e+02 7.702966189291473711e+02
1.300000000000000000e+01 7.313488145040811617e+01 1.238711515979306022e+01 6.891546946001695595e+00 1.641031788459256688e+02 8.989141378519231296e+01 1.062493239793560065e+02 8.529989328747024047e+02 8.719173937293837753e+02 -5.480000000000000426e+00 1.624505238793253666e+05 4.900018918024239269e+02 8.287694403945157546e+02
1.400000000000000000e+01 7.313962527278499692e+01 1.239867503613071875e+01 2.417625946773003136e+02 1.092017369136060779e+03 8.667547325387326396e+01 1.002193718940636984e+02 9.647681765739881712e+02 6.582153926345447417e+02 -5.480000000000000426e+00 4.336099110844147205e+07 5.804837267837234549e+02 6.045950747223223516e+02
1.500000000000000000e+01 7.318250677487337441e+01 1.235276708657329969e+01 1.989073953300943742e+01 2.186022690152759935e+02 8.964435664464581066e+01 7.474639445000293847e+01 1.679225506403190593e+03 1.627832131273645018e+03 -5.480000000000000426e+00 1.596926205080713611e+06 1.383930376422442123e+03 1.502395303054836859e+03
1.600000000000000000e+01 7.316763394814164201e+01 1.234755857435581028e+01 3.690577307241351246e+00 1.494387962025797947e+02 9.000573770817086938e+01 1.048913370399813942e+02 1.389982772906903165e+03 1.700013791741026125e+03 -5.480000000000000426e+00 8.370968665606697323e+04 1.103231298994627195e+03 1.601869848137987447e+03
1.700000000000000000e+01 7.312731813586874807e+01 1.234600404783504857e+01 2.604565207313445985e+00 1.463724609093311244e+02 8.926709212397706494e+01 1.034806908446432487e+02 6.305858047441827239e+02 1.653453873468005213e+03 -5.480000000000000426e+00 3.172557033074721694e+05 3.435112748412589667e+02 1.627153439219065149e+03
1.800000000000000000e+01 7.318329208727547552e+01 1.233166134616691245e+01 2.529173523750046559e+00 1.461912915963930288e+02 8.992946887390387189e+01 1.063374709504817446e+02 1.652082646605316313e+03 2.038382975974472402e+03 -5.480000000000000426e+00 2.844007469847062603e+05 1.396746694091320023e+03 1.912843764211899042e+03
1.900000000000000000e+01 7.318493813253326152e+01 1.233107775482638502e+01 2.620286654683585237e+00 1.464336528875692238e+02 8.926980543554556391e+01 1.037913304091174496e+02 1.681748659238423215e+03 2.052616560536653196e+03 -5.480000000000000426e+00 2.959490802637931774e+05 1.427706044907501337e+03 1.924387817132656437e+03
2.000000000000000000e+01 7.314937198736397761e+01 1.232969155550251195e+01 9.802331480658557084e+00 1.686863917651927807e+02 9.005386604967380038e+01 1.063512114204204266e+02 1.013203169715687750e+03 2.010753520448927702e+03 -5.480000000000000426e+00 2.566633494910059962e+05 7.574503833782737274e+02 1.947030345671424357e+03
2.100000000000000000e+01 7.311613888742768097e+01 1.232753044521312979e+01 2.554950806272500596e+00 1.464745739246962728e+02 8.923068792859356790e+01 1.032954043261975272e+02 3.840099226590535864e+02 1.988741040890930208e+03 -5.480000000000000426e+00 3.309019880796825164e+05 1.310690627644514166e+02 1.984940991841611094e+03
2.200000000000000000e+01 7.312123361239072494e+01 1.232810787950671738e+01 1.181605007341123859e+01 1.853905747589294037e+02 8.997763253628657765e+01 1.065010637689829593e+02 4.820062088538005014e+02 1.987729471762384264e+03 -5.480000000000000426e+00 3.348923434481087606e+05 2.271199132080503773e+02 1.974348816953660844e+03
2.300000000000000000e+01 7.315463999711192855e+01 1.232154219033195552e+01 2.322546999488272146e+00 1.452775515417577594e+02 8.928990975421466203e+01 1.035654047956787736e+02 1.095214899409907957e+03 2.178256431862866066e+03 -5.480000000000000426e+00 5.357015790898308624e+05 8.559282148766016007e+02 2.106119911494051394e+03
2.400000000000000000e+01 7.311498178649540591e+01 1.231767018617369658e+01 9.593750474559113783e+00 1.693413898166081992e+02 8.994279666451083699e+01 1.062425587407731626e+02 3.437651992506993679e+02 2.177609742855705008e+03 -5.480000000000000426e+00 2.569974729116428643e+05 1.082956643846509763e+02 2.176506662572605819e+03
2.500000000000000000e+01 7.312642382871493396e+01 1.230726522818630109e+01 5.144385758287013388e+00 1.525085279695212250e+02 8.936701506340445178e+01 1.037377548847744748e+02 5.381372332415612618e+02 2.400577303245678650e+03 -5.480000000000000426e+00 2.139262149348433595e+05 3.228762988369967957e+02 2.380230440354879647e+03
2.600000000000000000e+01 7.314863625331044261e+01 1.230466957725266752e+01 5.758078051402083730e+00 1.564468322707947152e+02 9.021812778702643243e+01 1.059492678569922361e+02 9.497795039493762488e+02 2.493337853071151585e+03 -5.480000000000000426e+00 1.434839530009109294e+05 7.411813485008484577e+02 2.433434202284384355e+03
2.700000000000000000e+01 7.315501579461813719e+01 1.230143526150938804e+01 2.167091747422390302e+00 1.448519014836315932e+02 8.902348935011144704e+01 1.021472187893353833e+02 1.063780403458425326e+03 2.568044437751867918e+03 -5.480000000000000426e+00 6.786168607167867944e+06 8.610841772204590825e+02 2.497097489776254406e+03
2.800000000000000000e+01 7.315267540203500118e+01 1.230192931325554717e+01 2.181394723814148229e+00 1.449435524552441734e+02 9.021438195219906220e+01 1.067915652210273265e+02 1.020518664850056666e+03 2.554555053952111848e+03 -5.480000000000000426e+00 6.851066189122162759e+06 8.170300016504271525e+02 2.487206108057523579e+03
2.900000000000000000e+01 7.315600667289953662e+01 1.230169974679105493e+01 4.882135151383599769e+00 1.490157749490713002e+02 9.029926005953522861e+01 1.027158123897990407e+02 1.082298277243245821e+03 2.565589780716372843e+03 -5.480000000000000426e+00 5.582717287201012950e+05 8.797812471020233716e+02 2.492076068130949352e+03
3.000000000000000000e+01 7.314477435625805413e+01 1.227734618296525326e+01 1.709362597459434241e+01 1.933064172660239990e+02 8.981670417826313724e+01 9.169898548157536311e+01 8.248405478169465823e+02 3.014987643030984145e+03 -5.480000000000000426e+00 8.660189453543534037e+05 6.657746966765885190e+02 2.964197226467211749e+03
