# jd flux flux_err
2.457369918219699990e+06 6.697997719708539080e+03 8.358912007932991628e+01
2.457369918227263261e+06 6.725367392184740311e+03 8.355702854112787747e+01
2.457369918234826066e+06 6.800323155204318027e+03 8.405777959319556203e+01
2.457369918242389336e+06 6.713716705738570454e+03 8.357259975603720648e+01
2.457369918249952607e+06 6.689130628438580061e+03 8.349906967766716548e+01
2.457369918257515877e+06 6.622276173943782851e+03 8.341604753954955243e+01
2.457369918265079148e+06 6.720405686803509525e+03 8.355833561379965602e+01
2.457369918272641953e+06 6.727715376698289219e+03 8.370905990707123578e+01
2.457369918280205224e+06 6.568873097340919230e+03 8.321959211794232658e+01
2.457369918287768494e+06 6.579454402085468246e+03 8.314048354073894131e+01
2.457369918295331299e+06 6.506403926216943546e+03 8.274702508847894933e+01
2.457369918302894570e+06 6.430080082670061529e+03 8.257411228557700156e+01
2.457369918310457841e+06 6.650773795149758371e+03 8.342961727697630181e+01
2.457369918318021111e+06 6.536064497478586418e+03 8.392405731503393440e+01
2.457369918325584382e+06 6.656526992761120709e+03 8.387454451629774610e+01
2.457369918333147187e+06 6.719058203422782753e+03 8.368718744536606380e+01
2.457369918340710457e+06 6.848659825557197109e+03 8.414809827160183886e+01
2.457369918348273728e+06 6.961361383606166783e+03 8.440432948781960931e+01
2.457369918355836533e+06 6.698057665224158882e+03 8.347695097272976739e+01
2.457369918363399804e+06 6.679932473939528791e+03 8.347141883973070264e+01
2.457369918370963074e+06 6.822946321504860862e+03 8.394789378295234883e+01
2.457369918378526345e+06 6.852061719267199805e+03 8.392617700626384192e+01
2.457369918386089616e+06 6.761493560580416670e+03 8.380332521091422393e+01
2.457369918393652420e+06 6.478453564931127403e+03 8.277296158390036851e+01
2.457369918401215691e+06 6.415161822173800829e+03 8.241397758784276562e+01
2.457369918408778962e+06 6.640749726669058873e+03 8.323877833031936291e+01
2.457369918416341767e+06 6.737431532797220825e+03 8.360976407579890690e+01
2.457369918423905037e+06 6.710136367447650628e+03 8.356158655629515408e+01
2.457369918431468308e+06 6.731387791385833225e+03 8.356569266832185860e+01
2.457369918439031579e+06 6.745260368081453635e+03 8.349748588944025585e+01
2.457369918446594849e+06 6.722170318079481149e+03 8.357040936514889040e+01
2.457369918454157654e+06 6.631583115013376300e+03 8.356449242114837261e+01
2.457369918461720925e+06 6.611739219884684644e+03 8.349523510661968828e+01
2.457369918469284195e+06 6.707963337452122687e+03 8.355900961526805304e+01
2.457369918476847000e+06 6.772181394956277472e+03 8.388026975253828255e+01
2.457369918484410271e+06 6.732713570582717693e+03 8.380157329717987125e+01
2.457369918491973542e+06 6.682373825178529842e+03 8.356106139734887961e+01
2.457369918499536812e+06 6.808814516755956902e+03 8.402938093311067291e+01
2.457369918507100083e+06 6.810373765230660865e+03 8.393485753564587526e+01
2.457369918514662888e+06 6.857390406444986183e+03 8.402787717764751108e+01
2.457369918522226159e+06 6.680163065327955337e+03 8.343591748774665007e+01
2.457369918529789429e+06 6.461933894508040794e+03 8.265266462409394421e+01
2.457369918537352234e+06 6.517228776731281869e+03 8.277018958799230575e+01
2.457369918544915505e+06 6.577189693621721744e+03 8.325306202752545914e+01
2.457369918552478775e+06 6.573536562869891895e+03 8.316422969895165807e+01
