# id ra dec s L A b x y a flux x_0 y_0
0.000000000000000000e+00 7.327726424880131617e+01 1.205964613086432813e+01 5.124949813700533596e+00 1.547176118563755551e+02 8.999164157460353408e+01 2.253869568665128611e+02 1.225016622891947918e+03 1.491986067296833653e+03 -5.480000000000000426e+00 1.360855750000000000e+06 9.187968854850120124e+02 1.409813689634309412e+03
1.000000000000000000e+00 7.327495406740534634e+01 1.206402753757416413e+01 4.717985157912431227e+00 1.520257919403078972e+02 8.909119867860474073e+01 2.007825723423950137e+02 1.188833033445119781e+03 1.403848209924700541e+03 -5.480000000000000426e+00 1.476141125000000000e+06 8.753034718608613503e+02 1.325456378639435343e+03
2.000000000000000000e+00 7.329162590827135659e+01 1.204122848294528048e+01 5.128264307178608483e+00 1.548920395295854462e+02 9.000479662004663339e+01 2.076026859084040268e+02 1.460007318689315298e+03 1.869995587732795684e+03 -5.480000000000000426e+00 1.339050500000000000e+06 1.189208956578061134e+03 1.764411668975073326e+03
3.000000000000000000e+00 7.331092791230233274e+01 1.205925599155345473e+01 4.759520304737496765e+00 1.523251167310087055e+02 8.914967509783876665e+01 2.006645788579533587e+02 1.855049469923194920e+03 1.559207522449093176e+03 -5.480000000000000426e+00 1.448324375000000000e+06 1.552622571817066500e+03 1.417304169323728274e+03
4.000000000000000000e+00 7.326365010936305566e+01 1.206788365188420897e+01 5.125855656215787093e+00 1.548253414539067876e+02 9.002665350808729272e+01 2.071410559057698038e+02 9.849858584413605058e+02 1.308943405474556585e+03 -5.480000000000000426e+00 1.342510000000000000e+06 6.624798289370321527e+02 1.251201765173490230e+03
5.000000000000000000e+00 7.325937276449276681e+01 1.206167256658688203e+01 4.495968066612223701e+00 1.494701761033041407e+02 8.839836507856786341e+01 2.004600102860461845e+02 8.927939558881590756e+02 1.420453955907604040e+03 -5.480000000000000426e+00 1.882100500000000000e+06 5.819366688147675859e+02 1.370777873596559630e+03
6.000000000000000000e+00 7.327293739819452867e+01 1.203576031008561387e+01 5.130153915346039817e+00 1.549315559245637814e+02 8.999090994491277229e+01 2.132111589411049408e+02 1.099998590995348422e+03 1.942039469868517472e+03 -5.480000000000000426e+00 1.327752875000000000e+06 8.373102153828706378e+02 1.869687468671439319e+03
7.000000000000000000e+00 7.325854203319867963e+01 1.204900494072315986e+01 4.765811656985328604e+00 1.524485106432476016e+02 8.953657612444550296e+01 2.007989655079606450e+02 8.539683973961400625e+02 1.662020351141720084e+03 -5.480000000000000426e+00 1.316090000000000000e+06 5.662723941469969304e+02 1.614667987363796328e+03
8.000000000000000000e+00 7.327361041615604620e+01 1.208852780285011974e+01 5.130182065737996844e+00 1.548327846295770485e+02 8.999840965939057469e+01 2.041556354138043048e+02 1.208997950601940147e+03 9.320087143392798907e+02 -5.480000000000000426e+00 1.307543125000000000e+06 8.500247844687570478e+02 8.537472833212900696e+02
9.000000000000000000e+00 7.330466032418972588e+01 1.208741069374391763e+01 4.775552774776632425e+00 1.524765286080665589e+02 8.935299260952795919e+01 2.007134373148898021e+02 1.788995989961993473e+03 1.009104575682636096e+03 -5.480000000000000426e+00 1.373488000000000000e+06 1.434576960106388924e+03 8.752464692035590588e+02
1.000000000000000000e+01 7.331901778676110837e+01 1.204603526273170111e+01 5.129651260961693104e+00 1.549239288340730241e+02 8.999966526838061043e+01 2.055567714909559811e+02 1.981997053786732295e+03 1.827996749287822468e+03 -5.480000000000000426e+00 1.319083250000000000e+06 1.704971413498523589e+03 1.671828064321187412e+03
1.100000000000000000e+01 7.326650473882627068e+01 1.209008061580967031e+01 4.113743176779770749e+00 1.476930878493966759e+02 8.827653185209510411e+01 2.006696128926607514e+02 1.078125757207154720e+03 8.892699955226715929e+02 -5.480000000000000426e+00 1.786667500000000000e+06 7.162541264312860676e+02 8.238433190979588971e+02
1.200000000000000000e+01 7.329380201598982580e+01 1.202447549596306509e+01 5.127316040348720350e+00 1.549587918698931617e+02 9.000555287873021371e+01 2.141858853753224707e+02 1.469998446287151410e+03 2.194976610176511713e+03 -5.480000000000000426e+00 1.331858500000000000e+06 1.230194008818429893e+03 2.086957466074635704e+03
