# jd flux flux_err mag mag_err
2.457373933966324199e+06 1.623763916015625000e+03 4.933603286743164062e+01 -8.026307215241814674e+00 3.298885003980454173e-02
2.457373933980104048e+06 1.627291015625000000e+03 4.908649063110351562e+01 -8.028663066697225403e+00 3.275085146177436624e-02
2.457373933993884362e+06 1.752582885742187500e+03 4.991990661621093750e+01 -8.109196416053572776e+00 3.092580661971494269e-02
2.457373934007664211e+06 1.555464721679687500e+03 4.882701110839843750e+01 -7.979650414128382607e+00 3.408205811545845371e-02
2.457373934021444060e+06 1.569060791015625000e+03 4.897116851806640625e+01 -7.989099425078224570e+00 3.388648598655598365e-02
2.457373934035223909e+06 1.549359863281250000e+03 4.893533325195312500e+01 -7.975380753058218808e+00 3.429225836046514986e-02
2.457373934049004223e+06 1.621077514648437500e+03 4.910857391357421875e+01 -8.024509454732660529e+00 3.289117427089065931e-02
2.457373934062784072e+06 1.692000366210937500e+03 4.961233139038085938e+01 -8.071001131750673352e+00 3.183574528675767179e-02
2.457373934076563921e+06 1.641261230468750000e+03 4.934916687011718750e+01 -8.037944277011044747e+00 3.264584786558218099e-02
2.457373934090344235e+06 1.606987426757812500e+03 4.923835372924804688e+01 -8.015031197024939047e+00 3.326724857197696505e-02
2.457373934104124084e+06 1.810655151367187500e+03 5.013380432128906250e+01 -8.144589361401852301e+00 3.006219967545764940e-02
2.457373934117903933e+06 1.678828613281250000e+03 4.954245376586914062e+01 -8.062515906358546758e+00 3.204033057705778925e-02
2.457373934131683782e+06 1.671584106445312500e+03 4.970713043212890625e+01 -8.057820582961824130e+00 3.228615275012803459e-02
2.457373934145464096e+06 1.655789550781250000e+03 4.940267181396484375e+01 -8.047512843890258338e+00 3.239448930571278695e-02
2.457373934159243945e+06 1.553677001953125000e+03 4.887015533447265625e+01 -7.978401843032224328e+00 3.415142425751834659e-02
2.457373934173023794e+06 1.571302490234375000e+03 4.904158020019531250e+01 -7.990649496963163401e+00 3.388679494717648788e-02
2.457373934186804108e+06 1.636385375976562500e+03 4.948027801513671875e+01 -8.034713974118728785e+00 3.283011315112363548e-02
2.457373934200583957e+06 1.535205200195312500e+03 4.871343612670898438e+01 -7.965416082035291723e+00 3.445150272646561873e-02
2.457373934214363806e+06 1.612218994140625000e+03 4.915513229370117188e+01 -8.018560083572035424e+00 3.310325305093630988e-02
2.457373934228143655e+06 1.732012939453125000e+03 4.981364059448242188e+01 -8.096377830508313167e+00 3.122647695468737383e-02
2.457373934241923969e+06 1.591421142578125000e+03 4.911934661865234375e+01 -8.004462808787986106e+00 3.351145587480311439e-02
2.457373934255703818e+06 1.636211914062500000e+03 4.940539932250976562e+01 -8.034598876620485441e+00 3.278390641175392417e-02
2.457373934269483667e+06 1.627305908203125000e+03 4.921651840209960938e+01 -8.028673003049796364e+00 3.283730638506693333e-02
