# id ra dec s L A b x y a flux x_0 y_0
0.000000000000000000e+00 8.295915544721869139e+01 5.611202014727499909e-01 2.337585568070815079e+00 6.218219048724706255e+01 8.961402727169814852e+01 1.451709216772962918e+02 4.557506504255490654e+03 1.416382725655456397e+03 -8.909999999999999432e+01 5.315569511463612434e+04 1.413919086928593060e+03 1.085896665817727325e+02
1.000000000000000000e+00 8.296529427865218054e+01 5.594603781224960493e-01 2.504088597156577833e+00 6.274820415062279721e+01 8.960677081347415651e+01 1.457255313437214284e+02 4.526361808180781736e+03 1.534335482258135244e+03 -8.909999999999999432e+01 1.083149096502804023e+05 1.532198234551641463e+03 1.414335958335376517e+02
2.000000000000000000e+00 8.290541403405497078e+01 5.584373254074365134e-01 2.086424862495078525e+00 6.108075648718412509e+01 8.997716874368497031e+01 1.427456788587419965e+02 4.494252795418735332e+03 3.789758993090847525e+02 -8.909999999999999432e+01 2.883071217343710305e+04 3.765446806859394542e+02 1.554823460413368252e+02
3.000000000000000000e+00 8.294272783604513677e+01 5.552609748027995673e-01 2.126627142181204189e+00 6.140435158184978803e+01 8.959468094278052774e+01 1.450402996780183571e+02 4.439838299484694289e+03 1.099917480034454684e+03 -8.909999999999999432e+01 3.115974513591970026e+04 1.096254053608167624e+03 2.208250068397448445e+02
4.000000000000000000e+00 8.289458045262782093e+01 5.528441497707674568e-01 2.793509433478859272e+00 6.339560967124247526e+01 8.999379021825197356e+01 1.426204710494077972e+02 4.382987366122703861e+03 1.713335123165442724e+02 -8.909999999999999432e+01 3.512544546671295539e+05 1.668599048325007175e+02 2.630910581422244832e+02
5.000000000000000000e+00 8.292339577069101608e+01 5.535668608179635797e-01 2.475384129894662610e+00 6.259653005306463314e+01 8.972913508718310993e+01 1.451678664699980743e+02 4.402688679614866487e+03 7.273506540347146938e+02 -8.909999999999999432e+01 8.457248382592204143e+04 7.230045119476156970e+02 2.518568285386749892e+02
6.000000000000000000e+00 8.290365317799066247e+01 5.517850723247947897e-01 2.921249591043868499e+00 6.304648979240562312e+01 8.984586217167492350e+01 1.435013469692734986e+02 4.364041684898583298e+03 3.462967531560331054e+02 -8.909999999999999432e+01 1.719404030338550510e+05 3.418229310377186039e+02 2.845507631748536141e+02
7.000000000000000000e+00 8.292651487672850408e+01 5.523568833198845285e-01 2.549175377570306100e+00 6.283682063323497857e+01 8.984577140683495600e+01 1.442176503723536598e+02 4.379626593503893673e+03 7.879881411457309923e+02 -8.909999999999999432e+01 1.172877535755168356e+05 7.830606126021953060e+02 2.756678832746674175e+02
8.000000000000000000e+00 8.289567902019176415e+01 5.504912941565618389e-01 2.771684006099524478e+00 6.338775103322235793e+01 8.974233599424674424e+01 1.441972014900586885e+02 4.337289358654609714e+03 1.926889151233708901e+02 -8.909999999999999432e+01 3.323965477642476908e+05 1.877972287693627038e+02 3.089093367070422005e+02
9.000000000000000000e+00 8.293818432418238729e+01 5.490598490913755070e-01 1.905254320932567191e+00 6.044368021934026558e+01 8.984312591070651877e+01 1.435813069000406585e+02 4.318395950242677827e+03 1.013487113279661003e+03 -8.909999999999999432e+01 1.777724180926734698e+04 1.007884370801268688e+03 3.408582564729059641e+02
1.000000000000000000e+01 8.298605723163797165e+01 5.491625439069954817e-01 2.597500615960597337e+00 6.298619672612282017e+01 8.979299658458815259e+01 1.442257802091666576e+02 4.329740173266213787e+03 1.937743726879561336e+03 -8.909999999999999432e+01 3.440244260841250070e+04 1.931723900309618330e+03 3.435175840464428916e+02
1.100000000000000000e+01 8.295903486190672993e+01 5.450793040151760138e-01 2.706037519130906510e+00 6.337451090009226817e+01 8.988888698554077905e+01 1.438850421592375710e+02 4.244824583244099813e+03 1.417065762778765702e+03 -8.909999999999999432e+01 2.117103388060806028e+05 1.409804172276710233e+03 4.202201978257599535e+02
1.200000000000000000e+01 8.298372058703743903e+01 5.432757113347943534e-01 2.898724657982515662e+00 6.299086871838576940e+01 8.985626409049844199e+01 1.444524750253526690e+02 4.215283525098221617e+03 1.893801031586283671e+03 -8.909999999999999432e+01 4.898666536917115445e+04 1.885976363384895421e+03 4.576596399911941830e+02
1.300000000000000000e+01 8.293700742271332160e+01 5.410207417859478340e-01 2.313756003789381843e+00 6.232995254172045207e+01 8.987605936775233317e+01 1.442891077061340468e+02 4.161867593149605455e+03 9.920936045117639424e+02 -8.909999999999999432e+01 5.667595533633956802e+04 9.842769970017913010e+02 4.969269879232168705e+02
1.400000000000000000e+01 8.296687863926248951e+01 5.397197922814064297e-01 2.887037110076375424e+00 6.395659821837504921e+01 8.984223412653541629e+01 1.443408463280119634e+02 4.142598501900775773e+03 1.569261015423822073e+03 -8.909999999999999432e+01 5.347114127690561581e+05 1.560572224763991471e+03 5.251069684385483924e+02
1.500000000000000000e+01 8.293539677085207984e+01 5.385787184377196501e-01 2.095758169441259700e+00 6.157964034280272614e+01 8.982125286523496754e+01 1.442261436142220532e+02 4.113499163305676120e+03 9.614133227811993265e+02 -8.909999999999999432e+01 2.893471276826680696e+04 9.529232117787115612e+02 5.442136536654301153e+02
1.600000000000000000e+01 8.290527144903695955e+01 5.383155478601528987e-01 1.858955059920599506e+00 6.032994026351321537e+01 8.979690100084771132e+01 1.440650884290371039e+02 4.102366116457371390e+03 3.807099893589114004e+02 -8.909999999999999432e+01 2.029724961648321187e+04 3.715499529941075139e+02 5.463935014691239758e+02
