# id ra dec s L A b x y a flux x_0 y_0
0.000000000000000000e+00 8.294014148700379963e+01 2.097766423686863446e-01 4.387309459659950228e+00 6.967227000177143736e+01 9.004801347574093029e+01 2.896666835434630229e+02 2.800073964707479263e+03 1.119809013621226768e+03 -8.909999999999999432e+01 5.159988750000000000e+05 1.090449949053933778e+03 1.860906672930240575e+03
1.000000000000000000e+00 8.294384300892868112e+01 2.095039303116209006e-01 4.459223402895925226e+00 6.915460539661273742e+01 9.008938816599761878e+01 2.903239017516701779e+02 2.795658592765174490e+03 1.191568703123362866e+03 -8.909999999999999432e+01 5.214845000000000000e+05 1.161715040317869352e+03 1.866157212566359249e+03
2.000000000000000000e+00 8.294190322332896415e+01 2.161732257610509411e-01 4.366426005268650101e+00 6.837892988110350245e+01 9.044940217165199670e+01 2.909631071543320218e+02 2.923968404715243651e+03 1.151757511452103927e+03 -8.909999999999999432e+01 6.851472500000000000e+05 1.124368502907565471e+03 1.737752536328509450e+03
3.000000000000000000e+00 8.292521116896978128e+01 2.050332231586199649e-01 5.115454037383944552e+00 6.907734908122237982e+01 9.081185979867665026e+01 2.957336728069881246e+02 2.704470039193520734e+03 8.344587723375851738e+02 -8.909999999999999432e+01 6.028973750000000000e+05 8.029977610118412485e+02 1.952232095445161121e+03
4.000000000000000000e+00 8.292221459729115907e+01 2.058660023720079446e-01 5.054739465177233271e+00 7.042051140697802225e+01 9.025660020100589520e+01 3.006263742854557677e+02 2.718883931381210004e+03 7.757416788476963347e+02 -8.909999999999999432e+01 5.429671875000000000e+05 7.453050141802799544e+02 1.936198460015269575e+03
5.000000000000000000e+00 8.295198985574080552e+01 2.003376564161223339e-01 5.886862735084262610e+00 7.036523661114365780e+01 9.147501185534567014e+01 2.930771761444694334e+02 2.622159188121928310e+03 1.350696945827502987e+03 -8.909999999999999432e+01 8.705877500000000000e+05 1.318565648846705244e+03 2.042636293565511551e+03
6.000000000000000000e+00 8.295304014711408058e+01 2.038637152804664010e-01 2.755232388514201158e+00 6.645036738181005376e+01 8.877766002797949341e+01 2.936824835000746816e+02 2.689819369776172607e+03 1.369758374737361009e+03 -8.909999999999999432e+01 4.007642750000000000e+06 1.338786806017281606e+03 1.974748734792387495e+03
7.000000000000000000e+00 8.294519657151128911e+01 1.904773113912159310e-01 5.101679202892730025e+00 7.129380776610483395e+01 9.004385992737623212e+01 2.747755083150497057e+02 2.429996844257477733e+03 1.223093181833456811e+03 -8.909999999999999432e+01 4.482111562500000000e+05 1.187775114103787018e+03 2.232478411496726949e+03
8.000000000000000000e+00 8.295335225391444567e+01 2.151947930683470733e-01 3.980939174583705942e+00 6.789613492680454954e+01 9.027094562138549350e+01 2.903063519898311142e+02 2.908233163199071896e+03 1.373213746207780105e+03 -8.909999999999999432e+01 6.438280625000000000e+05 1.344795709589708167e+03 1.756590287314774287e+03
9.000000000000000000e+00 8.293729385826719636e+01 1.873176682408344840e-01 5.280096107737606737e+00 6.778502859150879090e+01 9.153861209424104572e+01 2.932240448870958289e+02 2.366560329976482990e+03 1.072199044074023277e+03 -8.909999999999999432e+01 7.735180000000000000e+05 1.035624779013307261e+03 2.293311273297285879e+03
1.000000000000000000e+01 8.294268364143894701e+01 1.859509069540458137e-01 5.264155906457268941e+00 7.037377014120107788e+01 9.051387969700208203e+01 2.931103955285184952e+02 2.342599584900770878e+03 1.176545866875273532e+03 -8.909999999999999432e+01 5.403537500000000000e+05 1.139393870262274731e+03 2.319625616993196218e+03
1.100000000000000000e+01 8.293513859409405597e+01 2.293952591403687902e-01 5.231433426139368237e+00 7.031476256768462463e+01 9.036249004522861128e+01 2.965529905747279713e+02 3.176689977551241554e+03 1.017732950165159878e+03 -8.909999999999999432e+01 6.079617500000000000e+05 9.941297002211024392e+02 1.483187021332669701e+03
1.200000000000000000e+01 8.291199886537286545e+01 2.060680802547976420e-01 5.124162272160349474e+00 7.158961691324218179e+01 8.999720080149478463e+01 2.532353763286287460e+02 2.719995561858694145e+03 5.790211242733286099e+02 -8.909999999999999432e+01 4.926538125000000000e+05 5.486223441029222840e+02 1.932307566084364453e+03
1.300000000000000000e+01 8.292613469973586859e+01 2.301301099601085476e-01 3.650280164521364945e+00 6.798041110150961686e+01 9.010823663364980973e+01 2.896488605711137438e+02 3.187831361662942982e+03 8.446680498138853181e+02 -8.909999999999999432e+01 6.253921250000000000e+05 8.207785468273655169e+02 1.469038734655922781e+03
1.400000000000000000e+01 8.293797402951527431e+01 2.324928823779011944e-01 4.441238316985548273e+00 6.872673770255092052e+01 9.020135258052785332e+01 2.911124560330100621e+02 3.236420310442991649e+03 1.071329405561648628e+03 -8.909999999999999432e+01 5.456680000000000000e+05 1.048720079708323965e+03 1.423548043295147636e+03
1.500000000000000000e+01 8.291098139729344041e+01 2.142104960178438378e-01 4.865491006896631276e+00 7.178761138164935574e+01 8.993049663687413897e+01 2.923715000577602154e+02 2.876527294324253489e+03 5.572612324181018266e+02 -8.909999999999999432e+01 1.046472500000000000e+06 5.290331982934574171e+02 1.775540716789782891e+03
1.600000000000000000e+01 8.296144838908354302e+01 1.993443585121693340e-01 4.426752948315298752e+00 6.895463006995917965e+01 9.013678559720625572e+01 2.888858886782624609e+02 2.605431163500378716e+03 1.533603238564244066e+03 -8.909999999999999432e+01 4.780109375000000000e+05 1.500670057568975608e+03 2.061760149765621463e+03
1.700000000000000000e+01 8.292026755092962276e+01 1.830260511235370646e-01 3.961597724812105259e+00 6.723952108915902670e+01 9.041270017716007601e+01 2.914288847854642768e+02 2.279247441895615793e+03 7.456851156412150203e+02 -8.909999999999999432e+01 6.283848750000000000e+05 7.078185241267871106e+02 2.375937884905387818e+03
1.800000000000000000e+01 8.290715060684912885e+01 1.991332990391699032e-01 4.628788465963883603e+00 6.855497943095780045e+01 9.176611903978337637e+01 2.951739883842616337e+02 2.584735644389425488e+03 4.881334860722172948e+02 -8.909999999999999432e+01 7.501781875000000000e+05 4.552791141340728700e+02 2.065823409528444245e+03
1.900000000000000000e+01 8.292993371479380471e+01 1.776438765957605581e-01 5.032745049555835237e+00 6.834189137666186298e+01 8.906174564730751797e+01 2.901826104193199853e+02 2.178214315884198186e+03 9.336988833076152332e+02 -8.909999999999999432e+01 6.162898750000000000e+05 8.939204569783901206e+02 2.479561363906787847e+03
2.000000000000000000e+01 8.291991854573586807e+01 2.326296962796123025e-01 5.188779840242889740e+00 6.963277198697988979e+01 9.074261309630644234e+01 2.781471092013482576e+02 3.234438875664194256e+03 7.242182997670022360e+02 -8.909999999999999432e+01 7.954618750000000000e+05 7.010995142089100227e+02 1.420913701623295992e+03
2.100000000000000000e+01 8.296660251483112347e+01 2.074211344445646699e-01 5.083200710288709345e+00 7.135135133566022603e+01 9.001969896674145843e+01 2.608108684391650627e+02 2.762005475152238432e+03 1.629956426635037133e+03 -8.909999999999999432e+01 4.946381250000000000e+05 1.599901960797976017e+03 1.906257043389923183e+03
2.200000000000000000e+01 8.292895067425818922e+01 2.374109669685257884e-01 4.316504418183655822e+00 6.933969710032508260e+01 9.003307137080037137e+01 2.899954968332426120e+02 3.328880592278730546e+03 8.958995838025517742e+02 -8.909999999999999432e+01 4.918866250000000000e+05 8.749942753696060436e+02 1.328859345619019678e+03
2.300000000000000000e+01 8.290567384000155471e+01 2.150563319708239107e-01 2.961479486793856530e+00 6.701044995747795952e+01 9.001398597630712572e+01 2.900005306292427463e+02 2.891137853510581863e+03 4.549256514680283203e+02 -8.909999999999999432e+01 2.283181000000000000e+06 4.268472347439204100e+02 1.759255534556711837e+03
2.400000000000000000e+01 8.293182720064778835e+01 2.384443150635226771e-01 3.804896491213112686e+00 6.826326630706562071e+01 9.008059050158027503e+01 2.898450922149540361e+02 3.349658057982523587e+03 9.516024848250574451e+02 -8.909999999999999432e+01 6.267666250000000000e+05 9.303757694931550759e+02 1.308964165182261240e+03
2.500000000000000000e+01 8.293646281502135764e+01 1.752247800886910789e-01 3.784362557037712627e+00 6.795947044756191247e+01 9.020935648008854457e+01 2.907506142194596350e+02 2.134246503157558891e+03 1.059411700578784348e+03 -8.909999999999999432e+01 7.678531250000000000e+05 1.019624754981792648e+03 2.526136402744956740e+03
2.600000000000000000e+01 8.294164596848129634e+01 2.384960121276963330e-01 2.827785917529321846e+00 6.676101139331579759e+01 8.990321488948112005e+01 2.921838581781378821e+02 3.353313023477242041e+03 1.140376144080323002e+03 -8.909999999999999432e+01 2.933034000000000000e+06 1.119415573308613375e+03 1.307968862126170507e+03
2.700000000000000000e+01 8.290441644960827716e+01 2.124328927850054893e-01 3.236496264696382408e+00 6.687574949052506668e+01 9.019106636475851246e+01 2.884785538121539616e+02 2.840275853559864572e+03 4.316093484747353273e+02 -8.909999999999999432e+01 1.207885875000000000e+06 4.026387624884644083e+02 1.809764860041152360e+03
2.800000000000000000e+01 8.296683512433108376e+01 1.971194494443612999e-01 5.143514222229159216e+00 6.860005141405633822e+01 9.055565393684965159e+01 2.922428568557077710e+02 2.565193753078377085e+03 1.637262660401386256e+03 -8.909999999999999432e+01 5.718106250000000000e+05 1.604380484572186106e+03 2.104596363455305436e+03
2.900000000000000000e+01 8.295782659007544169e+01 2.318055830320768229e-01 5.090101841017442119e+00 7.080343412380322832e+01 9.005390328480635276e+01 2.970359739634457696e+02 3.228947450547825156e+03 1.453966528351456191e+03 -8.909999999999999432e+01 5.698961250000000000e+05 1.430939603881301764e+03 1.436780473479091825e+03
3.000000000000000000e+01 8.295480564853221495e+01 1.799220155599640103e-01 4.226849637614042976e+00 6.866871932193325279e+01 9.006802790940423620e+01 2.904564773839846339e+02 2.229720427340664628e+03 1.411222062444019002e+03 -8.909999999999999432e+01 4.892061250000000000e+05 1.372778010439951913e+03 2.435700126438701318e+03
3.100000000000000000e+01 8.296981154455346541e+01 2.122200252473265547e-01 3.557782517235358988e+00 6.893541714755886574e+01 9.073188839915013659e+01 2.905410820865011488e+02 2.855932219430713758e+03 1.690475965875730935e+03 -8.909999999999999432e+01 1.474952750000000000e+06 1.661685102104278485e+03 1.813863362592521298e+03
