# jd flux flux_err
2.457373942654599901e+06 2.268932364783654702e+04 1.596216247320422212e+02
2.457373942665459123e+06 9.724866909555286838e+03 1.050761820506858584e+02
2.457373942676318809e+06 9.758363341346153902e+03 1.051450726619649458e+02
2.457373942687178031e+06 2.289179075270432440e+04 1.599100372675997050e+02
2.457373942698037252e+06 9.874437575120193287e+03 1.054351606692336674e+02
2.457373942708896939e+06 9.771263191105768783e+03 1.051564378644933129e+02
2.457373942719756160e+06 9.704686253004809259e+03 1.050232868895156457e+02
2.457373942730615381e+06 2.295956783353365608e+04 1.601983630850323266e+02
2.457373942741475068e+06 9.869452103365383664e+03 1.055629950180251058e+02
2.457373942752334289e+06 9.939475330528845006e+03 1.057575750587622849e+02
2.457373942763193510e+06 9.939299338942299073e+03 1.057861662523271065e+02
2.457373942774053197e+06 2.281896381460337943e+04 1.600574221512158886e+02
2.457373942784912419e+06 9.303722066556503705e+03 1.039057251927277150e+02
2.457373942795771640e+06 9.013249076021624205e+03 1.031627100933299346e+02
2.457373942806631327e+06 8.735875999098547254e+03 1.025331985254946972e+02
2.457373942817490548e+06 1.975068021334135483e+04 1.544924281930356074e+02
2.457373942828349769e+06 8.337000000000010914e+03 1.011457247078128745e+02
2.457373942839209456e+06 8.318162165715133597e+03 1.010056431434658180e+02
2.457373942850068677e+06 8.322409465144221031e+03 1.010506606204755258e+02
2.457373942860927898e+06 1.992820744065506005e+04 1.543691752691986778e+02
2.457373942871787585e+06 8.497299012169482012e+03 1.017192380639895504e+02
2.457373942882646807e+06 8.600456850961505552e+03 1.020213842050195581e+02
2.457373942893506028e+06 2.066365519080530066e+04 1.557971208735606297e+02
2.457373942904365715e+06 9.276823839393040544e+03 1.041239268619736151e+02
2.457373942915224936e+06 9.609496289062513824e+03 1.050182751416732572e+02
2.457373942926084157e+06 9.943226010366601258e+03 1.059390258849121125e+02
2.457373942936943844e+06 2.429852530799274973e+04 1.628801689488074089e+02
2.457373942947803065e+06 1.077139615384616991e+04 1.080388953428950458e+02
2.457373942958662286e+06 1.101582029747597699e+04 1.087943079848470660e+02
2.457373942969521973e+06 1.125805091646630535e+04 1.095261882887817251e+02
2.457373942980381195e+06 2.725418750000001091e+04 1.680135972269198987e+02
2.457373942991240416e+06 1.173823607271635774e+04 1.107901832076413200e+02
2.457373943002100103e+06 1.174976628605770748e+04 1.107890700812080382e+02
2.457373943012959324e+06 1.170702730618991882e+04 1.106018610338002333e+02
2.457373943023818545e+06 2.719156893028841296e+04 1.673916354515247065e+02
2.457373943034677766e+06 1.145335238131010919e+04 1.098239065617365213e+02
2.457373943045537453e+06 1.131257996168871432e+04 1.095666618496724709e+02
2.457373943056396674e+06 1.113219541766822840e+04 1.091982650326412028e+02
2.457373943067255896e+06 2.537248751126804564e+04 1.648794411536277096e+02
2.457373943078115582e+06 1.033299122971756151e+04 1.069750428768385433e+02
2.457373943088974804e+06 1.004681398737981908e+04 1.061553754969377934e+02
2.457373943099834025e+06 9.843552313701937237e+03 1.056232820623561963e+02
2.457373943110693712e+06 2.299725034555284947e+04 1.602499636035631738e+02
2.457373943121552933e+06 9.739298798076890307e+03 1.053687393367020775e+02
2.457373943132412154e+06 9.603825090144287969e+03 1.049832503291945045e+02
2.457373943143271841e+06 2.198361352163457923e+04 1.583266712031283134e+02
2.457373943154131062e+06 9.324023625300538697e+03 1.040395280791180141e+02
2.457373943164990284e+06 9.313410096153813356e+03 1.040325981766902856e+02
2.457373943175849970e+06 9.487619576322082139e+03 1.045247805305824187e+02
2.457373943186709192e+06 2.361205625000006330e+04 1.612795766692151744e+02
2.457373943197568413e+06 1.057825271935092678e+04 1.075963133010154564e+02
2.457373943208428100e+06 1.091805079627410669e+04 1.084965324879737096e+02
2.457373943219287321e+06 1.104903078425476633e+04 1.088490492716477291e+02
2.457373943230146542e+06 2.496470920222351560e+04 1.640092023914036474e+02
2.457373943241006229e+06 1.009095826322121320e+04 1.059725540668575263e+02
2.457373943251865450e+06 9.625698452524000459e+03 1.046523022874035291e+02
2.457373943262724672e+06 9.183621972656215803e+03 1.034481010546195705e+02
2.457373943273584358e+06 2.082887439903850827e+04 1.556795584746953409e+02
2.457373943284443580e+06 8.668125075120158726e+03 1.020085230723202727e+02
2.457373943295302801e+06 8.712133713942275790e+03 1.021884430543550621e+02
2.457373943306162488e+06 8.880941049429144186e+03 1.026766899679976177e+02
2.457373943317021709e+06 2.205375764347952645e+04 1.580645398505983223e+02
2.457373943327880930e+06 9.755091894531311482e+03 1.050792773955361241e+02
2.457373943338740617e+06 1.015691397235573277e+04 1.062821738312462259e+02
2.457373943349599838e+06 1.059897043269227288e+04 1.075987221736946395e+02
