# jd flux flux_err
2.457418907986300066e+06 2.240243705137189681e+04 1.214510718735505463e+02
2.457418907989505213e+06 2.108594852954840098e+04 1.182143850876620235e+02
2.457418907992709894e+06 2.113919717072290223e+04 1.183294723869226459e+02
2.457418907995915040e+06 2.100903803915009848e+04 1.179958075506150408e+02
2.457418907999120187e+06 2.104609895866515581e+04 1.180887379206915568e+02
2.457418908002324868e+06 2.084900291077345537e+04 1.175911028746659071e+02
2.457418908005530015e+06 2.107523783328553327e+04 1.181756758903979261e+02
2.457418908008735161e+06 2.120314632576241274e+04 1.184802816884581489e+02
2.457418908011940308e+06 2.113659792237407237e+04 1.183242036499378145e+02
2.457418908015144989e+06 2.115933657294584918e+04 1.183390482734017297e+02
2.457418908018350136e+06 2.115818361266406282e+04 1.183815189865000974e+02
2.457418908021555282e+06 2.105070708201931484e+04 1.181087651617131513e+02
2.457418908024759963e+06 2.126182133983178574e+04 1.186302211386730647e+02
2.457418908027965110e+06 2.123342650794786823e+04 1.185229562884168217e+02
2.457418908031170256e+06 2.108286788931100818e+04 1.182020355221750378e+02
2.457418908034374937e+06 2.110457043726637494e+04 1.182442123193222727e+02
2.457418908037580084e+06 2.172972418397466754e+04 1.198015580605706560e+02
2.457418908040785231e+06 2.204693840820648256e+04 1.205639846560331279e+02
2.457418908043990377e+06 2.231229460962716621e+04 1.212321635366612611e+02
2.457418908047195058e+06 2.242512641158573024e+04 1.214948912159766508e+02
2.457418908050400205e+06 2.225854681792604970e+04 1.210860805281015189e+02
2.457418908053605352e+06 2.203751129699974990e+04 1.205491673306789977e+02
2.457418908056810033e+06 2.190571677762910258e+04 1.202197945765827427e+02
2.457418908060015179e+06 2.201410526401369498e+04 1.204772405782885585e+02
2.457418908063220326e+06 2.226065080839330767e+04 1.210772860404038767e+02
2.457418908066425007e+06 2.205564145821385682e+04 1.205455426187579064e+02
2.457418908069630153e+06 2.200783767527022064e+04 1.204565349801733305e+02
2.457418908072835300e+06 2.216164773867544136e+04 1.208081497120010113e+02
2.457418908076039981e+06 2.237225235264302319e+04 1.213515635786677365e+02
2.457418908079245128e+06 2.223805645944824937e+04 1.210039442189602852e+02
2.457418908082450274e+06 2.235253201883970905e+04 1.212800444456398736e+02
2.457418908085655421e+06 2.213688314897105738e+04 1.207627785863689951e+02
2.457418908088860102e+06 2.217225175303418655e+04 1.208485666672370940e+02
2.457418908092065249e+06 2.219798751771946263e+04 1.209103890174603748e+02
2.457418908095270395e+06 2.247823438993212767e+04 1.216028835233712755e+02
2.457418908098475076e+06 2.230724086052984785e+04 1.211636022985718597e+02
2.457418908101680223e+06 2.208673028757324937e+04 1.206587267286450356e+02
2.457418908104885370e+06 2.183268622678546672e+04 1.200076104460938637e+02
2.457418908108090051e+06 2.201434466185650672e+04 1.204723862514525621e+02
2.457418908111295197e+06 2.215364556687742152e+04 1.207940559852987263e+02
2.457418908114500344e+06 2.251040196712801480e+04 1.216765967286915355e+02
2.457418908117705490e+06 2.223749599254331406e+04 1.209931585047390570e+02
2.457418908120910171e+06 2.220403206595893062e+04 1.208969020892412516e+02
2.457418908124115318e+06 2.210530944720521074e+04 1.206718766696145337e+02
2.457418908127320465e+06 2.210380517130158478e+04 1.206982863364728189e+02
2.457418908130525146e+06 2.212457242987861173e+04 1.206941834752082912e+02
2.457418908133730292e+06 2.216595815248851795e+04 1.207817089935173129e+02
2.457418908136935439e+06 2.202500544757951138e+04 1.204572479921675523e+02
2.457418908140140120e+06 2.196024378059429364e+04 1.203275256578541672e+02
2.457418908143345267e+06 2.207122338493881762e+04 1.205754257801138039e+02
2.457418908146550413e+06 2.195654005233550197e+04 1.203352399846587986e+02
2.457418908149755094e+06 2.204237773656502759e+04 1.205063990161119705e+02
2.457418908152960241e+06 2.213825495647774369e+04 1.207244173894108030e+02
2.457418908156165387e+06 2.222047917131220674e+04 1.209017377279350001e+02
2.457418908159370534e+06 2.221537629843323521e+04 1.209161678680657275e+02
2.457418908162575215e+06 2.198911918940333635e+04 1.204110489982889476e+02
2.457418908165780362e+06 2.209680364954975448e+04 1.206202856198300282e+02
2.457418908168985508e+06 2.212833728603912095e+04 1.207053687826351052e+02
2.457418908172190189e+06 2.178232617121133080e+04 1.198858041711178686e+02
2.457418908175395336e+06 2.221252081043735234e+04 1.209554633210597103e+02
2.457418908178600483e+06 2.195221891956282343e+04 1.202938694606382910e+02
2.457418908181805164e+06 2.190025932861077308e+04 1.201686965652433230e+02
2.457418908185010310e+06 2.214064365722157163e+04 1.207433277070260260e+02
2.457418908188215457e+06 2.222318693821937632e+04 1.209745016441422365e+02
2.457418908191420604e+06 2.201587974610037054e+04 1.204478047334575876e+02
2.457418908194625285e+06 2.202050879702629391e+04 1.204690773607817960e+02
2.457418908197830431e+06 2.203111229606001871e+04 1.204716341008565905e+02
2.457418908201035578e+06 2.203278575950877348e+04 1.204895342068986537e+02
2.457418908204240259e+06 2.184952243405961417e+04 1.200447318605694136e+02
2.457418908207445405e+06 2.220562118201556586e+04 1.209180573951161648e+02
2.457418908210650552e+06 2.230389940941715759e+04 1.211623342512917532e+02
2.457418908213855233e+06 2.225684200393410356e+04 1.210382949346736581e+02
2.457418908217060380e+06 2.232795109820971629e+04 1.212013464204273987e+02
2.457418908220265526e+06 2.222332406544658807e+04 1.209454494730243823e+02
2.457418908223470207e+06 2.215585099209191685e+04 1.207792247278691917e+02
2.457418908226675354e+06 2.224118349453415067e+04 1.210296778666058515e+02
