# jd flux flux_err mag mag_err
2.457418909173354972e+06 3.516066406250000000e+03 8.445749664306640625e+01 -8.865142671973899269e+00 2.607996317767011935e-02
2.457418909177944064e+06 3.614307617187500000e+03 8.500189208984375000e+01 -8.895062782544606250e+00 2.553461522720167770e-02
2.457418909182533156e+06 3.598912597656250000e+03 8.476904296875000000e+01 -8.890428249018693663e+00 2.557359708397162479e-02
2.457418909187122248e+06 3.411877441406250000e+03 8.476685333251953125e+01 -8.832483556035795047e+00 2.697481516197616086e-02
2.457418909191711340e+06 3.465141601562500000e+03 8.510453796386718750e+01 -8.849302466432106939e+00 2.666598127107520227e-02
2.457418909196300432e+06 3.439043457031250000e+03 8.472622680664062500e+01 -8.841094159407917985e+00 2.674890696858271341e-02
2.457418909200889524e+06 3.489258789062500000e+03 8.522627258300781250e+01 -8.856832952778962209e+00 2.651955007875382228e-02
2.457418909205478616e+06 3.282891601562500000e+03 8.467470550537109375e+01 -8.790641357279895374e+00 2.800418835384179544e-02
2.457418909210067708e+06 3.415359375000000000e+03 8.496352386474609375e+01 -8.833591020679174122e+00 2.700983594176218153e-02
2.457418909214656800e+06 3.508345214843750000e+03 8.517443084716796875e+01 -8.862755801476525974e+00 2.635923231178456672e-02
2.457418909219245426e+06 3.574198242187500000e+03 8.540543365478515625e+01 -8.882946592234663541e+00 2.594374717155993257e-02
2.457418909223834518e+06 3.530028808593750000e+03 8.511093902587890625e+01 -8.869445624207688894e+00 2.617778945967590490e-02
2.457418909228423610e+06 3.460459472656250000e+03 8.486636352539062500e+01 -8.847834418362669595e+00 2.662733265976635275e-02
2.457418909233012702e+06 3.546324218750000000e+03 8.542539978027343750e+01 -8.874446094925730222e+00 2.615377721728057506e-02
2.457418909237601794e+06 3.680781250000000000e+03 8.533063507080078125e+01 -8.914850019886118915e+00 2.517044003138497674e-02
2.457418909242190886e+06 3.848892578125000000e+03 8.508842468261718750e+01 -8.963339475464083606e+00 2.400272398870375787e-02
2.457418909246779978e+06 3.922945800781250000e+03 8.517125701904296875e+01 -8.984030769951530715e+00 2.357255116230248457e-02
2.457418909251369070e+06 3.791100585937500000e+03 8.465567016601562500e+01 -8.946913268332041369e+00 2.424468706184972067e-02
2.457418909255958162e+06 3.742387207031250000e+03 8.472802734375000000e+01 -8.932871799690623504e+00 2.458126412878018294e-02
2.457418909260547254e+06 3.669338378906250000e+03 8.493852233886718750e+01 -8.911469408386579971e+00 2.513291000207257264e-02
