# jd flux flux_err
2.457429878864500206e+06 -5.303382897797562223e-02 2.078472394086862352e+01
2.457429878875195049e+06 -5.981242418127436650e-02 2.078483148608242459e+01
2.457429878885890357e+06 4.438774702183426180e-02 2.078647817826931643e+01
2.457429878896585200e+06 1.846357004128123536e-01 2.078863562894651551e+01
2.457429878907280043e+06 -8.330416304932558802e+00 2.080935692845717000e+01
2.457429878917974886e+06 -3.066172202013563606e+02 2.144401188334884267e+01
2.457429878928670194e+06 -7.079306280895598320e+02 2.226846293282395450e+01
2.457429878939365037e+06 -1.104495373212364029e+03 2.305342833644077771e+01
2.457429878950059880e+06 -1.486386622155106807e+03 2.378321065869877771e+01
2.457429878960755188e+06 -1.871221240212406656e+03 2.447641822896312291e+01
2.457429878971450031e+06 -8.811042777979757830e+02 3.774061254260879394e+01
2.457429878982144874e+06 3.373476493072854737e+03 6.442491552483285489e+01
2.457429878992840182e+06 7.777226752755225789e+03 8.335235133481693026e+01
2.457429879003535025e+06 1.362573669582660114e+04 1.032803132197899885e+02
2.457429879014229868e+06 1.880438891590520507e+04 1.181984466558937044e+02
2.457429879024924710e+06 2.336651881108485395e+04 1.299257340180465690e+02
2.457429879035620019e+06 2.501828056936554276e+04 1.347600293215824081e+02
2.457429879046314862e+06 2.403281681922419739e+04 1.335649601328533720e+02
2.457429879057009704e+06 2.431824292157820310e+04 1.353621792982655734e+02
2.457429879067705013e+06 2.372569731928957481e+04 1.349532502868393351e+02
2.457429879078399856e+06 2.329292930919789796e+04 1.350643045087906842e+02
2.457429879089094698e+06 2.274355379574076505e+04 1.344793924873724222e+02
2.457429879099789541e+06 2.293931179021442222e+04 1.348419617436872784e+02
2.457429879110484850e+06 2.283172809249209604e+04 1.345743641665460473e+02
2.457429879121179692e+06 2.307815214521321832e+04 1.350671803101121782e+02
2.457429879131874535e+06 2.290496522381877003e+04 1.347876498672156913e+02
2.457429879142569844e+06 2.286685854419310635e+04 1.346546111102602197e+02
2.457429879153264686e+06 2.307243268564839673e+04 1.351477120766759015e+02
2.457429879163959529e+06 2.288099251699599336e+04 1.346546315046610403e+02
2.457429879174654372e+06 2.288164957527703154e+04 1.346418967765523576e+02
2.457429879185349680e+06 2.239914489078048064e+04 1.334871745206054072e+02
2.457429879196044523e+06 2.293008977043052073e+04 1.347565241350272913e+02
2.457429879206739366e+06 2.290954948800034254e+04 1.347393457050674215e+02
2.457429879217434675e+06 2.297942878779046077e+04 1.349008512158978590e+02
2.457429879228129517e+06 2.312068029834846675e+04 1.352488318655115620e+02
2.457429879238824360e+06 2.261518767755682711e+04 1.340540197992654328e+02
2.457429879249519669e+06 2.294715924594005992e+04 1.348011712875855892e+02
2.457429879260214511e+06 2.304756803562091227e+04 1.350339613854225149e+02
2.457429879270909354e+06 2.283245299956185409e+04 1.345568407609112285e+02
2.457429879281604197e+06 2.295808769805094926e+04 1.348708047117148965e+02
2.457429879292299505e+06 2.295635663435294191e+04 1.349206098648714374e+02
2.457429879302994348e+06 2.296824942316119632e+04 1.348629811195465891e+02
2.457429879313689191e+06 2.317167462955994779e+04 1.353019905999338448e+02
2.457429879324384499e+06 2.281666129910639575e+04 1.345434793222116809e+02
2.457429879335079342e+06 2.322393900084097550e+04 1.354397423331499795e+02
2.457429879345774185e+06 2.306478591174985559e+04 1.350275303160733813e+02
2.457429879356469028e+06 2.345224642368768036e+04 1.359652361359362374e+02
2.457429879367164336e+06 2.281993948669296879e+04 1.346533451737522284e+02
2.457429879377859179e+06 2.303383217833065282e+04 1.351213327228913670e+02
2.457429879388554022e+06 2.310753865239676088e+04 1.353510876774041662e+02
2.457429879399249330e+06 2.292434544606513737e+04 1.349115212204605712e+02
2.457429879409944173e+06 2.304014997477987345e+04 1.352196336783124480e+02
2.457429879420639016e+06 2.296117803471987281e+04 1.349099387153136149e+02
2.457429879431333859e+06 2.312329019762693133e+04 1.353463247070338582e+02
2.457429879442029167e+06 2.281907373510643447e+04 1.345551510817722658e+02
2.457429879452724010e+06 2.196170362432319962e+04 1.325488097175529276e+02
2.457429879463418853e+06 2.115735263071185909e+04 1.305578588041424553e+02
2.457429879474114161e+06 2.110581044219598698e+04 1.305619969138223269e+02
2.457429879484809004e+06 2.137590278940878852e+04 1.312396997534038690e+02
2.457429879495503847e+06 2.090692559795130364e+04 1.299437881465339899e+02
2.457429879506199155e+06 2.138068592076019922e+04 1.311111312402011890e+02
2.457429879516893998e+06 2.133716395362499316e+04 1.309731096891599691e+02
2.457429879527588841e+06 2.127647104366308486e+04 1.309163809880901397e+02
2.457429879538283683e+06 2.085836224815200330e+04 1.300958737797566300e+02
2.457429879548978992e+06 2.124546391400597349e+04 1.308016751016317585e+02
2.457429879559673835e+06 2.117258887822960241e+04 1.306403346372680119e+02
