# id ra dec s L A b x y a flux x_0 y_0
0.000000000000000000e+00 1.167921354054254834e+02 -2.121437866218601087e+01 4.744682011683265088e+00 3.694596066297172570e+02 8.998737054068115526e+01 1.784828027315779195e+02 4.176913341891784512e+03 1.711986816135287654e+03 6.540000000000000568e+01 2.850616500000000000e+06 1.928056153760781172e+03 3.710184077640953092e+03
1.000000000000000000e+00 1.167875878462642589e+02 -2.121712272785076081e+01 4.746425453305088915e+00 3.720504012311412794e+02 9.000826487671255904e+01 1.785522551742274118e+02 4.162916261025152380e+03 1.615002155612185788e+03 6.540000000000000568e+01 2.217327750000000000e+06 2.009659521574837754e+03 3.657326615239510829e+03
2.000000000000000000e+00 1.167903685881816926e+02 -2.121268854276636873e+01 4.749606352003854504e+00 3.423506062435072295e+02 9.004416868512923600e+01 1.785021208925874134e+02 4.218924054966902986e+03 1.696503192714700617e+03 6.540000000000000568e+01 2.708146000000000000e+06 1.959777713018895611e+03 3.742714146039426851e+03
3.000000000000000000e+00 1.167931604430904571e+02 -2.120971536056890727e+01 4.056204638912893401e+00 3.917594144012079482e+02 8.998627672535086219e+01 1.784114137172336712e+02 4.251007619934442118e+03 1.765938966393363671e+03 6.540000000000000568e+01 2.599436500000000000e+06 1.909685107966184205e+03 3.799972155644797567e+03
4.000000000000000000e+00 1.168037709610472916e+02 -2.122562174201787144e+01 2.100383845383410275e+00 3.705997971193416447e+02 8.983719669290216814e+01 1.763359306121287489e+02 3.892864875081638729e+03 1.812211394303026964e+03 6.540000000000000568e+01 4.492163200000000000e+07 1.719168214143845944e+03 3.493776751533565857e+03
5.000000000000000000e+00 1.167900795655565247e+02 -2.120429443850828832e+01 4.712635936182496543e+00 3.703875299416349662e+02 9.001744138819228169e+01 1.789544300085154305e+02 4.368823484843232109e+03 1.758406087307731923e+03 6.540000000000000568e+01 2.594419750000000000e+06 1.965016289529924052e+03 3.904324198180290296e+03
6.000000000000000000e+00 1.168023707342170354e+02 -2.123425180187160066e+01 2.283621193999668453e+00 3.713296095165882775e+02 8.980897118672702106e+01 1.778178093060494689e+02 3.752311373889155675e+03 1.719534795270771383e+03 6.540000000000000568e+01 1.397699400000000000e+07 1.744258345330964630e+03 3.327616217131012945e+03
7.000000000000000000e+00 1.168124536636951092e+02 -2.121322557120778995e+01 3.240303998561507193e+00 3.699975323026731076e+02 9.020696797642371223e+01 1.789171175182919740e+02 4.044661944108885564e+03 2.052799820645998807e+03 6.540000000000000568e+01 5.882237000000000000e+06 1.563382241061142167e+03 3.732471862807323760e+03
8.000000000000000000e+00 1.168144341687649330e+02 -2.122327360940918695e+01 3.434309092605294378e+00 3.699981661707248577e+02 8.985759336583525680e+01 1.779727924958570497e+02 3.854772067499960031e+03 2.005497775144153593e+03 6.540000000000000568e+01 2.718445250000000000e+06 1.527803885527936927e+03 3.539022977698358773e+03
9.000000000000000000e+00 1.167907499066741082e+02 -2.119864310670003249e+01 5.123468504880671404e+00 3.709503369900220378e+02 9.006170783551945647e+01 1.788968026873857582e+02 4.461979429381708542e+03 1.814827797870383392e+03 6.540000000000000568e+01 2.942733500000000000e+06 1.953017910408855641e+03 4.013133053201258008e+03
1.000000000000000000e+01 1.168147088065412191e+02 -2.122407562633439682e+01 3.571459157544410346e+00 3.699982317066390465e+02 8.977843274844198618e+01 1.783781351058229063e+02 3.837710648557776040e+03 2.003461859753952467e+03 6.540000000000000568e+01 3.003303500000000000e+06 1.522872425560906095e+03 3.523582540412176513e+03
1.100000000000000000e+01 1.168132082784142511e+02 -2.123132515547307264e+01 2.918361140745200366e+00 3.746412081625617816e+02 9.004259344768439632e+01 1.788113827198932313e+02 3.722324750551618763e+03 1.921033896792562473e+03 6.540000000000000568e+01 7.207919000000000000e+06 1.549778803600632500e+03 3.384002832509962900e+03
1.200000000000000000e+01 1.168132833368664905e+02 -2.123368889473940513e+01 4.015220156558161335e+00 3.699980931169934593e+02 8.985336281739928666e+01 1.783879395020428831e+02 3.680879417794544224e+03 1.902050388945457144e+03 6.540000000000000568e+01 3.366147250000000000e+06 1.548424065491843066e+03 3.338493963126471954e+03
1.300000000000000000e+01 1.168020208659457211e+02 -2.124174109701751334e+01 2.209423130391098056e+00 3.710107568666959992e+02 8.996065579821046754e+01 1.781323742608513783e+02 3.623314257171119152e+03 1.654388488334878730e+03 6.540000000000000568e+01 1.687883400000000000e+07 1.750502333122372647e+03 3.183423178598539380e+03
1.400000000000000000e+01 1.167902386815624141e+02 -2.119462952706668801e+01 4.013190422926643741e+00 3.395093590345842927e+02 9.001656425258190097e+01 1.786680772137625013e+02 4.536849346402416813e+03 1.838493030290988145e+03 6.540000000000000568e+01 2.028487750000000000e+06 1.962218835299845750e+03 4.090403602406901427e+03
1.500000000000000000e+01 1.167931150491856584e+02 -2.119431552142457065e+01 4.479865011022853949e+00 3.468661902032444573e+02 9.000927176399029861e+01 1.784936656080263901e+02 4.520831758433032519e+03 1.887629889744038110e+03 6.540000000000000568e+01 2.806443000000000000e+06 1.910587873446801495e+03 4.096464963292399261e+03
