# jd flux flux_err mag mag_err
2.457429885568020400e+06 3.965466796875000000e+03 6.857006072998046875e+01 -8.995735794628659576e+00 1.877439947187024491e-02
2.457429885584082454e+06 3.964459716796875000e+03 6.859477233886718750e+01 -8.995460023269139072e+00 1.878593640481617671e-02
2.457429885600144975e+06 4.111523437500000000e+03 6.930538940429687500e+01 -9.035006925681617673e+00 1.830164284253123219e-02
2.457429885616207030e+06 4.037534667968750000e+03 6.914012908935546875e+01 -9.015290660975072257e+00 1.859258431958999910e-02
2.457429885632269550e+06 3.768744140625000000e+03 6.812970733642578125e+01 -8.940491635686546701e+00 1.962753258998996969e-02
2.457429885648331605e+06 3.972784667968750000e+03 6.897422790527343750e+01 -8.997737565389909875e+00 1.885027366564047749e-02
2.457429885664394125e+06 3.955251464843750000e+03 6.885186004638671875e+01 -8.992935250129320934e+00 1.890024419211410941e-02
2.457429885680456180e+06 3.745357666015625000e+03 6.778655242919921875e+01 -8.933733243312957484e+00 1.965061230394430161e-02
2.457429885696518701e+06 3.837814453125000000e+03 6.822341918945312500e+01 -8.960209935162346540e+00 1.930080155137302994e-02
2.457429885712580755e+06 3.854226074218750000e+03 6.857558441162109375e+01 -8.964842962816057081e+00 1.931782245912119431e-02
2.457429885728642810e+06 3.849141357421875000e+03 6.849739074707031250e+01 -8.963409651483562612e+00 1.932128496302791196e-02
2.457429885744705331e+06 3.731251464843750000e+03 6.795238494873046875e+01 -8.929636297430466385e+00 1.977315737880029969e-02
2.457429885760767385e+06 3.658663818359375000e+03 6.764587402343750000e+01 -8.908306263851098805e+00 2.007449574723204483e-02
2.457429885776829906e+06 3.660433837890625000e+03 6.790320587158203125e+01 -8.908831403537963212e+00 2.014111714842430761e-02
2.457429885792891961e+06 3.552728515625000000e+03 6.793699645996093750e+01 -8.876405054558713204e+00 2.076204646992614589e-02
2.457429885808954481e+06 3.390619140625000000e+03 6.822078704833984375e+01 -8.825697523387741938e+00 2.184557871522279163e-02
2.457429885825016536e+06 3.056058593750000000e+03 6.803392028808593750e+01 -8.712904191757127492e+00 2.417072393986602341e-02
2.457429885841079056e+06 3.049374755859375000e+03 6.867033386230468750e+01 -8.710527001714080342e+00 2.445030022774183701e-02
2.457429885857141111e+06 3.070896484375000000e+03 6.902625274658203125e+01 -8.718162943075739690e+00 2.440478343649768456e-02
2.457429885873203166e+06 3.184043212890625000e+03 6.989617156982421875e+01 -8.757447383053992951e+00 2.383418322118978361e-02
