# jd flux flux_err mag mag_err
2.457431954503348097e+06 -5.572017089843750000e+03 9.842984771728515625e+01 nan -1.917962941200562418e-02
2.457431954566485249e+06 -5.746170898437500000e+03 9.811577606201171875e+01 nan -1.853899311114045809e-02
2.457431954629622865e+06 -5.762147460937500000e+03 9.818375396728515625e+01 nan -1.850039933117158392e-02
2.457431954692760017e+06 -5.806051757812500000e+03 9.871645355224609375e+01 nan -1.846011829563799431e-02
2.457431954755897168e+06 -5.640119140625000000e+03 9.826249694824218750e+01 nan -1.891582797748525557e-02
2.457431954819034319e+06 -5.630898437500000000e+03 9.791310882568359375e+01 nan -1.887943459758018375e-02
2.457431954882171936e+06 -5.534082031250000000e+03 9.819128417968750000e+01 nan -1.926429790582152163e-02
2.457431954945309088e+06 -5.690958496093750000e+03 9.850867462158203125e+01 nan -1.879381275703377596e-02
2.457431955008446239e+06 -5.621120117187500000e+03 9.797623443603515625e+01 nan -1.892446960016322746e-02
2.457431955071583390e+06 -5.722243164062500000e+03 9.813768005371093750e+01 nan -1.862067054589648316e-02
2.457431955134721007e+06 -5.803101562500000000e+03 9.814920043945312500e+01 nan -1.836337202398080973e-02
2.457431955197858158e+06 -5.725310546875000000e+03 9.835426330566406250e+01 nan -1.865176691590615318e-02
2.457431955260995310e+06 -5.741616210937500000e+03 9.836252593994140625e+01 nan -1.860036007119224288e-02
2.457431955324132927e+06 -5.643625000000000000e+03 9.838832855224609375e+01 nan -1.892828524969601342e-02
2.457431955387270078e+06 -5.626914062500000000e+03 9.792606353759765625e+01 nan -1.889530265512407922e-02
2.457431955450407229e+06 -5.702993652343750000e+03 9.808950042724609375e+01 nan -1.867434906754808846e-02
2.457431955513544381e+06 -5.774652343750000000e+03 9.880254364013671875e+01 nan -1.857668087117768721e-02
2.457431955576681998e+06 -5.686497070312500000e+03 9.857949066162109375e+01 nan -1.882207884177571067e-02
2.457431955639819149e+06 -5.599409179687500000e+03 9.827312469482421875e+01 nan -1.905541441643906694e-02
