# jd flux flux_err
2.457431955992199946e+06 1.346153176700368704e+03 1.074316216562104103e+02
2.457431956006107852e+06 2.586307358685662621e+03 1.111892376601365129e+02
2.457431956020016223e+06 4.489556525735295509e+03 1.162314785241879349e+02
2.457431956033924129e+06 6.941944881663601336e+03 1.223351487702197744e+02
2.457431956047832500e+06 9.114284840303305828e+03 1.278448906862510341e+02
2.457431956061740406e+06 1.024188401884191990e+04 1.305902098765539563e+02
2.457431956075648777e+06 9.694761833639702672e+03 1.292443660796227221e+02
2.457431956089556683e+06 8.589648954503674759e+03 1.263248736473495768e+02
2.457431956103464589e+06 8.249695427389702672e+03 1.256991600652810348e+02
2.457431956117372960e+06 9.259461684283085560e+03 1.283750404169102524e+02
2.457431956131280866e+06 1.069854285386030278e+04 1.316674744821267211e+02
2.457431956145189237e+06 1.124937689568015230e+04 1.331706034488499597e+02
2.457431956159097143e+06 1.124878771254594176e+04 1.333577073871633729e+02
2.457431956173005048e+06 1.090829374425552305e+04 1.320275012082420574e+02
2.457431956186913420e+06 1.076101654411763229e+04 1.317117592355082252e+02
2.457431956200821325e+06 1.051456370634191990e+04 1.311647498601383859e+02
2.457431956214729697e+06 9.874620720358463586e+03 1.294207701218039688e+02
2.457431956228637602e+06 8.903297420726092241e+03 1.275109787082761557e+02
2.457431956242545974e+06 8.682774816176477543e+03 1.267067128460393661e+02
2.457431956256453879e+06 9.061465992647043095e+03 1.283627434459267818e+02
2.457431956270361785e+06 9.753719065946697810e+03 1.295988445716434683e+02
2.457431956284270156e+06 9.832942153033096474e+03 1.299344738003230191e+02
2.457431956298178062e+06 1.021986017922794963e+04 1.307816921010143005e+02
2.457431956312086433e+06 1.053734650735294781e+04 1.314018842962327369e+02
2.457431956325994339e+06 1.008929684627753886e+04 1.304810081757372586e+02
2.457431956339902245e+06 9.278880801930154121e+03 1.282791642548537254e+02
2.457431956353810616e+06 8.729184943704052785e+03 1.271868693720208938e+02
2.457431956367718522e+06 8.726542451746328879e+03 1.269451951713166977e+02
2.457431956381626893e+06 9.250516831341921716e+03 1.285702028099733241e+02
2.457431956395534799e+06 1.004718577665437442e+04 1.304202508863017442e+02
2.457431956409443170e+06 9.651803423713245138e+03 1.294620376599447411e+02
2.457431956423351076e+06 8.264158547794126207e+03 1.266690609433572803e+02
2.457431956437258981e+06 7.990239717371330698e+03 1.255856949010716619e+02
2.457431956451167352e+06 8.313747414981626207e+03 1.262845831039629729e+02
2.457431956465075258e+06 8.033468232996296138e+03 1.259395629589387369e+02
2.457431956478983629e+06 8.374634593290444172e+03 1.259915078831610913e+02
2.457431956492891535e+06 8.943151194852947810e+03 1.272559729578996155e+02
2.457431956506799906e+06 9.585653492647066741e+03 1.291431965440977194e+02
2.457431956520707812e+06 9.852637465533094655e+03 1.302533360984849935e+02
2.457431956534615718e+06 1.058154963235290234e+04 1.319452285878118403e+02
2.457431956548524089e+06 1.105147147863056853e+04 1.325544190288026414e+02
2.457431956562431995e+06 1.067044835707716811e+04 1.318477508670057432e+02
2.457431956576340366e+06 9.971029526654379879e+03 1.298884980490225303e+02
2.457431956590248272e+06 9.933588666130566708e+03 1.298817535543191468e+02
2.457431956604156177e+06 1.000672426470584469e+04 1.301291283396622305e+02
2.457431956618064549e+06 9.984177877987182001e+03 1.307910901929287775e+02
2.457431956631972454e+06 9.240401051240776724e+03 1.287021173638548248e+02
2.457431956645880826e+06 8.031913373161803975e+03 1.257483019477227799e+02
2.457431956659788731e+06 5.984494255514684482e+03 1.203654949925452371e+02
2.457431956673697103e+06 3.712241641773891388e+03 1.140385072115649763e+02
2.457431956687605008e+06 2.238886575137881664e+03 1.098393061992600508e+02
