# id ra dec s L A b x y a flux x_0 y_0
0.000000000000000000e+00 1.072696388971858141e+02 4.886938445946441334e+01 4.005283014651643825e+00 6.150970399826818493e+02 9.003324994936414782e+01 1.024222577260535303e+02 8.238299600565978835e+02 2.562675093476905658e+03 -7.809999999999999432e+01 2.640216500000000000e+06 1.739961876444412610e+03 4.168640164816402830e+03
1.000000000000000000e+00 1.072507635487518485e+02 4.884258066520715147e+01 4.892710424667266800e+00 6.114444735347232154e+02 9.000308739310887063e+01 1.025915512908805312e+02 1.377666990076580078e+03 2.690880815094125410e+03 -7.809999999999999432e+01 1.565966875000000000e+06 1.979492554048869806e+03 3.652784051681786423e+03
2.000000000000000000e+00 1.072843381728674359e+02 4.886830336933012831e+01 3.978168073728882703e+00 6.183900392843946747e+02 9.004138642495625788e+01 1.024062086119471644e+02 8.068400429927390860e+02 2.376042607392475020e+03 -7.809999999999999432e+01 2.885840500000000000e+06 1.553818043887679323e+03 4.147713547215763356e+03
3.000000000000000000e+00 1.072861687030183759e+02 4.886020319362460640e+01 4.884372650888475498e+00 6.180205070357584418e+02 9.007863458109657984e+01 1.025696452370507643e+02 9.536910020412324229e+02 2.321523214185007419e+03 -7.809999999999999432e+01 2.755769250000000000e+06 1.530710738908780968e+03 3.991749476593291092e+03
4.000000000000000000e+00 1.073069567883504760e+02 4.885783593043019835e+01 5.315818050244894621e+00 6.149971120430229803e+02 9.001382011199162037e+01 1.028596824884511847e+02 9.444770550680930228e+02 2.054168105831008234e+03 -7.809999999999999432e+01 2.920746000000000000e+06 1.267407774213296307e+03 3.946081356145800783e+03
5.000000000000000000e+00 1.073041579916695980e+02 4.888070191473403980e+01 4.460098644715441374e+00 6.158866137166988892e+02 8.998908471525246000e+01 1.024534045329383360e+02 5.198957541077886617e+02 2.179372900519473660e+03 -7.809999999999999432e+01 2.466881000000000000e+06 1.302751819904339527e+03 4.386327962973227841e+03
6.000000000000000000e+00 1.073090425849839420e+02 4.887765304199995597e+01 4.411911390244865672e+00 6.155996876061836929e+02 9.002333843397069302e+01 1.024165850626029481e+02 5.659686994617871960e+02 2.107397495716492358e+03 -7.809999999999999432e+01 2.400981000000000000e+06 1.240917125745010026e+03 4.327614790342400738e+03
7.000000000000000000e+00 1.073157600785673509e+02 4.887087332980088661e+01 2.076698575215042641e+00 6.105446253978186633e+02 9.003680022704865848e+01 1.022891114941757138e+02 6.758681913263749266e+02 1.997341447155878996e+03 -7.809999999999999432e+01 4.999009000000000000e+06 1.155871884628149701e+03 4.197073320549838172e+03
8.000000000000000000e+00 1.073093756345552379e+02 4.882515270207730396e+01 1.701245858443841019e+00 6.101259085454167916e+02 9.004293527866964553e+01 1.011654155248301947e+02 1.554561514886292343e+03 1.894971545345504410e+03 -7.809999999999999432e+01 2.241610400000000000e+07 1.236880062699309974e+03 3.316825201880900750e+03
9.000000000000000000e+00 1.072683341444807752e+02 4.881908067370800808e+01 1.847175991963814878e+00 6.109373119576390536e+02 9.000625121391428252e+01 1.022335548855509728e+02 1.775116824818720943e+03 2.379648812460606678e+03 -7.809999999999999432e+01 6.853594000000000000e+06 1.757180748773767846e+03 3.200153168125052161e+03
1.000000000000000000e+01 1.073192341558294771e+02 4.888412261653296298e+01 5.123786098538324119e+00 6.177378031439254755e+02 8.994477774593136132e+01 1.023569113885210555e+02 4.169844887057647043e+02 2.007003973812782760e+03 -7.809999999999999432e+01 3.892737000000000000e+06 1.111864465586012784e+03 4.452158513341059916e+03
