# id ra dec s L A b x y a flux x_0 y_0
0.000000000000000000e+00 1.072558791586235287e+02 4.913984161403775630e+01 7.036693189055076125e+00 6.523525298491612148e+02 9.018601238851651658e+01 1.324671925804885007e+02 4.177613096258066435e+03 1.479818391182011055e+03 -7.809999999999999432e+01 2.306330119658983778e+06 1.371838338487324791e+03 6.636210689625653458e+02
1.000000000000000000e+00 1.071994683776267294e+02 4.914139067700818231e+01 4.051472756164859135e+00 6.154521698276120105e+02 9.001752706364752044e+01 1.331842050380885496e+02 4.062048107067697856e+03 7.800468720161125020e+02 -7.809999999999999432e+01 1.104231641979918350e+06 6.629608921503670445e+02 6.325495730023981196e+02
2.000000000000000000e+00 1.072109348336263537e+02 4.913988772187904885e+01 5.281497955867572536e+00 6.211309778804724147e+02 9.000613432888442844e+01 1.329238675933813170e+02 4.062574252255510601e+03 9.261370725524416230e+02 -7.809999999999999432e+01 1.460998548484788742e+06 8.069244725790591701e+02 6.618133261465001169e+02
3.000000000000000000e+00 1.072692103074404315e+02 4.912740928367649218e+01 1.468237054927379992e+00 6.113695681363044514e+02 9.025471849863498619e+01 1.322588477743798308e+02 3.977602281234937891e+03 1.692249169258738220e+03 -7.809999999999999432e+01 4.509532221972477622e+06 1.538288246088507549e+03 9.035125177672960035e+02
4.000000000000000000e+00 1.072371301040330707e+02 4.911947285017093634e+01 1.918015556151259071e+00 6.126218384284171634e+02 8.996814395583885471e+01 1.333747915180049972e+02 3.744801375957840719e+03 1.328415140413090739e+03 -7.809999999999999432e+01 1.565594687870231457e+06 1.134185426019862462e+03 1.055968449480003756e+03
5.000000000000000000e+00 1.072251869324262827e+02 4.910970486067189000e+01 1.410209497114604638e+00 6.109897164538180050e+02 8.991081456850204745e+01 1.332395398107563267e+02 3.530237083740973048e+03 1.219173957500529013e+03 -7.809999999999999432e+01 5.995154922231238335e+06 9.830228112117155206e+02 1.244036445835186214e+03
6.000000000000000000e+00 1.072021246119920193e+02 4.910873181116506458e+01 1.359120170667592609e+00 6.109428454175787238e+02 9.027521052385024802e+01 1.309847535723571639e+02 3.452254259037984866e+03 9.383975589681820111e+02 -7.809999999999999432e+01 1.881405352702311799e+07 6.928668456665408257e+02 1.262247905409044051e+03
7.000000000000000000e+00 1.072330138950784431e+02 4.910659203126852645e+01 1.024516426595855734e+01 6.480055160090568052e+02 8.999204755196920757e+01 1.335207694041946240e+02 3.490541347945584675e+03 1.327737255189163534e+03 -7.809999999999999432e+01 3.039366276145545766e+06 1.081154462736744790e+03 1.304214409165222378e+03
8.000000000000000000e+00 1.072013170337526589e+02 4.911387339450946854e+01 3.983324975222960251e+00 6.136334907728161170e+02 9.002363721310973688e+01 1.324554972685715200e+02 3.546766992675548408e+03 9.084719699411393776e+02 -7.809999999999999432e+01 1.289409817287381273e+06 6.832587355346609002e+02 1.163102793038011214e+03
9.000000000000000000e+00 1.072481904787494784e+02 4.906382912441350186e+01 8.796397500544991033e+00 6.574896044155179879e+02 9.011710540094718169e+01 1.329254634198259168e+02 2.721636713860689724e+03 1.680645369576582880e+03 -7.809999999999999432e+01 2.829670311018538661e+06 1.267982748410423028e+03 2.128930353134240249e+03
1.000000000000000000e+01 1.071991225626641437e+02 4.905435304653893525e+01 1.538833175748521409e+00 6.117173533828681684e+02 9.007437976907426957e+01 1.327563510687139967e+02 2.416759731346024182e+03 1.112520174043738962e+03 -7.809999999999999432e+01 3.455458737680457067e+06 6.492742646579056327e+02 2.310532332633731585e+03
1.100000000000000000e+01 1.072036694011269589e+02 4.905104823120510105e+01 1.473661705421361212e+00 6.115465688581665518e+02 9.012093767603182926e+01 1.323756234988729830e+02 2.366428457452665498e+03 1.180674198859486751e+03 -7.809999999999999432e+01 7.026771250554955564e+06 7.061720612913728701e+02 2.374362886021894155e+03
1.200000000000000000e+01 1.072450585900485294e+02 4.903326673452453832e+01 5.588926726347487772e+00 6.230201924087008365e+02 9.008973495176586255e+01 1.328896190375619426e+02 2.137592238193492904e+03 1.760176599381810775e+03 -7.809999999999999432e+01 1.970588513757013716e+06 1.225632107599988558e+03 2.718081589801102382e+03
1.300000000000000000e+01 1.072593971606006278e+02 4.904222703498193425e+01 9.697920668465355831e+00 6.632849523889582315e+02 8.996721016605138743e+01 1.327981470739892984e+02 2.344076888294589480e+03 1.902020105894417156e+03 -7.809999999999999432e+01 2.893696446171644144e+06 1.407069606456586143e+03 2.545586539152394835e+03
1.400000000000000000e+01 1.072126142480195625e+02 4.902998639739798392e+01 1.518791203886297403e+00 6.116699208028684325e+02 9.023415153303317027e+01 1.322061777274601013e+02 1.990915678496518467e+03 1.372788710436464726e+03 -7.809999999999999432e+01 3.121923424962534569e+06 8.166146755598288109e+02 2.780631768255570478e+03
1.500000000000000000e+01 1.072122396706111971e+02 4.902891503176957144e+01 5.969125754869872402e+00 6.234236300634140662e+02 8.993260784994130574e+01 1.333425949694641588e+02 1.969628709561541200e+03 1.372011495958786554e+03 -7.809999999999999432e+01 2.171303274505761918e+06 8.117846916403981368e+02 2.801277438012647053e+03
1.600000000000000000e+01 1.072512380700318033e+02 4.902575562502903495e+01 5.835612726964027885e+00 6.270142056339152532e+02 9.027387034681359523e+01 1.322153215627082261e+02 2.012007816279525514e+03 1.865597708708150776e+03 -7.809999999999999432e+01 2.005311111624982674e+06 1.302763406706169008e+03 2.862998914626951318e+03
