# jd flux flux_err mag mag_err
2.457422866937082261e+06 2.554822998046875000e+03 4.521895599365234375e+01 -8.518402042356541415e+00 1.921699832750890791e-02
2.457422866945468355e+06 2.526628173828125000e+03 4.503428268432617188e+01 -8.506353336362726836e+00 1.935208456398952379e-02
2.457422866953854449e+06 2.631803710937500000e+03 4.573357391357421875e+01 -8.550633737396928780e+00 1.886720135493542144e-02
2.457422866962240543e+06 2.777333007812500000e+03 4.671587753295898438e+01 -8.609069889135035680e+00 1.826259102886056487e-02
2.457422866970626637e+06 2.853575683593750000e+03 4.719878387451171875e+01 -8.638473488893055219e+00 1.795838389657652273e-02
2.457422866979013197e+06 2.879752685546875000e+03 4.732220458984375000e+01 -8.648387979889180954e+00 1.784167462339558002e-02
2.457422866987399291e+06 2.848470214843750000e+03 4.717510604858398438e+01 -8.636529206491900368e+00 1.798154650670945667e-02
2.457422866995785385e+06 2.849277099609375000e+03 4.708354949951171875e+01 -8.636836718903600385e+00 1.794156596443647819e-02
2.457422867004171479e+06 2.915409179687500000e+03 4.756028366088867188e+01 -8.661748792256734220e+00 1.771212862391697077e-02
2.457422867012557574e+06 2.775943847656250000e+03 4.670655441284179688e+01 -8.608526692191478702e+00 1.826808363973740634e-02
2.457422867020943668e+06 2.700240478515625000e+03 4.625100708007812500e+01 -8.578506108399007957e+00 1.859707267803386438e-02
2.457422867029329762e+06 2.638062011718750000e+03 4.584296798706054688e+01 -8.553212500230882753e+00 1.886746552627193915e-02
2.457422867037715856e+06 2.613301025390625000e+03 4.571199798583984375e+01 -8.542973597161967803e+00 1.899182077033282831e-02
2.457422867046102416e+06 2.627914550781250000e+03 4.582057571411132812e+01 -8.549028099015862026e+00 1.893106907188033677e-02
2.457422867054488510e+06 2.673828125000000000e+03 4.614301681518554688e+01 -8.567833717895398493e+00 1.873692576141914451e-02
2.457422867062874604e+06 2.677352539062500000e+03 4.624773788452148438e+01 -8.569263901154663188e+00 1.875472811224289035e-02
2.457422867071260698e+06 2.718334960937500000e+03 4.664966964721679688e+01 -8.585757426726770447e+00 1.863251330340142536e-02
2.457422867079646792e+06 2.910180419921875000e+03 4.805067062377929688e+01 -8.659799785993616439e+00 1.792690747485087971e-02
2.457422867088032886e+06 3.041992919921875000e+03 4.949793624877929688e+01 -8.707895497301620935e+00 1.766667139518846713e-02
2.457422867096418981e+06 3.524106689453125000e+03 5.385457229614257812e+01 -8.867622619624848213e+00 1.659202415744331569e-02
2.457422867104805075e+06 4.501190917968750000e+03 6.182034683227539062e+01 -9.133318584813364893e+00 1.491179214410311149e-02
2.457422867113191634e+06 7.099699707031250000e+03 7.518804931640625000e+01 -9.628099949847930716e+00 1.149832753967710772e-02
2.457422867121577729e+06 7.090402343750000000e+03 7.415270996093750000e+01 -9.626677199633506987e+00 1.135486526853531596e-02
