# jd flux flux_err
2.457422870999999810e+06 6.739048960145948513e+04 2.084848823618297047e+02
2.457422871006270405e+06 6.835517284043677500e+04 2.099629658387621305e+02
2.457422871012541465e+06 6.852402021998156852e+04 2.101345646654685027e+02
2.457422871018812060e+06 6.781907303498673718e+04 2.091458929567785390e+02
2.457422871025082655e+06 6.756644674709181709e+04 2.087744918132509042e+02
2.457422871031353716e+06 6.754522388970390602e+04 2.087466515303643178e+02
2.457422871037624311e+06 6.826044286384333100e+04 2.097683256728878405e+02
2.457422871043894906e+06 6.877507555996079464e+04 2.104995203006147904e+02
2.457422871050165966e+06 6.744110334548907122e+04 2.085693116122522213e+02
2.457422871056436561e+06 6.680189690227679966e+04 2.077011294241982284e+02
2.457422871062707156e+06 6.830092302501105587e+04 2.098037619351036938e+02
2.457422871068978216e+06 6.724726681763878150e+04 2.083154894445308969e+02
2.457422871075248811e+06 6.783568013540373067e+04 2.091639539959972751e+02
2.457422871081519406e+06 6.925436041819181992e+04 2.111426841165412895e+02
2.457422871087790467e+06 6.688808873017859878e+04 2.077644999492488864e+02
2.457422871094061062e+06 6.864905961206521897e+04 2.102886069993152489e+02
2.457422871100331657e+06 6.740636089222216106e+04 2.085457764701240819e+02
2.457422871106602717e+06 6.665631956145180447e+04 2.074913647042929767e+02
2.457422871112873312e+06 6.733025949985803163e+04 2.084210376627904395e+02
2.457422871119143907e+06 6.730532737957735662e+04 2.084082400224817775e+02
2.457422871125414968e+06 6.753991151683694625e+04 2.087592003464727100e+02
2.457422871131685562e+06 6.856289745856239460e+04 2.101736982677948333e+02
2.457422871137956157e+06 6.758913467824445979e+04 2.088102055557765198e+02
2.457422871144227218e+06 6.758512292361697473e+04 2.087825517411956184e+02
2.457422871150497813e+06 6.853210378451725410e+04 2.101425022651405357e+02
2.457422871156768408e+06 6.710133194411947625e+04 2.081045531945714231e+02
2.457422871163039468e+06 6.767303516575065441e+04 2.089585378466206578e+02
2.457422871169310063e+06 6.739769235556080821e+04 2.085372034401204075e+02
2.457422871175580658e+06 6.822104935547091009e+04 2.096974360319785546e+02
2.457422871181851719e+06 6.805690729625451786e+04 2.094864325486126120e+02
2.457422871188122313e+06 6.774524970435613068e+04 2.090243123094118403e+02
2.457422871194392908e+06 6.704628072059116676e+04 2.080208560501095008e+02
2.457422871200663969e+06 6.761523511679752846e+04 2.088427615345680124e+02
2.457422871206934564e+06 6.759770857359876391e+04 2.088285121854178215e+02
2.457422871213205159e+06 6.751498373777177767e+04 2.086634300222081322e+02
2.457422871219476219e+06 6.847016745990459458e+04 2.100317043050968380e+02
2.457422871225746814e+06 6.970396147340934840e+04 2.117925828372014507e+02
2.457422871232017409e+06 6.652255247123321169e+04 2.072462798682784353e+02
2.457422871238288470e+06 6.715881712967135536e+04 2.081547495333460347e+02
2.457422871244559065e+06 6.713015068801908637e+04 2.081105333607422665e+02
2.457422871250829659e+06 6.735141164334522909e+04 2.084030159229260732e+02
2.457422871257100720e+06 6.801050695169458049e+04 2.093680185131993881e+02
2.457422871263371315e+06 6.713512490224379872e+04 2.081502014528057600e+02
2.457422871269641910e+06 6.748606478464626707e+04 2.086211430222509193e+02
2.457422871275912970e+06 6.861079067454072356e+04 2.102539842216534396e+02
2.457422871282183565e+06 6.779256630580613273e+04 2.090988812181662126e+02
2.457422871288454160e+06 6.747122361331130378e+04 2.086150636916420069e+02
2.457422871294725221e+06 6.822315674003103049e+04 2.096698970203288752e+02
2.457422871300995816e+06 6.785946100331675552e+04 2.091865598162828803e+02
2.457422871307266410e+06 6.913209539329273684e+04 2.109656769154843232e+02
2.457422871313537471e+06 6.626404643584694713e+04 2.069138625042144213e+02
2.457422871319808066e+06 6.706324562809526105e+04 2.080368288795574472e+02
2.457422871326078661e+06 6.727497592383378651e+04 2.083373239341676424e+02
2.457422871332349721e+06 6.801505025809195649e+04 2.094169900134620832e+02
2.457422871338620316e+06 6.827689349887109711e+04 2.097825933340107838e+02
2.457422871344890911e+06 6.767542715865110222e+04 2.088943991190181180e+02
2.457422871351161972e+06 6.795519621293229284e+04 2.093294052301442036e+02
2.457422871357432567e+06 6.826560626917591435e+04 2.097562133889830136e+02
2.457422871363703161e+06 6.703303268959256820e+04 2.079777520424291595e+02
2.457422871369974222e+06 6.836927869808634568e+04 2.099414582752219474e+02
2.457422871376244817e+06 6.804205905678008276e+04 2.095018335985330395e+02
2.457422871382515412e+06 6.749622423797589727e+04 2.086959288866354427e+02
2.457422871388786472e+06 6.726211127493453387e+04 2.083493832928809582e+02
2.457422871395057067e+06 6.726952296853215375e+04 2.083881346577340423e+02
2.457422871401327662e+06 6.777167453667003429e+04 2.090991777029452123e+02
2.457422871407598723e+06 6.798969311560982896e+04 2.093692142800164504e+02
2.457422871413869318e+06 6.819252253244175517e+04 2.097144351363940302e+02
2.457422871420139913e+06 6.743536251045111567e+04 2.085965846683407960e+02
2.457422871426410973e+06 6.786433090155237005e+04 2.092527947763348095e+02
2.457422871432681568e+06 6.776519082558827358e+04 2.090605596605816174e+02
2.457422871438952163e+06 6.794989884302561404e+04 2.093581080364519380e+02
2.457422871445223223e+06 6.936833578273977037e+04 2.113720467688254132e+02
