# id ra dec s L A b x y a flux x_0 y_0
0.000000000000000000e+00 1.846392998466571385e+02 4.878143643357447701e+01 3.395125260348198282e+00 3.599986803432109923e+02 8.980416903448440280e+01 4.994249849132177133e+01 2.404121456381391909e+03 3.061098615273872838e+03 -2.910000000000000142e+01 1.180191625000000000e+06 1.615028902005548616e+03 2.603730478724399291e+03
1.000000000000000000e+00 1.846226170213176374e+02 4.877519322687686554e+01 5.860649689124787898e+00 3.601030594771540336e+02 8.982645792344077051e+01 4.996518036316440714e+01 2.159926628637897011e+03 3.063202450850788864e+03 -2.910000000000000142e+01 2.705866000000000000e+06 1.403425024246348585e+03 2.724028465759798564e+03
2.000000000000000000e+00 1.845794920119440974e+02 4.882004769761278595e+01 5.754218859643952300e+00 3.599985860432419145e+02 9.005521677236328060e+01 5.002663570696665829e+01 2.102188481221483016e+03 2.043039851250982792e+03 -2.910000000000000142e+01 1.683828750000000000e+06 8.564401178977761901e+02 1.860478715002708441e+03
3.000000000000000000e+00 1.846318799464178539e+02 4.882665559897593255e+01 4.111852570472249724e+00 3.599987129568753517e+02 8.989855819174705687e+01 4.990144224126406414e+01 2.744850013476464937e+03 2.254425987301773148e+03 -2.910000000000000142e+01 1.348187000000000000e+06 1.520486794960200314e+03 1.733171209002592377e+03
4.000000000000000000e+00 1.845644589057403095e+02 4.881213179194377716e+01 1.892215771732890905e+00 3.612577695930493178e+02 8.964144542888472245e+01 4.973226272444951235e+01 1.861014807482254582e+03 2.083164866638417152e+03 -2.910000000000000142e+01 6.077286500000000000e+06 6.658068830730950367e+02 2.012824387351763562e+03
5.000000000000000000e+00 1.845782933840875444e+02 4.877650681881261363e+01 2.016506563920943851e+00 3.616646055772781096e+02 8.991480450097814980e+01 4.997563576516198935e+01 1.680993028183245087e+03 2.768135810694046540e+03 -2.910000000000000142e+01 4.358519000000000000e+06 8.410513460474887779e+02 2.698771009986339777e+03
6.000000000000000000e+00 1.845493186778868449e+02 4.879070822398724516e+01 4.540914853705825038e+00 3.599988147138469685e+02 9.010410400951158749e+01 4.999539092847030730e+01 1.493664961002383734e+03 2.350264590483570373e+03 -2.910000000000000142e+01 1.238263500000000000e+06 4.735962141638032108e+02 2.425195454459060329e+03
7.000000000000000000e+00 1.845449539825047225e+02 4.879619458530292064e+01 3.943502089105642483e+00 3.599987135635564073e+02 8.993812531503473906e+01 4.989922548327793805e+01 1.495311110174385703e+03 2.230626647797888836e+03 -2.910000000000000142e+01 1.118946375000000000e+06 4.183045399442875123e+02 2.319530697588807016e+03
8.000000000000000000e+00 1.846510241152775222e+02 4.886704998976876624e+01 4.185782531999026723e+00 3.599987223076375358e+02 8.995076402864459908e+01 4.997922173525121536e+01 3.334663388608247260e+03 1.692039324071539113e+03 -2.910000000000000142e+01 1.259678125000000000e+06 1.762578630296086885e+03 9.553067228541748364e+02
9.000000000000000000e+00 1.846557460582187105e+02 4.872541094547842278e+01 4.032413059136570332e+00 3.599987404055754610e+02 8.993354198873238659e+01 4.996065180195467548e+01 2.061907684314138805e+03 4.105595977699766081e+03 -2.910000000000000142e+01 1.849675750000000000e+06 1.824518271558779134e+03 3.682249053631086554e+03
1.000000000000000000e+01 1.845467725350257808e+02 4.887144081850884447e+01 4.175885054126107221e+00 3.599987122893585934e+02 9.000924630934490267e+01 4.999974463741291686e+01 2.221626085229471300e+03 9.763905067471179109e+02 -2.910000000000000142e+01 1.150819250000000000e+06 4.423027585538968083e+02 8.708202087171538324e+02
1.100000000000000000e+01 1.845294042328463604e+02 4.888374454902473332e+01 4.023171887822430293e+00 3.599987212150834353e+02 9.000359855992144276e+01 5.026851369446375628e+01 2.144999982238326993e+03 6.620971236584510962e+02 -2.910000000000000142e+01 1.009649125000000000e+06 2.225617292974865791e+02 6.337664301811727228e+02
1.200000000000000000e+01 1.845683080855600053e+02 4.870368954354411528e+01 3.928647951350481726e+00 3.599987036564079403e+02 9.000988843836275066e+01 5.024413703594741776e+01 8.873896495131656366e+02 3.930534029186839234e+03 -2.910000000000000142e+01 1.242555000000000000e+06 7.138527873265484232e+02 4.100685095027267380e+03
1.300000000000000000e+01 1.845870701630967972e+02 4.868845154717119073e+01 3.638708886087891337e+00 3.599986856185409465e+02 8.989223571859663764e+01 4.994833157167546034e+01 9.537954948538864528e+02 4.303178599986071276e+03 -2.910000000000000142e+01 1.083360375000000000e+06 9.522109098724240539e+02 4.394119150169780369e+03
