# jd flux flux_err
2.457424077022700105e+06 8.229826592714089202e+02 1.167041988545347806e+02
2.457424077026565559e+06 9.491371746590120893e+02 1.178881560724598074e+02
2.457424077030431014e+06 1.321049613151761150e+03 1.181961083799910313e+02
2.457424077034296934e+06 1.190186226691988850e+03 1.176308496140792244e+02
2.457424077038162388e+06 1.442090787940262089e+03 1.180995326287450240e+02
2.457424077042027842e+06 1.484738356785219366e+03 1.180012863450092340e+02
2.457424077045893297e+06 1.326188892006215610e+03 1.180727206200952111e+02
2.457424077049758751e+06 1.431621892265193537e+03 1.182571006158162135e+02
2.457424077053624671e+06 1.379441781228418904e+03 1.179359401840778503e+02
2.457424077057490125e+06 1.197717223109462793e+03 1.178060648665067021e+02
2.457424077061355580e+06 1.084250906422652406e+03 1.175584702283170628e+02
2.457424077065221034e+06 1.238422568305421009e+03 1.179575494854612856e+02
2.457424077069086488e+06 1.204101675802832688e+03 1.176073827023800789e+02
2.457424077072952408e+06 1.250324350936636620e+03 1.175119238308792120e+02
2.457424077076817863e+06 1.205158489079763967e+03 1.173042722013980210e+02
2.457424077080683317e+06 1.397803746007424706e+03 1.181592261102727548e+02
2.457424077084548771e+06 1.289806980533492379e+03 1.178078177998145861e+02
2.457424077088414226e+06 1.435221059219613380e+03 1.184514237490321307e+02
2.457424077092280146e+06 1.339614972699415375e+03 1.181520215083153857e+02
2.457424077096145600e+06 1.235808801471859624e+03 1.176527575438838369e+02
2.457424077100011054e+06 1.484658073636051995e+03 1.182338128680463143e+02
2.457424077103876509e+06 1.378325791501209096e+03 1.183489811159972049e+02
2.457424077107741963e+06 1.209610410911598592e+03 1.176860464192823201e+02
2.457424077111607883e+06 1.293290592088226049e+03 1.179508664950085830e+02
2.457424077115473337e+06 1.248768630222721185e+03 1.181530269929648540e+02
2.457424077119338792e+06 1.425502106893130986e+03 1.180292024957961985e+02
2.457424077123204246e+06 1.245074493914022241e+03 1.177059163421677539e+02
2.457424077127069701e+06 1.272547862353247183e+03 1.180243938034423934e+02
2.457424077130935621e+06 1.224185082872925705e+03 1.177259087961522255e+02
2.457424077134801075e+06 1.341828327326484441e+03 1.177654297549383671e+02
2.457424077138666529e+06 1.192471760618094777e+03 1.178100875686860434e+02
2.457424077142531984e+06 1.042931012064054812e+03 1.177514820781352114e+02
2.457424077146397438e+06 1.158305089455283451e+03 1.178077982605115182e+02
2.457424077150263358e+06 1.071624959534699883e+03 1.172838021701988538e+02
2.457424077154128812e+06 1.254533248985673708e+03 1.177708002038111061e+02
2.457424077157994267e+06 1.244648302615672947e+03 1.176505566359710144e+02
2.457424077161859721e+06 1.256628838807842840e+03 1.181159841960900536e+02
2.457424077165725175e+06 1.517818327002756632e+03 1.183048001408432270e+02
2.457424077169591095e+06 1.348868679320610454e+03 1.181755366262652558e+02
2.457424077173456550e+06 1.398746290681116079e+03 1.182760237324791888e+02
2.457424077177322004e+06 1.364626348843228698e+03 1.180004302472088966e+02
2.457424077181187458e+06 1.176624403811296361e+03 1.175239357414496624e+02
2.457424077185052913e+06 1.237719988238082806e+03 1.181630474908463100e+02
2.457424077188918833e+06 1.464184583800941027e+03 1.181682371056353418e+02
2.457424077192784287e+06 1.442639985648300353e+03 1.181121338250994341e+02
2.457424077196649741e+06 1.254352288177655282e+03 1.177649708758822840e+02
2.457424077200515196e+06 1.316780605252939495e+03 1.177088784214424351e+02
2.457424077204380650e+06 1.219361924313705458e+03 1.177055446845464104e+02
2.457424077208246570e+06 1.259428894380185739e+03 1.177727989380644544e+02
2.457424077212112024e+06 1.373013380524856984e+03 1.180534252544182579e+02
2.457424077215977479e+06 1.187938214886917194e+03 1.176857247247844072e+02
2.457424077219842933e+06 1.091448463397788146e+03 1.175685040795297880e+02
2.457424077223708387e+06 1.168483598066293780e+03 1.182131241911162931e+02
