# id ra dec s L A b x y a flux x_0 y_0
0.000000000000000000e+00 1.846733487469988404e+02 4.899884244410569778e+01 4.758597913516828370e+00 3.599997002423569938e+02 8.999831023681699094e+01 7.319288779494954156e+01 2.463977976363374637e+03 1.314192609397057595e+03 -2.910000000000000142e+01 1.019388344204458059e+06 8.177684824258851677e+02 1.048667218616345963e+03
1.000000000000000000e+00 1.846859266960802017e+02 4.897354943861313359e+01 3.622060632551330706e+00 3.600398361407030734e+02 8.957722810857264051e+01 7.273202060977607175e+01 2.362188204528169081e+03 1.820856948557160877e+03 -2.910000000000000142e+01 1.241212951519339345e+06 9.755479554224533558e+02 1.540866446181021502e+03
2.000000000000000000e+00 1.847282946291987002e+02 4.897274875619550016e+01 4.346018346622526174e+00 3.599997099462623282e+02 8.999967468267124104e+01 7.311887735625781204e+01 2.823974299079066441e+03 2.099998992507062212e+03 -2.910000000000000142e+01 9.428545015137688024e+05 1.514037392658918634e+03 1.559529151595567328e+03
3.000000000000000000e+00 1.846536031816626462e+02 4.896693152707541685e+01 3.633793213100108943e+00 3.600396168840548512e+02 8.958752033416520533e+01 7.273027145616507028e+01 1.940225716399051180e+03 1.731461388233587058e+03 -2.910000000000000142e+01 1.297642849189610453e+06 5.640973280599903319e+02 1.666815333898297467e+03
4.000000000000000000e+00 1.846956775666697865e+02 4.896674303937448514e+01 4.397839149353983679e+00 3.599997062985684124e+02 9.000665188173832121e+01 7.310107738032527891e+01 2.405002885902583330e+03 1.997188007444194000e+03 -2.910000000000000142e+01 9.371872288636596641e+05 1.098965828508821687e+03 1.673796711511040712e+03
5.000000000000000000e+00 1.846412999882345218e+02 4.896850129829807230e+01 5.436350369724659792e+00 3.601034590427852891e+02 8.963339084186927153e+01 7.272636267049051639e+01 1.819863713473128655e+03 1.627763579152243210e+03 -2.910000000000000142e+01 1.547779298910328187e+06 4.078326487545962209e+02 1.635301733294040332e+03
6.000000000000000000e+00 1.846478563836800504e+02 4.896089023290605269e+01 4.416080635383872632e+00 3.599997153448300082e+02 9.000847019834974105e+01 7.308124612739587178e+01 1.818983988235207562e+03 1.797150046162290892e+03 -2.910000000000000142e+01 8.832824402441021521e+05 4.904988479345100814e+02 1.783666171785533379e+03
7.000000000000000000e+00 1.847418901452689113e+02 4.892492969725271479e+01 3.498823559967924712e+00 3.599995883470303397e+02 8.961751024264539467e+01 7.273054186381064312e+01 2.519565260410897736e+03 2.994684344219288505e+03 -2.910000000000000142e+01 1.254193957086429931e+06 1.683714329219458023e+03 2.489157466590817876e+03
8.000000000000000000e+00 1.846642327570920656e+02 4.887571603055820901e+01 1.865675731053514586e+00 3.635715227960399147e+02 9.007023314861419294e+01 7.298334492436207199e+01 1.189734905299288585e+03 3.341586831049512512e+03 -2.910000000000000142e+01 2.444455810948591679e+06 6.914435884520512445e+02 3.439155671982264721e+03
9.000000000000000000e+00 1.846573135186437753e+02 4.885408288594081228e+01 4.190789631420509309e+00 3.599996195502235992e+02 8.979295400189069198e+01 7.268496954693385703e+01 9.073458131830087723e+02 3.664904921943913450e+03 -2.910000000000000142e+01 1.245820638282085769e+06 6.014365967131141133e+02 3.858719150035079565e+03
1.000000000000000000e+01 1.846874273492300915e+02 4.883446666260607572e+01 4.062354275861313369e+00 3.600381925880240601e+02 8.994978613693841396e+01 7.291706500481336661e+01 1.054990038654814953e+03 4.185201519145188286e+03 -2.910000000000000142e+01 1.202651038764148019e+06 9.835695092180810661e+02 4.242069020265561448e+03
