# jd flux flux_err mag mag_err
2.457424079171539284e+06 3.678969970703125000e+03 4.992844390869140625e+01 -8.914315607379425188e+00 1.473491469653450889e-02
2.457424079176571220e+06 3.757458251953125000e+03 5.040464782714843750e+01 -8.937235409909099815e+00 1.456472398686037804e-02
2.457424079181603156e+06 3.809211181640625000e+03 5.070164489746093750e+01 -8.952087626243352858e+00 1.445149699136915461e-02
2.457424079186635558e+06 3.420573974609375000e+03 4.838118743896484375e+01 -8.835247467691697665e+00 1.535689356228013384e-02
2.457424079191667493e+06 3.440264404296875000e+03 4.849235534667968750e+01 -8.841479554767751381e+00 1.530408239213947377e-02
2.457424079196699429e+06 3.469983398437500000e+03 4.869635391235351562e+01 -8.850818492464048504e+00 1.523683926574584228e-02
2.457424079201731365e+06 3.643023925781250000e+03 4.972068405151367188e+01 -8.903655058766780428e+00 1.481838620933942710e-02
2.457424079206763301e+06 3.649673095703125000e+03 4.977790451049804688e+01 -8.905634915188883838e+00 1.480841177442934406e-02
2.457424079211795703e+06 3.649431396484375000e+03 4.976731872558593750e+01 -8.905563010041387173e+00 1.480624315480238117e-02
2.457424079216827638e+06 3.541212646484375000e+03 4.915018844604492188e+01 -8.872880016289448335e+00 1.506950610728998233e-02
2.457424079221859574e+06 3.677240234375000000e+03 4.994113540649414062e+01 -8.913805008215348380e+00 1.474559313513628539e-02
2.457424079226891510e+06 3.790132812500000000e+03 5.061351394653320312e+01 -8.946636071572733329e+00 1.449899498272765562e-02
2.457424079231923446e+06 3.629937011718750000e+03 4.966986846923828125e+01 -8.899747722576291764e+00 1.485661123531616633e-02
2.457424079236955382e+06 3.553519775390625000e+03 4.921541976928710938e+01 -8.876646841601123938e+00 1.503724567128147255e-02
2.457424079241987783e+06 3.582454345703125000e+03 4.937406921386718750e+01 -8.885451661291357439e+00 1.496387580558062452e-02
2.457424079247019719e+06 3.439531982421875000e+03 4.850625991821289062e+01 -8.841248380208170943e+00 1.531173046587500086e-02
2.457424079252051655e+06 3.583022460937500000e+03 4.936170196533203125e+01 -8.885623826604669873e+00 1.495775560330054287e-02
2.457424079257083591e+06 3.699402832031250000e+03 5.005672454833984375e+01 -8.920329061731871789e+00 1.469117870607052415e-02
2.457424079262115527e+06 3.714680175781250000e+03 5.018209838867187500e+01 -8.924803570226288230e+00 1.466740309428057019e-02
2.457424079267147928e+06 3.617833251953125000e+03 4.961630249023437500e+01 -8.896121365247099178e+00 1.489023968605091702e-02
2.457424079272179864e+06 3.737863281250000000e+03 5.027347183227539062e+01 -8.931558530672457863e+00 1.460297373127059962e-02
2.457424079277211800e+06 3.823410156250000000e+03 5.079058456420898438e+01 -8.956127223625507838e+00 1.442308489833349014e-02
2.457424079282243736e+06 3.757632324218750000e+03 5.044642257690429688e+01 -8.937285707788852562e+00 1.457611978043531903e-02
2.457424079287275672e+06 3.577667480468750000e+03 4.933292388916015625e+01 -8.883999933571425700e+00 1.497141058408225749e-02
2.457424079292308073e+06 3.424280029296875000e+03 4.842016983032226562e+01 -8.836423182511015995e+00 1.535263317888429548e-02
2.457424079297340009e+06 3.429582031250000000e+03 4.845564270019531250e+01 -8.838102987729051563e+00 1.534012862964962906e-02
2.457424079302371945e+06 3.553975585937500000e+03 4.922279357910156250e+01 -8.876786100225652731e+00 1.503756978861631871e-02
2.457424079307403881e+06 3.639559326171875000e+03 4.973271942138671875e+01 -8.902622007338587551e+00 1.483608259832126103e-02
2.457424079312435817e+06 3.751711181640625000e+03 5.037772369384765625e+01 -8.935573494145161888e+00 1.457924319735057032e-02
2.457424079317467753e+06 3.771241699218750000e+03 5.049563598632812500e+01 -8.941210918174743227e+00 1.453768710373388659e-02
2.457424079322500154e+06 3.743115234375000000e+03 5.031447601318359375e+01 -8.933082993435824903e+00 1.459437814921437856e-02
2.457424079327532090e+06 3.570079833984375000e+03 4.929856491088867188e+01 -8.881694819742120828e+00 1.499278065348230715e-02
2.457424079332564026e+06 3.628977294921875000e+03 4.966076660156250000e+01 -8.899460627499884424e+00 1.485781705094444023e-02
2.457424079337595962e+06 3.649218505859375000e+03 4.976918029785156250e+01 -8.905499671461683420e+00 1.480766079910690765e-02
2.457424079342627898e+06 3.641560058593750000e+03 4.971517181396484375e+01 -8.903218692426785097e+00 1.482269955095525879e-02
2.457424079347660299e+06 3.590697753906250000e+03 4.944607162475585938e+01 -8.887947125085380762e+00 1.495129400614655761e-02
2.457424079352692235e+06 3.588811035156250000e+03 4.940389251708984375e+01 -8.887376479108779037e+00 1.494639359276539632e-02
2.457424079357724171e+06 3.640783447265625000e+03 4.972624969482421875e+01 -8.902987119983521325e+00 1.482916496563588260e-02
2.457424079362756107e+06 3.569752441406250000e+03 4.928638458251953125e+01 -8.881595248222293293e+00 1.499045103966493118e-02
2.457424079367788043e+06 3.631136718750000000e+03 4.966734313964843750e+01 -8.900106502949315157e+00 1.485094760050940065e-02
2.457424079372820444e+06 3.607855224609375000e+03 4.953149032592773438e+01 -8.893122754814195119e+00 1.490589753703196012e-02
2.457424079377852380e+06 3.738185546875000000e+03 5.028900527954101562e+01 -8.931652135052223329e+00 1.460622644530133567e-02
2.457424079382884316e+06 3.630012207031250000e+03 4.965964889526367188e+01 -8.899770213717966172e+00 1.485324679820819276e-02
2.457424079387916252e+06 3.765437988281250000e+03 5.047128677368164062e+01 -8.939538749370010251e+00 1.455307326058772645e-02
2.457424079392948188e+06 3.641020019531250000e+03 4.972739028930664062e+01 -8.903057667087709959e+00 1.482854157436428247e-02
2.457424079397980124e+06 3.648272705078125000e+03 4.975519561767578125e+01 -8.905218234971592040e+00 1.480733773403007485e-02
2.457424079403012525e+06 3.509247070312500000e+03 4.893630599975585938e+01 -8.863034865035503529e+00 1.514059962482022792e-02
2.457424079408044461e+06 3.640336669921875000e+03 4.974844360351562500e+01 -8.902853876106103570e+00 1.483760433598583540e-02
2.457424079413076397e+06 3.719038330078125000e+03 5.018319320678710938e+01 -8.926076636039699252e+00 1.465053472336555994e-02
2.457424079418108333e+06 3.690570800781250000e+03 5.000267028808593750e+01 -8.917733853377482589e+00 1.471043428487915639e-02
2.457424079423140269e+06 3.646041992187500000e+03 4.974883651733398438e+01 -8.904554165508237418e+00 1.481450347419708928e-02
2.457424079428172670e+06 3.577794921875000000e+03 4.934735107421875000e+01 -8.884038608290399708e+00 1.497525546468260471e-02
2.457424079433204606e+06 3.596120849609375000e+03 4.946672439575195312e+01 -8.889585695025473910e+00 1.493498232999530481e-02
2.457424079438236542e+06 3.592156250000000000e+03 4.942827606201171875e+01 -8.888388047881356613e+00 1.493984468286105316e-02
2.457424079443268478e+06 3.613040527343750000e+03 4.954587554931640625e+01 -8.894682082651748090e+00 1.488882798623441910e-02
2.457424079448300414e+06 3.577839111328125000e+03 4.933898544311523438e+01 -8.884052018168237197e+00 1.497253185180888110e-02
2.457424079453332815e+06 3.611175537109375000e+03 4.954251480102539062e+01 -8.894121499345297721e+00 1.489550686952277950e-02
2.457424079458364751e+06 3.546061767578125000e+03 4.916569900512695312e+01 -8.874365740376507716e+00 1.505364811349143087e-02
2.457424079463396687e+06 3.571089355468750000e+03 4.931181716918945312e+01 -8.882001793013104773e+00 1.499257146598281798e-02
2.457424079468428623e+06 3.636036132812500000e+03 4.970870590209960938e+01 -8.901570475843412211e+00 1.484328768328242211e-02
2.457424079473460559e+06 3.488218017578125000e+03 4.883315658569335938e+01 -8.856509052514965674e+00 1.519976995823289941e-02
2.457424079478492495e+06 3.541619628906250000e+03 4.912042999267578125e+01 -8.873004789976988604e+00 1.505865147825550046e-02
2.457424079483524896e+06 3.745779296875000000e+03 5.036516571044921875e+01 -8.933855462381121271e+00 1.459869113593639800e-02
2.457424079488556832e+06 3.681837646484375000e+03 4.997443389892578125e+01 -8.915161585086943674e+00 1.473700012634436562e-02
