# jd flux flux_err mag mag_err
2.457432995224389713e+06 -2.161323065273441898e+03 8.238415766790453176e+01 nan -4.138565713915336869e-02
2.457432995318903122e+06 -2.356056294896349300e+03 8.250742251908594938e+01 nan -3.802184570883242187e-02
2.457432995413416997e+06 -2.367377468937917911e+03 8.089741142907685401e+01 nan -3.710162685818365474e-02
2.457432995507930405e+06 -2.428735335600710187e+03 8.583280648843390281e+01 nan -3.837063262955434095e-02
2.457432995602443814e+06 -2.410611076824452539e+03 8.248484606268162622e+01 nan -3.715120104818871866e-02
2.457432995696957689e+06 -2.596942560715844138e+03 8.105839248889374460e+01 nan -3.388921279669431658e-02
2.457432995791471098e+06 -2.624397254966857417e+03 7.920922313436277307e+01 nan -3.276966616358890222e-02
2.457432995885984506e+06 -2.385586659547091585e+03 7.532690239897546292e+01 nan -3.428315239916320672e-02
2.457432995980498381e+06 -2.638330060320598477e+03 7.812594949745914619e+01 nan -3.215081755050153839e-02
2.457432996075011790e+06 -3.012144693374589679e+03 8.486318275188762073e+01 nan -3.058928485198636818e-02
2.457432996169525199e+06 -2.820497426754783646e+03 7.921143321465402209e+01 nan -3.049214676910096122e-02
2.457432996264039073e+06 -2.858250320625713812e+03 7.767232687455395990e+01 nan -2.950474686286982950e-02
2.457432996358552482e+06 -2.868927049958627777e+03 7.875950787632019967e+01 nan -2.980638635718152810e-02
