# jd flux flux_err mag mag_err
2.457432995224106126e+06 2.250178039655114480e+04 1.646209073912114604e+02 -1.088054220481257950e+01 7.943171644245926311e-03
2.457432995318667032e+06 2.190094664797008954e+04 1.634311826619831720e+02 -1.085115721804828226e+01 8.102105133426648273e-03
2.457432995413227938e+06 2.342605663227830519e+04 1.664833035039197000e+02 -1.092424797213524990e+01 7.716090880497719975e-03
2.457432995507788844e+06 2.213334912944044481e+04 1.643247394948340343e+02 -1.086261783648832413e+01 8.060865150399025222e-03
2.457432995602349285e+06 2.249633780298478086e+04 1.651906557247598073e+02 -1.088027956178891209e+01 7.972591099819112404e-03
2.457432995696910191e+06 2.349464051857970117e+04 1.671350580326088391e+02 -1.092742201114040057e+01 7.723685653535364813e-03
2.457432995791471098e+06 2.330957086755476121e+04 1.668016692487492776e+02 -1.091883569543073129e+01 7.769479987390915700e-03
2.457432995886032004e+06 2.622918939052484711e+04 1.722686039762842540e+02 -1.104696217246693379e+01 7.130945272322356150e-03
2.457432995980592910e+06 2.582848020582933896e+04 1.715518378477987937e+02 -1.103024713064424134e+01 7.211446083569063824e-03
2.457432996075153351e+06 2.420931912518363606e+04 1.687872713485338636e+02 -1.095995643825387944e+01 7.569774723789017903e-03
2.457432996169714257e+06 2.511828696748128277e+04 1.705394483397096508e+02 -1.099997504447637553e+01 7.371581544556390746e-03
2.457432996264275163e+06 2.639502249223755643e+04 1.731938500535056278e+02 -1.105380509104139009e+01 7.124202709522010207e-03
2.457432996358836070e+06 2.560203609942578623e+04 1.715651796891169738e+02 -1.102068626402004980e+01 7.275795466901935349e-03
