# jd flux flux_err
2.457432995443299878e+06 1.964198162560096534e+04 2.339462355171949071e+02
2.457432995520671364e+06 1.840137584134614735e+04 2.331606905912722709e+02
2.457432995598042849e+06 1.714885339543269220e+04 2.326050995316488184e+02
2.457432995675413869e+06 1.776692956730768492e+04 2.333139937966864750e+02
2.457432995752785355e+06 1.773572916165865172e+04 2.339088444635950452e+02
2.457432995830156840e+06 1.810649067007211852e+04 2.345780222649700306e+02
2.457432995907528326e+06 1.813254438100960397e+04 2.338235387696727230e+02
2.457432995984899346e+06 1.827453075420673849e+04 2.345425908819711367e+02
2.457432996062270831e+06 1.719433371394232381e+04 2.326018368943279029e+02
2.457432996139642317e+06 1.780289788161055912e+04 2.334252200943660398e+02
