# id ra dec s L A b x y a flux x_0 y_0
0.000000000000000000e+00 1.586347384575937269e+02 6.624774353935278270e+01 3.937875819770632724e+00 1.909764829973609892e+02 9.000057746832597161e+01 1.010994058966428213e+02 3.982629060195458351e+03 2.131862575850101621e+03 6.010000000000000142e+01 1.668756500000000000e+06 1.724837372043922642e+03 3.601573942308375990e+03
1.000000000000000000e+00 1.585269114781272322e+02 6.623655966204545109e+01 3.148062796167516275e+00 1.879940476968565974e+02 8.990535599975608250e+01 1.010442519358209523e+02 3.753060769230238293e+03 2.964197164731902376e+03 6.010000000000000142e+01 2.531673750000000000e+06 8.885656217500212506e+02 3.817288747368475015e+03
2.000000000000000000e+00 1.585304736229678326e+02 6.624460294153799111e+01 4.654082588305140433e+00 1.932688731262670387e+02 8.992745140136079840e+01 1.012198981313700727e+02 3.632652516100514276e+03 2.862822232817332406e+03 6.010000000000000142e+01 1.857935750000000000e+06 9.162548970212498034e+02 3.662437464471193380e+03
3.000000000000000000e+00 1.585040267073920006e+02 6.620169125044276370e+01 4.326494626771697938e+00 1.919333990765148030e+02 8.993857434933850925e+01 1.012109420422722366e+02 4.245272391250348846e+03 3.453126818147945414e+03 6.010000000000000142e+01 1.524697625000000000e+06 7.105055090910725539e+02 4.488522699595332597e+03
4.000000000000000000e+00 1.586228832551120433e+02 6.629458305192771661e+01 4.749752586624861550e+00 1.936832201403546208e+02 9.002570989999492213e+01 1.011923237276569836e+02 3.154922871933291844e+03 1.761668471819040178e+03 6.010000000000000142e+01 1.454688750000000000e+06 1.631882379281171325e+03 2.699855636416459220e+03
5.000000000000000000e+00 1.584794487465625537e+02 6.623654398870178284e+01 2.117132411671404313e+00 1.852538899249501299e+02 8.982523952270642553e+01 1.008397349768403188e+02 3.569394929113370836e+03 3.283573698564878214e+03 6.010000000000000142e+01 6.744707000000000000e+06 5.203344131174185350e+02 3.817303589145029946e+03
6.000000000000000000e+00 1.585465092353355487e+02 6.628158772214698047e+01 4.912275909780385419e+00 1.954897814077619955e+02 9.004410150543883162e+01 1.013064879011281789e+02 3.077382127840037811e+03 2.399680709441895033e+03 6.010000000000000142e+01 1.652981375000000000e+06 1.040686545488657657e+03 2.950373338452743155e+03
7.000000000000000000e+00 1.584793285733538255e+02 6.623654391747125203e+01 2.121601696104987944e+00 1.852660782315579411e+02 8.980687010299870110e+01 1.008145457756553327e+02 3.569006358441872635e+03 3.284404080614567647e+03 6.010000000000000142e+01 6.762868500000000000e+06 5.194020694432047094e+02 3.817303879776094618e+03
8.000000000000000000e+00 1.585661636854945016e+02 6.629153004752085110e+01 4.473658395269759502e+00 1.927910577139255395e+02 9.005640011537855116e+01 1.013405298570774136e+02 2.987142718305354720e+03 2.173152068552782566e+03 6.010000000000000142e+01 1.482867625000000000e+06 1.192857131552869987e+03 2.758936023542952626e+03
9.000000000000000000e+00 1.586030636628787249e+02 6.630731574256513738e+01 4.754126191108156263e+00 1.939343809685407507e+02 8.999704409323774712e+01 1.010640953304655909e+02 2.865935848438811718e+03 1.773287863627689376e+03 6.010000000000000142e+01 1.478894000000000000e+06 1.478268940555318977e+03 2.454852951091952946e+03
1.000000000000000000e+01 1.584410500564285087e+02 6.620421995561618189e+01 4.775859457316339984e+00 1.938145300190539331e+02 8.996226589596946610e+01 1.011191761283189550e+02 3.958996764064549552e+03 3.853057215806859858e+03 6.010000000000000142e+01 1.463232375000000000e+06 2.213252083422883061e+02 4.439216022682546281e+03
1.100000000000000000e+01 1.586047399331373242e+02 6.631016232921155051e+01 4.332824758615366534e+00 1.921887409476998130e+02 9.004645073360661911e+01 1.011597558177150660e+02 2.824839813389495248e+03 1.733686033554890173e+03 6.010000000000000142e+01 1.515057500000000000e+06 1.491191483065685588e+03 2.400034570754307879e+03
1.200000000000000000e+01 1.586793391308018784e+02 6.632210857668741255e+01 5.129984311832170185e+00 1.929580432911280639e+02 8.998058791995262595e+01 1.011140714521398678e+02 2.912002369502260990e+03 1.119547955454173234e+03 6.010000000000000142e+01 8.245937500000000000e+05 2.067803725114148165e+03 2.169192976171240844e+03
1.300000000000000000e+01 1.584450567641678731e+02 6.628300374495263725e+01 5.121930526625958713e+00 1.946204356836194904e+02 8.997933118189807544e+01 1.006215231723279118e+02 2.660974866735246451e+03 3.067062338159686533e+03 6.010000000000000142e+01 1.513499000000000000e+06 2.550344323057529436e+02 2.922404398789231436e+03
1.400000000000000000e+01 1.584346836772258484e+02 6.628062861651112314e+01 4.770620192023762307e+00 1.938047822019310047e+02 8.999942972275522379e+01 1.011468006471257155e+02 2.660982048282742653e+03 3.160386684734596201e+03 6.010000000000000142e+01 1.421841125000000000e+06 1.746191644234272644e+02 2.967990445845965951e+03
1.500000000000000000e+01 1.584862778587998662e+02 6.632382019990178890e+01 2.883439037130229643e+00 1.872079965026761386e+02 9.002058591564102130e+01 1.010434060325558363e+02 2.139891318994314133e+03 2.398657988254089560e+03 6.010000000000000142e+01 2.549399000000000000e+06 5.750757507162616093e+02 2.136973692134818975e+03
1.600000000000000000e+01 1.585515414084904648e+02 6.634437586424044753e+01 3.548659113968145817e+00 1.892091000194982087e+02 9.011393589681080130e+01 1.010601966985662727e+02 2.048689597633010180e+03 1.763474124563633495e+03 6.010000000000000142e+01 1.868859625000000000e+06 1.079666281836549842e+03 1.741463098827734257e+03
1.700000000000000000e+01 1.584658287032469559e+02 6.632192021854551456e+01 4.320235186842847241e+00 1.924879284024853803e+02 9.022980961267316502e+01 1.010462830997650627e+02 2.092092431791817489e+03 2.553507148111073548e+03 6.010000000000000142e+01 1.776925000000000000e+06 4.169220814391686645e+02 2.173363825603699297e+03
1.800000000000000000e+01 1.584998653270104398e+02 6.634251941900473071e+01 4.973791679416954103e+00 1.940415840808257997e+02 8.994058580927968194e+01 1.008612064567022486e+02 1.880443943065718940e+03 2.128777004813141048e+03 6.010000000000000142e+01 1.632497750000000000e+06 6.804267151257764681e+02 1.777039447366071272e+03
1.900000000000000000e+01 1.585300876788869857e+02 6.635349863312495700e+01 4.911061867067995301e+00 1.949116031336196500e+02 9.006997471770220898e+01 1.011795006958122656e+02 1.813601377604987874e+03 1.818947038621479123e+03 6.010000000000000142e+01 1.651958500000000000e+06 9.139923862820562590e+02 1.565783846687524147e+03
2.000000000000000000e+01 1.586263541594022684e+02 6.637130095535660246e+01 4.405687784647739136e+00 1.926173153837985126e+02 9.007271836666902232e+01 1.010599513436936121e+02 1.886049150641203596e+03 1.004259791108677746e+03 6.010000000000000142e+01 1.469244250000000000e+06 1.656997735235214805e+03 1.222704929960579875e+03
2.100000000000000000e+01 1.586482404233090620e+02 6.638097730981100142e+01 4.910256021662739556e+00 1.951123190041000157e+02 9.009197811542597378e+01 1.010297381909531822e+02 1.808376692492053508e+03 7.646413825299714517e+02 6.010000000000000142e+01 1.631282000000000000e+06 1.825607512176601404e+03 1.036164849391171629e+03
2.200000000000000000e+01 1.586398468581834607e+02 6.638381884413585965e+01 4.739480371096423283e+00 1.933782917364342495e+02 9.002043402707330699e+01 1.010206677942536118e+02 1.729105215768422340e+03 7.934481181674505024e+02 6.010000000000000142e+01 1.408552750000000000e+06 1.760782921600448844e+03 9.815488755373354479e+02
2.300000000000000000e+01 1.585608944318158819e+02 6.637554669186383194e+01 2.539535628597808792e+00 1.862975482766795494e+02 9.019332136575427228e+01 1.009842998511132635e+02 1.564504642141944259e+03 1.400609105538260792e+03 6.010000000000000142e+01 3.281521250000000000e+06 1.151835141370512247e+03 1.141293576984440278e+03
2.400000000000000000e+01 1.586022742562259964e+02 6.639379688479915842e+01 4.949847736415790678e+00 1.929699546072240821e+02 9.007674579553381022e+01 1.008849342461307828e+02 1.418511186135115622e+03 9.491739616016092214e+02 6.010000000000000142e+01 1.953429000000000000e+06 1.470826497677025600e+03 7.897500197869505882e+02
2.500000000000000000e+01 1.584429356034466707e+02 6.636285603235269548e+01 4.347608568828129627e+00 1.910624842305333289e+02 8.998219696600541795e+01 1.010253117611760700e+02 1.321164714052413956e+03 2.312637705288549114e+03 6.010000000000000142e+01 1.672984875000000000e+06 2.412792848534893437e+02 1.384912080309563407e+03
2.600000000000000000e+01 1.584225548157904200e+02 6.636145453904464375e+01 5.123395995173584794e+00 1.894986928476689627e+02 9.004791682988617652e+01 1.011596411179236128e+02 1.266020352943231501e+03 2.462761170801333719e+03 6.010000000000000142e+01 1.060663125000000000e+06 8.389298479366982519e+01 1.411596567104870019e+03
