# id ra dec s L A b x y a flux x_0 y_0
0.000000000000000000e+00 1.589035128038421760e+02 6.640916951649785460e+01 2.061057951589975623e+00 1.865589958637835934e+02 9.058405785931770993e+01 1.067504251373514563e+02 1.272826512991071240e+03 6.188628137253488148e+02 6.010000000000000142e+01 5.933735352129151113e+06 1.684330396268039976e+03 4.996012546310377047e+02
1.000000000000000000e+00 1.587541248465518606e+02 6.640809397010310988e+01 3.076959375630359705e+00 1.886951064259057489e+02 8.990705944433457830e+01 1.063223883444087789e+02 7.219716703622718796e+02 1.630975723615546940e+03 6.010000000000000142e+01 1.348267293234546436e+06 5.333169321526785325e+02 5.254075583764013118e+02
2.000000000000000000e+00 1.587534142761545866e+02 6.640806756261069665e+01 2.981150906208899443e+00 1.883825712236471475e+02 9.058157564821740948e+01 1.070943752122824435e+02 7.197034396256270838e+02 1.634940085342171869e+03 6.010000000000000142e+01 1.314004056055801921e+06 5.278431503511794745e+02 5.259336885506705812e+02
3.000000000000000000e+00 1.587754743926010974e+02 6.639831400446304599e+01 2.447925983600489186e+00 1.867924857675249939e+02 8.990329064644491552e+01 1.063007064693182286e+02 9.666454734278528349e+02 1.580659440571172581e+03 6.010000000000000142e+01 1.763080274621647550e+06 6.984999657853559256e+02 7.131526701347306698e+02
4.000000000000000000e+00 1.587751613992163300e+02 6.639841548863580556e+01 2.442703727489282439e+00 1.867576281997192780e+02 9.057976851550004938e+01 1.070726947654867018e+02 9.637553444597484713e+02 1.581771553998623403e+03 6.010000000000000142e+01 1.759332636488716817e+06 6.960802571658579154e+02 7.112072979660658802e+02
5.000000000000000000e+00 1.588575703487726685e+02 6.639058607695524472e+01 8.935931368634935978e+00 2.039688640174107093e+02 8.992757896550497776e+01 1.062647149377465183e+02 1.409071799198324697e+03 1.104478550553284322e+03 6.010000000000000142e+01 2.378574742012605071e+06 1.332073090370211958e+03 8.592686791921757958e+02
6.000000000000000000e+00 1.588887064604043360e+02 6.639021780502238812e+01 2.175968788544732302e+00 1.865213280414712358e+02 9.057682238518485462e+01 1.069899989603479611e+02 1.533763728591973631e+03 8.992945617390465713e+02 6.010000000000000142e+01 2.931266502807060257e+06 1.572201545876594309e+03 8.651261276205480044e+02
7.000000000000000000e+00 1.589080286860396143e+02 6.637880080507460434e+01 3.341752666000789240e+00 1.881899528056214308e+02 8.991353101822814153e+01 1.006693551759982910e+02 1.799011432931653417e+03 8.781860106775507120e+02 6.010000000000000142e+01 1.180121690147508681e+08 1.722444492582858402e+03 1.084122718750517379e+03
8.000000000000000000e+00 1.589080649407804344e+02 6.635963124502647759e+01 4.403525971138923190e+00 1.925520126712599733e+02 9.048256471846326576e+01 1.071045233701198356e+02 2.119990687291989161e+03 1.060063120072363972e+03 6.010000000000000142e+01 1.197386638875172706e+06 1.724818769701770634e+03 1.453208845339535856e+03
9.000000000000000000e+00 1.588070196672481131e+02 6.635974129072553751e+01 1.320738259451977292e+01 2.452926109244671693e+02 8.990005680202118299e+01 1.064334626880155668e+02 1.732831305608672665e+03 1.737720632895108793e+03 6.010000000000000142e+01 2.767815509520620108e+06 9.446902677613849164e+02 1.454901707481020367e+03
1.000000000000000000e+01 1.588101530162749953e+02 6.633279729611935238e+01 1.228876465540851548e+01 2.399802277846831942e+02 9.035710326971418738e+01 1.070821414358504882e+02 2.195766555770575451e+03 1.973431094194215120e+03 6.010000000000000142e+01 2.547667017627705354e+06 9.710158100809840107e+02 1.973578049097310895e+03
1.100000000000000000e+01 1.588787790096051822e+02 6.632048758735123783e+01 2.033083036380188169e+00 1.855021186510273310e+02 8.993019046572231900e+01 1.061591975154488097e+02 2.664187615820186693e+03 1.629097552300973348e+03 6.010000000000000142e+01 1.014291407707847282e+07 1.502642480622722132e+03 2.208105116294692380e+03
1.200000000000000000e+01 1.588970957883746280e+02 6.626174183336708268e+01 1.222343719243229643e+01 2.454119744504839673e+02 8.995207756370952268e+01 1.067097337766188048e+02 3.717044462760351053e+03 2.065448339856690382e+03 6.010000000000000142e+01 2.593194868976924103e+06 1.650498026069610660e+03 3.338405760682619984e+03
1.300000000000000000e+01 1.588656788125890955e+02 6.625038495586962028e+01 2.423737388725688113e+00 1.869628263782783506e+02 9.016774597516651113e+01 1.070185942847956255e+02 3.787198037694327468e+03 2.384986740368737173e+03 6.010000000000000142e+01 1.824223917682906613e+06 1.408093141199851516e+03 3.558345840197578127e+03
1.400000000000000000e+01 1.587239253923303011e+02 6.621303105016221480e+01 2.264201238375947778e+00 1.860855217015687231e+02 8.984165611735731716e+01 1.066950194878258884e+02 3.867808531044455776e+03 3.696676865188278498e+03 6.010000000000000142e+01 3.026127353251451161e+06 3.109025252174847083e+02 4.281801480636812812e+03
