# jd flux flux_err mag mag_err
2.457432997396511491e+06 -1.061009082031250000e+04 1.307533264160156250e+02 nan -1.338010381128325842e-02
2.457432997501626145e+06 -1.073860546875000000e+04 1.312081909179687500e+02 nan -1.326596657469508896e-02
2.457432997606740333e+06 -1.075371093750000000e+04 1.311724243164062500e+02 nan -1.324372105638950935e-02
2.457432997711854987e+06 -1.056537109375000000e+04 1.306467590332031250e+02 nan -1.342578607926238517e-02
2.457432997816969175e+06 -1.072704394531250000e+04 1.306904296875000000e+02 nan -1.322785921753511819e-02
2.457432997922083829e+06 -1.071726855468750000e+04 1.309517059326171875e+02 nan -1.326639380862519937e-02
2.457432998027198017e+06 -1.070232324218750000e+04 1.308705902099609375e+02 nan -1.327669062119639538e-02
2.457432998132312670e+06 -1.070785644531250000e+04 1.312420196533203125e+02 nan -1.330749166709036847e-02
2.457432998237426858e+06 -1.075065234375000000e+04 1.313793182373046875e+02 nan -1.326838376146528310e-02
2.457432998342541512e+06 -1.113255468750000000e+04 1.325593719482421875e+02 nan -1.292830051494723090e-02
2.457432998447655700e+06 -1.148070019531250000e+04 1.328223571777343750e+02 nan -1.256112812187479624e-02
2.457432998552770354e+06 -1.131954882812500000e+04 1.317673339843750000e+02 nan -1.263876037574308310e-02
