# jd flux flux_err mag mag_err
2.457430063877496868e+06 6.244233398437500000e+02 2.883386993408203125e+01 -6.988697819639895670e+00 5.013599579744083823e-02
2.457430063903633039e+06 7.018807983398437500e+02 2.961078262329101562e+01 -7.115658403476333049e+00 4.580494465934294157e-02
2.457430063929768745e+06 7.089288940429687500e+02 2.974368667602539062e+01 -7.126506693481628574e+00 4.555310221235028822e-02
2.457430063955904916e+06 7.433571777343750000e+02 2.995551490783691406e+01 -7.177993848149867517e+00 4.375272309223153522e-02
2.457430063982040621e+06 7.215142211914062500e+02 2.986487579345703125e+01 -7.145612238865142629e+00 4.494088860846731648e-02
2.457430064008176792e+06 7.556799926757812500e+02 3.029908943176269531e+01 -7.195844810058364516e+00 4.353288915742963699e-02
2.457430064034312498e+06 7.744755249023437500e+02 3.038996887207031250e+01 -7.222519244173470909e+00 4.260380572687839235e-02
2.457430064060448669e+06 7.082199096679687500e+02 2.970920181274414062e+01 -7.125420328991532770e+00 4.554583729690889898e-02
2.457430064086584374e+06 6.612801513671875000e+02 2.916963958740234375e+01 -7.050963718369391842e+00 4.789293073464794687e-02
2.457430064112720545e+06 7.105259399414062500e+02 2.959758186340332031e+01 -7.128949844531939917e+00 4.522745296958695371e-02
2.457430064138856716e+06 7.768117675781250000e+02 3.052549934387207031e+01 -7.225789489712331815e+00 4.266510503689357331e-02
2.457430064164992422e+06 8.664697875976562500e+02 3.132050704956054688e+01 -7.344383560416600787e+00 3.924652401126819262e-02
2.457430064191128593e+06 7.435078125000000000e+02 2.996761894226074219e+01 -7.178213840711893390e+00 4.376153423454468006e-02
2.457430064217264298e+06 7.796517333984375000e+02 3.036725234985351562e+01 -7.229751621983777632e+00 4.228931862001043124e-02
2.457430064243400469e+06 7.757330322265625000e+02 3.033445930480957031e+01 -7.224280712361535350e+00 4.245704962578512875e-02
2.457430064269536175e+06 7.972062377929687500e+02 3.056631469726562500e+01 -7.253926720519152660e+00 4.162921581156484030e-02
2.457430064295672346e+06 7.668919067382812500e+02 3.028446388244628906e+01 -7.211835386354410460e+00 4.287573454201103890e-02
2.457430064321808051e+06 7.718619995117187500e+02 3.032864570617675781e+01 -7.218849150425122652e+00 4.266180199291493697e-02
2.457430064347944222e+06 8.286604003906250000e+02 3.076770019531250000e+01 -7.295941463729400667e+00 4.031292287445056854e-02
2.457430064374080393e+06 8.713537597656250000e+02 3.135445976257324219e+01 -7.350486273634794010e+00 3.906885207194495807e-02
2.457430064400216099e+06 8.633508911132812500e+02 3.118107795715332031e+01 -7.340468354010369900e+00 3.921295956218286832e-02
2.457430064426352270e+06 7.496177368164062500e+02 3.003670310974121094e+01 -7.187099634768542522e+00 4.350490714490343885e-02
2.457430064452487975e+06 8.283966674804687500e+02 3.079284095764160156e+01 -7.295595857803192530e+00 4.035870791590074474e-02
2.457430064478624146e+06 8.643804931640625000e+02 3.107487678527832031e+01 -7.341762393541664267e+00 3.903285299434013783e-02
2.457430064504759852e+06 8.258498535156250000e+02 3.087612724304199219e+01 -7.292252740223032603e+00 4.059266493800516018e-02
2.457430064530896023e+06 8.286766357421875000e+02 3.095285797119140625e+01 -7.295962735575264091e+00 4.055472854443656350e-02
2.457430064557031728e+06 8.255926513671875000e+02 3.074495506286621094e+01 -7.291914546569989497e+00 4.043280600266624392e-02
2.457430064583167899e+06 8.769226074218750000e+02 3.141034126281738281e+01 -7.357403166274996131e+00 3.888993582108055819e-02
2.457430064609304070e+06 9.207825317382812500e+02 3.177912902832031250e+01 -7.410392679134613303e+00 3.747233506490509763e-02
2.457430064635439776e+06 9.212615966796875000e+02 3.185203361511230469e+01 -7.410957419311047900e+00 3.753876977170488710e-02
2.457430064661575947e+06 8.351452636718750000e+02 3.092273330688476562e+01 -7.304405056146610065e+00 4.020144748591684969e-02
2.457430064687711652e+06 8.463838500976562500e+02 3.101284027099609375e+01 -7.318918419926068175e+00 3.978322742328579964e-02
2.457430064713847823e+06 8.314411010742187500e+02 3.082565307617187500e+01 -7.299578723532697211e+00 4.025377687930207365e-02
2.457430064739983529e+06 8.674525146484375000e+02 3.133875274658203125e+01 -7.345614275831348294e+00 3.922489915296859669e-02
2.457430064766119700e+06 8.384217529296875000e+02 3.100136375427246094e+01 -7.308656343990509896e+00 4.014616816053263176e-02
2.457430064792255405e+06 8.625596923828125000e+02 3.105865859985351562e+01 -7.339472899002191575e+00 3.909483399931347469e-02
2.457430064818391576e+06 8.378828735351562500e+02 3.089011192321777344e+01 -7.307958283650451747e+00 4.002782629749888910e-02
