# jd flux flux_err
2.457430065270400140e+06 2.138300039062499854e+04 1.240512516612324845e+02
2.457430065290283412e+06 2.072793178710937354e+04 1.223665045877617672e+02
2.457430065310166683e+06 2.097534417860243047e+04 1.230313128569543721e+02
2.457430065330049954e+06 2.065565487196180402e+04 1.221335450109280600e+02
2.457430065349933226e+06 2.053978792317708212e+04 1.219114451059107438e+02
2.457430065369816497e+06 2.117644510091145639e+04 1.235420559543789523e+02
2.457430065389699768e+06 2.091769144965277883e+04 1.228714124836768775e+02
2.457430065409583040e+06 2.072422866210937354e+04 1.223013326183883009e+02
2.457430065429466311e+06 2.038339222005208285e+04 1.214896455411821421e+02
2.457430065449349582e+06 2.061261436631944525e+04 1.221783920676533484e+02
2.457430065469232854e+06 2.062610200195312427e+04 1.221657111626244756e+02
2.457430065489116125e+06 1.989357471245659690e+04 1.202857929192056616e+02
2.457430065508999396e+06 2.156671014539930911e+04 1.245201463518579033e+02
2.457430065528882667e+06 2.152556467013889051e+04 1.244326556861379629e+02
2.457430065548765939e+06 2.052793432345920155e+04 1.218482705862303703e+02
2.457430065568649210e+06 2.086105408528645785e+04 1.226552846181214704e+02
2.457430065588532481e+06 2.087399388563368120e+04 1.227389646775494469e+02
2.457430065608415753e+06 2.121816800130208139e+04 1.236559096265486346e+02
2.457430065628299024e+06 2.088737598198784690e+04 1.228145496306123192e+02
2.457430065648182295e+06 2.065199314778645930e+04 1.223210473492947017e+02
2.457430065668065567e+06 2.037510301649305620e+04 1.215178923212790210e+02
2.457430065687948838e+06 1.990091318901909835e+04 1.202374879745858038e+02
2.457430065707832109e+06 2.013121421983507025e+04 1.208230242578365932e+02
2.457430065727715380e+06 2.102498062337239389e+04 1.231845781468586551e+02
2.457430065747598652e+06 2.103368545464409544e+04 1.232384599236195726e+02
2.457430065767481923e+06 2.112912096082899370e+04 1.234746010717231570e+02
2.457430065787365194e+06 2.057240400390624927e+04 1.220025901725425683e+02
2.457430065807248466e+06 2.089975926649305620e+04 1.229133569405259436e+02
2.457430065827131737e+06 2.065988311360677108e+04 1.222650154526166943e+02
2.457430065847015008e+06 2.044106392686631807e+04 1.216723953606774558e+02
2.457430065866898280e+06 2.102029732801649152e+04 1.231464201801708640e+02
2.457430065886781551e+06 2.097132066243489680e+04 1.231764508867558874e+02
2.457430065906664822e+06 2.043444769965277737e+04 1.216836450539697125e+02
2.457430065926548094e+06 2.146953282335069525e+04 1.243435625855664171e+02
2.457430065946431365e+06 2.151252932128906104e+04 1.243908877336915708e+02
2.457430065966314636e+06 2.077173260904947892e+04 1.226177554111282575e+02
