# id ra dec s L A b x y a flux x_0 y_0
0.000000000000000000e+00 1.974503877433752734e+02 5.767504296302301015e+01 1.683929097378377593e+00 2.406269855132664475e+02 9.003064711253503560e+01 1.033279067853173387e+02 1.554542576624836556e+03 2.352380089028494865e+02 8.665999999999999659e+01 4.231732500000000000e+06 1.960533566370038443e+03 1.442225436292983659e+03
1.000000000000000000e+00 1.973389942627565858e+02 5.770205369638888726e+01 4.298396194538575799e+00 2.971461963719596611e+02 8.995737827605472603e+01 1.035391170313735785e+02 9.690729964971076242e+02 1.349304549189372665e+03 8.665999999999999659e+01 8.677073125000000000e+05 8.139238391922925757e+02 9.227120440894553894e+02
2.000000000000000000e+00 1.973095857303443381e+02 5.762214650296570539e+01 1.710106578573141078e+00 2.926381690477241477e+02 8.991542325712129013e+01 1.033513925812415977e+02 2.487489811993951662e+03 1.742782661345517226e+03 8.665999999999999659e+01 5.689060000000000000e+06 5.101686548435772011e+02 2.461000221572857754e+03
3.000000000000000000e+00 1.972811552066351055e+02 5.767585436347200556e+01 4.683362788354670236e+00 2.978574716448713957e+02 9.001744988288409388e+01 1.040243136695018080e+02 1.437760639359006291e+03 1.973164706910641371e+03 8.665999999999999659e+01 8.363276250000000000e+05 2.183022535156677577e+02 1.426663854776163362e+03
4.000000000000000000e+00 1.972768015716319212e+02 5.768347230392203784e+01 4.687728501270161274e+00 2.904198375184660108e+02 9.006851866582299238e+01 1.063327797853946493e+02 1.288752137978133533e+03 2.009808346885405854e+03 8.665999999999999659e+01 7.058206250000000000e+05 1.736695801513503739e+02 1.279938724094106419e+03
5.000000000000000000e+00 1.974050864906863012e+02 5.759584181236701284e+01 1.789798165613994518e+00 2.930018473822450460e+02 8.988742993574534523e+01 9.538508385238009168e+01 3.049861572728009833e+03 7.886136740611924552e+02 8.665999999999999659e+01 9.143336000000000000e+07 1.495092191744532784e+03 2.967533794231655065e+03
6.000000000000000000e+00 1.972677403323603755e+02 5.762594110392888069e+01 5.114242802141117927e+00 2.959221058894237899e+02 9.000513240740896492e+01 1.041354012978181203e+02 2.388997537451904009e+03 2.169822279767352029e+03 8.665999999999999659e+01 5.055185000000000000e+05 7.884553036650974889e+01 2.387467185313895243e+03
7.000000000000000000e+00 1.974343660461652519e+02 5.771964243484163148e+01 2.017711212872944859e+00 2.932988304487158757e+02 9.002266926535315861e+01 1.035745166132854962e+02 6.875108880767879782e+02 3.502251457127879917e+02 8.665999999999999659e+01 1.440687750000000000e+06 1.794693252243241432e+03 5.837355806524885793e+02
8.000000000000000000e+00 1.973749318606419934e+02 5.758132055426506923e+01 5.770106733866009030e+00 2.993997760426448167e+02 9.013323899420264240e+01 1.022816968380128060e+02 3.310834787458592473e+03 1.114783191481008089e+03 8.665999999999999659e+01 1.143619000000000000e+06 1.184020499603218241e+03 3.247233779920577035e+03
9.000000000000000000e+00 1.974056284274787174e+02 5.757617175645128071e+01 4.577481468597770053e+00 2.951698977080217787e+02 9.000003062512575980e+01 1.031098477587117088e+02 3.428462786931534538e+03 8.050114297955663005e+02 8.665999999999999659e+01 1.108379875000000000e+06 1.500918918840356582e+03 3.346238252734873186e+03
1.000000000000000000e+01 1.973075112224855445e+02 5.757114450682436768e+01 1.831717084805196682e+00 2.936767100236222063e+02 8.989964194968733580e+01 1.035227852222773492e+02 3.465963631917670682e+03 1.822260156841442040e+03 8.665999999999999659e+01 2.026163250000000000e+06 4.879722802288552543e+02 3.442925694645763997e+03
1.100000000000000000e+01 1.972741961670157309e+02 5.774134678069172821e+01 4.840946176137321366e+00 2.914664380354373066e+02 9.000257527551544001e+01 1.040776024939931261e+02 1.748086983534259957e+02 1.969515512573161686e+03 8.665999999999999659e+01 7.074679375000000000e+05 1.483167511988896194e+02 1.656340468362273270e+02
1.200000000000000000e+01 1.974444820947093717e+02 5.756180441536236714e+01 4.227118949624194322e+00 3.013067992128406445e+02 8.999432470444135390e+01 1.036234371907412708e+02 3.727489516788422407e+03 4.207261033151590368e+02 8.665999999999999659e+01 1.103218750000000000e+06 1.902336614206631793e+03 3.622488425269474192e+03
1.300000000000000000e+01 1.973329890258491730e+02 5.755141368177211803e+01 4.089224543036868553e+00 2.977643689560786129e+02 8.997591044258973625e+01 1.036425044300264773e+02 3.860776793249938237e+03 1.581764762231068971e+03 8.665999999999999659e+01 8.721528750000000000e+05 7.508465570602819525e+02 3.822970536970775811e+03
1.400000000000000000e+01 1.974169634902778228e+02 5.753953668645379338e+01 1.607271693379414002e+00 2.933417089371894235e+02 9.000401695806964142e+01 1.008658917229635250e+02 4.139885014316520028e+03 7.284152892232619934e+02 8.665999999999999659e+01 3.330746800000000000e+07 1.618487096220243529e+03 4.051490543751098357e+03
1.500000000000000000e+01 1.974579630785626989e+02 5.754112724427302084e+01 4.650005500777650624e+00 2.939270949410488925e+02 9.001423445996044848e+01 1.036712445004164351e+02 4.132945992849101458e+03 3.037680284579344061e+02 8.665999999999999659e+01 5.222546562500000000e+05 2.042110187388610029e+03 4.020405605573461798e+03
1.600000000000000000e+01 1.974190206129178193e+02 5.752300478548914242e+01 3.326821028875631914e+00 2.964979016927912312e+02 8.996325494960569813e+01 1.035587662275824954e+02 4.458132148829672587e+03 7.259174565082327035e+02 8.665999999999999659e+01 9.768875000000000000e+05 1.640004723654470581e+03 4.369761874049157086e+03
1.700000000000000000e+01 1.973933261256657659e+02 5.751490541033034987e+01 3.550860695531584899e+00 2.974455712768943840e+02 9.003857282596172240e+01 1.037591229873030869e+02 4.598780848878022880e+03 9.994895401448504799e+02 8.665999999999999659e+01 1.135476750000000000e+06 1.374441190360209703e+03 4.525866224244376099e+03
