# jd flux flux_err mag mag_err
2.457463924643111881e+06 4.518732161899973107e+03 8.872353749537548140e+01 -9.137541500564038799e+00 2.131807997217635350e-02
2.457463924658371601e+06 4.252160003758572202e+03 8.778301593995072949e+01 -9.071523995367815729e+00 2.241438037195120359e-02
2.457463924673631787e+06 4.207912778529056595e+03 8.871746010746832667e+01 -9.060166822994840885e+00 2.289118149705429012e-02
2.457463924688891508e+06 4.045174332665261772e+03 8.911658834159082687e+01 -9.017343107258280810e+00 2.391922737288996320e-02
2.457463924704151694e+06 3.923878381198322586e+03 9.059926227890544226e+01 -8.984288845398092249e+00 2.506888172121638989e-02
2.457463924719411414e+06 4.056764994579158611e+03 9.215738831471833237e+01 -9.020449625180456010e+00 2.466471755759226669e-02
2.457463924734671600e+06 3.924535928887388309e+03 9.076113903108128511e+01 -8.984470773442620128e+00 2.510946539341360473e-02
2.457463924749931321e+06 3.822742836680073196e+03 8.938525364819794561e+01 -8.955937707925331281e+00 2.538730682189399915e-02
2.457463924765191507e+06 3.789003677090771362e+03 8.836790865033205478e+01 -8.946312566855638693e+00 2.532184746035363171e-02
2.457463924780451227e+06 3.742043990905290684e+03 8.730586382477559937e+01 -8.932772221736222207e+00 2.533146826159558829e-02
2.457463924795711413e+06 3.563668451837631437e+03 8.597657686796685539e+01 -8.879743230951884669e+00 2.619441450017345394e-02
2.457463924810971133e+06 3.681468844124815405e+03 8.655247368627527749e+01 -8.915052823601863352e+00 2.552608395154748119e-02
2.457463924826230854e+06 3.529888732385072217e+03 8.585404100838634633e+01 -8.869402539905266281e+00 2.640739511963648839e-02
2.457463924841491040e+06 3.511300167397684163e+03 8.511974161704843311e+01 -8.863669892997096511e+00 2.632013893924297493e-02
2.457463924856750760e+06 3.561851321129268399e+03 8.481643162365260480e+01 -8.879189467941051461e+00 2.585413712380007709e-02
2.457463924872010946e+06 3.484064059843888117e+03 8.349769199617847448e+01 -8.855215328942499298e+00 2.602041252708565261e-02
2.457463924887270667e+06 3.431016161404263585e+03 8.295334256331354084e+01 -8.838556909387126126e+00 2.625046281269321352e-02
2.457463924902530853e+06 3.353571209933407772e+03 8.225116673061937433e+01 -8.813768831524530611e+00 2.662933815199229962e-02
2.457463924917790573e+06 3.483280904647039279e+03 8.232968595861770211e+01 -8.854971247456917993e+00 2.566219483288193978e-02
2.457463924933050759e+06 3.360344605348916957e+03 8.108422089176356451e+01 -8.815959542081259315e+00 2.619861720458346172e-02
2.457463924948310480e+06 3.485843056101019556e+03 8.103982287071359281e+01 -8.855769574689052348e+00 2.524157739392460936e-02
2.457463924963570200e+06 3.440055277506266521e+03 8.025903493820500501e+01 -8.841413553029889627e+00 2.533111754441799354e-02
2.457463924978830386e+06 3.394671324281124726e+03 7.952833419229480683e+01 -8.826994329486044677e+00 2.543606886131384928e-02
2.457463924994090106e+06 3.454521718594207414e+03 8.040796877233907480e+01 -8.845969818599838774e+00 2.527184806654114713e-02
2.457463925009350292e+06 3.525233060303220100e+03 8.132350390194255851e+01 -8.867969585912685915e+00 2.504690601049236465e-02
2.457463925024610013e+06 3.610194434953530617e+03 8.220483689260244375e+01 -8.893826481047705457e+00 2.472251320971387278e-02
2.457463925039870199e+06 3.611954386129609702e+03 8.216301442732545013e+01 -8.894355642879075319e+00 2.469789530756362136e-02
2.457463925055129919e+06 3.627595026636715829e+03 8.299823146452553146e+01 -8.899046994541087940e+00 2.484138917618999159e-02
2.457463925070390105e+06 3.709683605247395917e+03 8.334647628758398241e+01 -8.923342176763558342e+00 2.439361756794527006e-02
2.457463925085649826e+06 3.737098799888370650e+03 8.464093323385723977e+01 -8.931336449252894383e+00 2.459074586202355736e-02
2.457463925100909546e+06 3.823845672776005813e+03 8.553035529774993506e+01 -8.956250890486179728e+00 2.428542778860699053e-02
2.457463925116169732e+06 3.798602345778560903e+03 8.509816426733975447e+01 -8.949059580245576129e+00 2.432328326609409577e-02
2.457463925131429452e+06 3.810880877809157937e+03 8.419206708091287794e+01 -8.952563434040946788e+00 2.398676259987993914e-02
2.457463925146689638e+06 3.596195246456444693e+03 8.074075424819734792e+01 -8.889608156593990174e+00 2.437672609789973480e-02
2.457463925161949359e+06 3.446206781376355138e+03 7.937006994380620029e+01 -8.843353331732737743e+00 2.500582965783940473e-02
2.457463925177209545e+06 3.450253603305432080e+03 7.952579039206987943e+01 -8.844627545268908264e+00 2.502550293044135746e-02
