# jd flux flux_err
2.457463926021600142e+06 4.332334194431742071e+04 2.103794586621694407e+02
2.457463926028840709e+06 6.166481389258396666e+04 2.364547393542711973e+02
2.457463926036081742e+06 8.100630621258728206e+04 2.604435603335039673e+02
2.457463926043322310e+06 9.936592540322578861e+04 2.815469099747807036e+02
2.457463926050563343e+06 1.148697122339540365e+05 2.983218360611198818e+02
2.457463926057803910e+06 1.271280451758397539e+05 3.110170049873905782e+02
2.457463926065044943e+06 1.377724768716744729e+05 3.215595537655531757e+02
2.457463926072285511e+06 1.440194207941884815e+05 3.270986267078432661e+02
2.457463926079526544e+06 1.457881419916028681e+05 3.291208728683020013e+02
2.457463926086767111e+06 1.465842506703108957e+05 3.300109473234045367e+02
2.457463926094008144e+06 1.470562978259063966e+05 3.305347905137957696e+02
2.457463926101248711e+06 1.474118052305037272e+05 3.308591997300587764e+02
2.457463926108489744e+06 1.476490519516959903e+05 3.309923515220508534e+02
2.457463926115730312e+06 1.467376886483623821e+05 3.301087504887395880e+02
2.457463926122971345e+06 1.454103834542317200e+05 3.290092637882384565e+02
2.457463926130211912e+06 1.442330369138676033e+05 3.279615897814432515e+02
2.457463926137452945e+06 1.438453454647488543e+05 3.276406616210800280e+02
2.457463926144693512e+06 1.436526259561023908e+05 3.274267312520598239e+02
2.457463926151934545e+06 1.434619995375373401e+05 3.273326770442450879e+02
2.457463926159175113e+06 1.441920987071831769e+05 3.281276981621375626e+02
2.457463926166416146e+06 1.452684515713339497e+05 3.291119351105719488e+02
2.457463926173656713e+06 1.436554623170933919e+05 3.274747207192053793e+02
2.457463926180897746e+06 1.384556270161289722e+05 3.225074258842790869e+02
2.457463926188138314e+06 1.334190885485948820e+05 3.176236884922192303e+02
2.457463926195379347e+06 1.309767380019537231e+05 3.152739158639387256e+02
2.457463926202619914e+06 1.306047171287827950e+05 3.151288282605911490e+02
2.457463926209860481e+06 1.319438916226720321e+05 3.163028821645792732e+02
2.457463926217101514e+06 1.345992555053836259e+05 3.187652473664458626e+02
2.457463926224342082e+06 1.343579002951441798e+05 3.186959632405104230e+02
2.457463926231583115e+06 1.339361371123631834e+05 3.182863815807143624e+02
2.457463926238823682e+06 1.328329824030382733e+05 3.171609562269963476e+02
2.457463926246064715e+06 1.344492000436485105e+05 3.185908802929858439e+02
2.457463926253305282e+06 1.376559007835886732e+05 3.217633832611372782e+02
2.457463926260546315e+06 1.422290252847517550e+05 3.261500746340217916e+02
2.457463926267786883e+06 1.460328445761975890e+05 3.299523358226218761e+02
2.457463926275027916e+06 1.485344712337873061e+05 3.322268204013403192e+02
2.457463926282268483e+06 1.513072663784506731e+05 3.347312644044238823e+02
2.457463926289509516e+06 1.544496201415441756e+05 3.376631115806612797e+02
2.457463926296750084e+06 1.578371388115235604e+05 3.407920053188295242e+02
2.457463926303991117e+06 1.578893698557526805e+05 3.408765570700001035e+02
2.457463926311231684e+06 1.568209555724147940e+05 3.399469366467790792e+02
2.457463926318472717e+06 1.552350946645332151e+05 3.386113368167417548e+02
2.457463926325713284e+06 1.544071975182901369e+05 3.377143626430786298e+02
2.457463926332954317e+06 1.545363305048640468e+05 3.379501498620655866e+02
2.457463926340194885e+06 1.530270445678827236e+05 3.363959170887637811e+02
2.457463926347435918e+06 1.480162719591789937e+05 3.316744179168890128e+02
2.457463926354676485e+06 1.419498497620131529e+05 3.261351613119197737e+02
2.457463926361917518e+06 1.380742663680582482e+05 3.223379630217602312e+02
2.457463926369158085e+06 1.384783579980050272e+05 3.227344192389310820e+02
2.457463926376398653e+06 1.404233597751075868e+05 3.248480315965007890e+02
2.457463926383639686e+06 1.435015334324081196e+05 3.277390417494771100e+02
2.457463926390880253e+06 1.488649151043393358e+05 3.325395485528775907e+02
2.457463926398121286e+06 1.571467211766299733e+05 3.400755591749681344e+02
2.457463926405361854e+06 1.673221457276764559e+05 3.494074259909284592e+02
2.457463926412602887e+06 1.757943037807620422e+05 3.567632138139915696e+02
2.457463926419843454e+06 1.734321193413290312e+05 3.547330051844094783e+02
2.457463926427084487e+06 1.632937300049887854e+05 3.456879942000441588e+02
2.457463926434325054e+06 1.539704456788312236e+05 3.372238873963916035e+02
2.457463926441566087e+06 1.485148467534091324e+05 3.319621183416948043e+02
2.457463926448806655e+06 1.442945281010978506e+05 3.281512101662682426e+02
2.457463926456047688e+06 1.418898019828737015e+05 3.257605869489133852e+02
2.457463926463288255e+06 1.417568600868792273e+05 3.257929481553931055e+02
2.457463926470529288e+06 1.422758081507735769e+05 3.261972181714344288e+02
2.457463926477769855e+06 1.426444871341872786e+05 3.265670304381457640e+02
2.457463926485010888e+06 1.427038448515966884e+05 3.265268420869110173e+02
2.457463926492251456e+06 1.431333686814104149e+05 3.270928091588010602e+02
2.457463926499492489e+06 1.439680358330547751e+05 3.278798336454474907e+02
2.457463926506733056e+06 1.471536059247176745e+05 3.309726934725927094e+02
2.457463926513974089e+06 1.515181688663954847e+05 3.349198072803096125e+02
2.457463926521214657e+06 1.530882752743602323e+05 3.362341723847194430e+02
2.457463926528455690e+06 1.505113209282492753e+05 3.337542159458939182e+02
2.457463926535696257e+06 1.467365478570839041e+05 3.303072715990986126e+02
2.457463926542936824e+06 1.459591164054709661e+05 3.296750853332026736e+02
2.457463926550177857e+06 1.470348370053213148e+05 3.306276926699322303e+02
2.457463926557418425e+06 1.500795197403978091e+05 3.335353087143762991e+02
2.457463926564659458e+06 1.516760382337032061e+05 3.348848539074166411e+02
2.457463926571900025e+06 1.482385320294317498e+05 3.316940925098150501e+02
2.457463926579141058e+06 1.418708377223981370e+05 3.258175356465946493e+02
2.457463926586381625e+06 1.371665773767463106e+05 3.213201235514718519e+02
2.457463926593622658e+06 1.348344558530083159e+05 3.189885857905453008e+02
2.457463926600863226e+06 1.344798685047393083e+05 3.184726404944806859e+02
2.457463926608104259e+06 1.350223361531430273e+05 3.189676615405336975e+02
2.457463926615344826e+06 1.382745374023116310e+05 3.222705710750882986e+02
2.457463926622585859e+06 1.417283741322334972e+05 3.255532693261109216e+02
2.457463926629826427e+06 1.453691950656786212e+05 3.288930626731877283e+02
2.457463926637067460e+06 1.494844027269707876e+05 3.327216630342123267e+02
2.457463926644308027e+06 1.510666492974729917e+05 3.340985635477101710e+02
2.457463926651549060e+06 1.497820241987449699e+05 3.329089358246033044e+02
2.457463926658789627e+06 1.476468295851350704e+05 3.306041018022456797e+02
2.457463926666030660e+06 1.461308977593932941e+05 3.294379477822233184e+02
2.457463926673271228e+06 1.472567528215417988e+05 3.305418198123948059e+02
2.457463926680512261e+06 1.487248631734290684e+05 3.316882941808592022e+02
2.457463926687752828e+06 1.461421160521287529e+05 3.294819535778677277e+02
2.457463926694993861e+06 1.411607744013953779e+05 3.245695008974768143e+02
2.457463926702234428e+06 1.339995094882777485e+05 3.175040021508229415e+02
2.457463926709475461e+06 1.231747251621221076e+05 3.069836470223006017e+02
2.457463926716716029e+06 1.109023364441306912e+05 2.941988272083088987e+02
