# jd flux flux_err mag mag_err
2.457463928022027947e+06 4.366265647204123525e+03 8.516003971624307667e+01 -9.100275387528791171e+00 2.117637106682234566e-02
2.457463928036881145e+06 4.242077493229838183e+03 8.468528310307493712e+01 -9.068946494594863239e+00 2.167480424935058422e-02
2.457463928051734809e+06 4.254507968347812493e+03 8.487645916975776572e+01 -9.072123353479621954e+00 2.166026423374160792e-02
2.457463928066588007e+06 4.297257891261797340e+03 8.515500061000324195e+01 -9.082978544432654289e+00 2.151515983025099193e-02
2.457463928081441205e+06 4.380709384049229811e+03 8.529561954933947732e+01 -9.103861107671438191e+00 2.114015284983330675e-02
2.457463928096294403e+06 4.341007403190018522e+03 8.524105941541508003e+01 -9.093976316221855427e+00 2.131985026832298319e-02
2.457463928111148067e+06 4.481053541264484011e+03 8.552134681204111644e+01 -9.128450332632866093e+00 2.072145450453680149e-02
2.457463928126001265e+06 4.422243336668139818e+03 8.549654462464084759e+01 -9.114106590555074661e+00 2.099093407887780635e-02
2.457463928140854463e+06 4.396382964158352479e+03 8.534056683873066618e+01 -9.107738790802986983e+00 2.107588619892259568e-02
2.457463928155707661e+06 4.368901297642511963e+03 8.524881227059798050e+01 -9.100930583064023693e+00 2.118565724627928179e-02
2.457463928170561325e+06 4.490120747700822903e+03 8.587115762816019071e+01 -9.130645050367471427e+00 2.076419676039652218e-02
2.457463928185414523e+06 4.392514857910363389e+03 8.534275865471011002e+01 -9.106783097983823794e+00 2.109498767315400730e-02
2.457463928200267721e+06 4.686434657872162461e+03 8.630924882473640025e+01 -9.177106415283772023e+00 1.999588400567122934e-02
2.457463928215121385e+06 4.492173947943483654e+03 8.558657278817848635e+01 -9.131141412144375025e+00 2.068592325583870975e-02
2.457463928229974583e+06 4.415911557623469889e+03 8.541569860894318822e+01 -9.112550916773002996e+00 2.100115443833387371e-02
2.457463928244827781e+06 4.428207595988843423e+03 8.560266831536139875e+01 -9.115569931419532423e+00 2.098868200779687235e-02
2.457463928259680979e+06 4.450693521088050147e+03 8.567377872974007857e+01 -9.121069223471447884e+00 2.089998964819481803e-02
2.457463928274534643e+06 4.585481126075849716e+03 8.603213451714644577e+01 -9.153462275553552630e+00 2.037049704543947640e-02
2.457463928289387841e+06 4.523298355554226873e+03 8.571769516522725496e+01 -9.138638086597502763e+00 2.057505895767748616e-02
2.457463928304241039e+06 4.407974569156208418e+03 8.539469724340267476e+01 -9.110597700710167501e+00 2.103379616430050419e-02
2.457463928319094237e+06 4.461442635436773344e+03 8.550756069135171344e+01 -9.123688283160788615e+00 2.080918360523519375e-02
2.457463928333947901e+06 4.272356216987072912e+03 8.478663781735045291e+01 -9.076668639441649589e+00 2.154694961477942108e-02
2.457463928348801099e+06 4.226500006703129657e+03 8.467438503973735919e+01 -9.064952185001127205e+00 2.175189084756623537e-02
2.457463928363654297e+06 4.221789358275683298e+03 8.478445664977584784e+01 -9.063741402118427715e+00 2.180446918377884971e-02
2.457463928378507961e+06 4.309540818720515745e+03 8.506562078242231451e+01 -9.086077496446153035e+00 2.143131971441176314e-02
2.457463928393361159e+06 4.281309288362020197e+03 8.489631812250354415e+01 -9.078941507670919009e+00 2.152970557135156296e-02
2.457463928408214357e+06 4.377589023035308855e+03 8.519084334230677769e+01 -9.103087466740152678e+00 2.112923478283541476e-02
2.457463928423067555e+06 4.362364662095139465e+03 8.516455800646981800e+01 -9.099304916584564751e+00 2.119643229585833205e-02
2.457463928437921219e+06 4.562713317949632255e+03 8.579083475391813352e+01 -9.148057955657352025e+00 2.041472572017230189e-02
2.457463928452774417e+06 4.527466097235638699e+03 8.583572866467703477e+01 -9.139638017239612111e+00 2.058442449680390404e-02
2.457463928467627615e+06 4.462303662758725295e+03 8.571690810171151043e+01 -9.123897802460954054e+00 2.085610546387961159e-02
2.457463928482481278e+06 4.233725647941480020e+03 8.479188648371842874e+01 -9.066806779080016199e+00 2.174490046977766572e-02
2.457463928497334477e+06 4.357587023407347260e+03 8.511607129342252165e+01 -9.098115172420207841e+00 2.120759097860974718e-02
2.457463928512187675e+06 4.316594313063045774e+03 8.504608553542941252e+01 -9.087853085575595458e+00 2.139138640613051645e-02
2.457463928527040873e+06 4.449059505375922527e+03 8.555576239690418561e+01 -9.120670535994960915e+00 2.087886515174085245e-02
2.457463928541894536e+06 4.349517428142412427e+03 8.522328396253540461e+01 -9.096102688409221315e+00 2.127369986628630319e-02
2.457463928556747735e+06 4.419894837918287521e+03 8.538920219960795066e+01 -9.113529840875493448e+00 2.097571906029052635e-02
2.457463928571600933e+06 4.402989975466549367e+03 8.533800923087974866e+01 -9.109369241695306485e+00 2.104362959230164642e-02
2.457463928586454131e+06 4.615744425927027805e+03 8.614077190853478783e+01 -9.160604384748284090e+00 2.026249139069017172e-02
2.457463928601307794e+06 4.649736667471053806e+03 8.618861919362863944e+01 -9.168570894535314153e+00 2.012553357224566158e-02
2.457463928616160993e+06 4.577670127996283554e+03 8.606706843486189484e+01 -9.151611234305999432e+00 2.041354144567203432e-02
2.457463928631014191e+06 4.460020752895764417e+03 8.555533464382578757e+01 -9.123342198824719418e+00 2.082744771442510134e-02
2.457463928645867854e+06 4.448147334834847243e+03 8.537564157314290014e+01 -9.120447909590380320e+00 2.083918137236473109e-02
2.457463928660721052e+06 4.408669892129839354e+03 8.535423836796165631e+01 -9.110768953465420594e+00 2.102051481129614888e-02
2.457463928675574251e+06 4.503168840995023857e+03 8.566670833656345962e+01 -9.133795576566665630e+00 2.065473785095485112e-02
2.457463928690427449e+06 4.367729159544572212e+03 8.513637169650803571e+01 -9.100639250430971217e+00 2.116339196622828503e-02
2.457463928705281112e+06 4.408712452407775345e+03 8.536845355090201792e+01 -9.110779434860653225e+00 2.102381267976225973e-02
2.457463928720134310e+06 4.412852836095005841e+03 8.541509169004338275e+01 -9.111798611084800825e+00 2.101556183632294697e-02
2.457463928734987509e+06 4.410560318968533466e+03 8.532617220598440611e+01 -9.111234414700362549e+00 2.100459613090407615e-02
2.457463928749840707e+06 4.418239104059427518e+03 8.545252075316412288e+01 -9.113123037758716904e+00 2.099913963399941894e-02
2.457463928764694370e+06 4.227200325604606405e+03 8.470073461092192701e+01 -9.065132073466074303e+00 2.175505500400176304e-02
2.457463928779547568e+06 4.239469576998883895e+03 8.467371243779257384e+01 -9.068278807641833694e+00 2.168517425882523358e-02
2.457463928794400766e+06 4.212437908891019106e+03 8.474195067570141759e+01 -9.061333781122973718e+00 2.184191850814919816e-02
2.457463928809254430e+06 4.257096297190058976e+03 8.489863679438649058e+01 -9.072783685499954842e+00 2.165275095467775190e-02
2.457463928824107628e+06 4.249665671251619642e+03 8.488044297638552393e+01 -9.070886911689385101e+00 2.168596291718125763e-02
2.457463928838960826e+06 4.165172893876028866e+03 8.449393694340307093e+01 -9.049082583563430759e+00 2.202512343048512039e-02
2.457463928853814024e+06 4.328128405190864214e+03 8.511926190274692772e+01 -9.090750341913690136e+00 2.135273697227866099e-02
2.457463928868667688e+06 4.123883952032399975e+03 8.456076427051655742e+01 -9.038266088848603275e+00 2.226323661552669086e-02
2.457463928883520886e+06 4.247811306004674407e+03 8.490252436400608360e+01 -9.070413041263419629e+00 2.170107383834777789e-02
